carat,cut,color,clarity,depth,table,x,y,z,price
0.63251567,Premium,E,VVS2,61.54971,59.03112,5.4669228,5.4887915,3.371921,between 950.0 and 2401.0
0.2794211,Good,E,VS1,61.155643,56.998417,4.2117844,4.287534,2.5943038,less than 950.0
0.72510207,Premium,E,SI2,63.52923,54.93216,5.6612086,5.7182336,3.6187706,between 950.0 and 2401.0
0.3107765,Ideal,H,VVS2,62.655807,55.040985,4.3547583,4.357584,2.7267878,less than 950.0
0.33967546,Good,E,VVS2,59.8806,55.025723,4.536489,4.563806,2.7302482,between 950.0 and 2401.0
0.2802183,Ideal,E,VS2,60.65204,56.989746,4.212467,4.232137,2.5593631,less than 950.0
0.39278635,Very Good,D,SI2,61.75234,58.00344,4.694176,4.723157,2.905519,between 950.0 and 2401.0
0.72655654,Good,E,VS2,64.74368,54.90527,5.636341,5.6983757,3.6580496,between 2401.0 and 5324.25
0.89949435,Ideal,F,SI1,62.38314,57.03261,6.2108397,6.149706,3.8622217,between 2401.0 and 5324.25
1.0110877,Very Good,G,VS2,59.585682,59.994724,6.574285,6.5081415,3.897853,greater than 5324.25
0.75161105,Very Good,D,VS1,62.336647,57.014572,5.752742,5.7741995,3.6081164,between 2401.0 and 5324.25
0.30946705,Premium,H,SI1,62.063618,55.018715,4.360999,4.3606195,2.7067707,less than 950.0
0.27922878,Ideal,E,VS2,62.390736,55.98707,4.1952314,4.196796,2.6119902,less than 950.0
0.99251086,Good,D,SI2,63.8899,58.677708,6.2914076,6.205748,3.9936962,between 2401.0 and 5324.25
0.7057652,Good,F,SI2,63.87192,56.94008,5.655711,5.678141,3.609535,between 2401.0 and 5324.25
0.8256505,Ideal,I,VS1,63.242966,55.247955,5.9625807,5.9846735,3.7866874,between 2401.0 and 5324.25
2.1496904,Very Good,E,SI1,60.744865,58.051895,8.290899,8.352325,5.033302,greater than 5324.25
0.8762895,Ideal,F,IF,62.413742,56.975544,6.133493,6.1076736,3.8231466,between 2401.0 and 5324.25
0.37181693,Ideal,I,SI1,61.45741,54.98418,4.6439605,4.6567607,2.8586807,between 950.0 and 2401.0
1.2093848,Ideal,H,SI1,61.516598,57.011368,6.8631196,6.868966,4.2226853,greater than 5324.25
0.4330919,Very Good,E,VVS1,62.218815,59.934383,4.792612,4.848429,2.9976044,between 950.0 and 2401.0
0.57785326,Ideal,H,VS1,61.382187,58.965652,5.3166614,5.354809,3.2778487,between 950.0 and 2401.0
1.0753272,Ideal,H,VS1,60.684,54.921883,6.6595016,6.6655064,4.046463,greater than 5324.25
0.498825,Ideal,G,VVS1,62.75365,54.956505,5.055473,5.0424614,3.1702757,between 950.0 and 2401.0
0.8590488,Very Good,G,VVS2,62.929874,53.88198,6.086474,6.041412,3.8268805,between 2401.0 and 5324.25
0.9517432,Good,H,VS2,64.399765,55.983692,6.187918,6.139814,3.9774842,between 2401.0 and 5324.25
0.326039,Ideal,E,SI2,61.414394,54.010925,4.4257283,4.480022,2.7327113,less than 950.0
1.5086432,Premium,J,VS1,61.77417,57.917595,7.3432727,7.355027,4.5416694,greater than 5324.25
0.9785342,Good,E,VS2,63.74161,58.010174,6.311569,6.282033,4.009787,between 2401.0 and 5324.25
0.9652852,Ideal,F,VS2,62.106415,55.97462,6.3212504,6.3649106,3.945137,between 2401.0 and 5324.25
1.1642423,Very Good,G,VVS1,61.869453,61.041626,6.7457595,6.689501,4.159649,greater than 5324.25
1.339265,Ideal,H,VVS2,61.91161,57.01058,7.0852413,7.043912,4.3763967,greater than 5324.25
1.0997834,Premium,J,VS1,61.164566,56.977585,6.698518,6.7201014,4.1026254,greater than 5324.25
1.5151745,Premium,F,SI1,62.6558,57.99881,7.266955,7.2364473,4.548289,greater than 5324.25
0.40868643,Very Good,J,VVS1,60.17402,54.95067,4.7692437,4.879932,2.8945913,less than 950.0
0.40149033,Ideal,D,VS1,61.785915,56.12144,4.7390575,4.7536025,2.9366198,less than 950.0
0.5290149,Premium,F,VS2,63.249474,57.03238,5.1232224,5.109587,3.237412,less than 950.0
0.8539764,Ideal,H,SI1,60.673866,58.003532,6.094514,6.1537914,3.720504,between 2401.0 and 5324.25
0.27799976,Ideal,F,VS2,60.717773,55.976433,4.237168,4.2378044,2.5738258,less than 950.0
1.2944316,Premium,H,SI1,62.54971,57.947536,6.9855294,6.999993,4.374677,greater than 5324.25
0.8521677,Very Good,F,SI2,62.9181,59.928238,6.0225167,6.0435205,3.7981985,between 2401.0 and 5324.25
0.3777256,Good,H,VS1,60.943188,57.941277,4.6314335,4.7318134,2.853432,between 950.0 and 2401.0
0.2938643,Premium,G,SI1,61.076687,61.001854,4.2642684,4.3053718,2.6133034,less than 950.0
0.9088269,Premium,G,VVS2,61.409325,57.034554,6.2005844,6.2470174,3.823399,between 2401.0 and 5324.25
0.87577075,Very Good,I,SI2,60.675713,58.951965,6.1653166,6.19674,3.7544212,between 2401.0 and 5324.25
0.64433044,Ideal,D,VS2,61.974392,56.996403,5.537461,5.5502768,3.4319828,between 950.0 and 2401.0
1.0946987,Good,H,SI1,64.452225,55.97909,6.456023,6.4832945,4.166099,between 2401.0 and 5324.25
0.65459645,Premium,H,VVS1,62.44161,60.058273,5.52946,5.536303,3.4576876,between 950.0 and 2401.0
1.1701635,Premium,H,VS2,62.305275,58.120716,6.7034883,6.696126,4.1752663,greater than 5324.25
1.2096462,Very Good,H,VS2,62.500458,61.93294,6.717692,6.7929797,4.2230043,greater than 5324.25
0.33909374,Good,E,VVS1,63.5925,55.969685,4.459682,4.481746,2.8480196,less than 950.0
0.98658985,Premium,I,SI2,61.93592,59.089333,6.3313932,6.355736,3.9310796,between 2401.0 and 5324.25
1.0342083,Premium,G,SI2,60.865314,58.99511,6.5473433,6.5128317,3.974449,between 2401.0 and 5324.25
1.03449,Ideal,G,VS1,63.64707,56.046684,6.4793878,6.36936,4.0946727,between 2401.0 and 5324.25
0.48634794,Good,F,SI2,63.172813,56.9926,4.977932,4.991888,3.149384,between 950.0 and 2401.0
0.33686313,Ideal,E,VVS1,62.88802,55.98655,4.4349093,4.4592476,2.8016262,between 950.0 and 2401.0
0.9823376,Ideal,H,VS1,62.496704,55.973614,6.3475013,6.3125906,3.9674013,between 2401.0 and 5324.25
0.52948517,Very Good,H,VS2,62.22854,54.980667,5.173127,5.197822,3.2255955,between 950.0 and 2401.0
0.62098926,Premium,E,VVS1,61.77666,57.987785,5.4514604,5.4943194,3.3777134,between 2401.0 and 5324.25
0.6325172,Ideal,I,VVS1,61.52473,56.01177,5.5043674,5.5706487,3.4025228,between 2401.0 and 5324.25
0.31708348,Very Good,G,VVS1,62.6247,57.048946,4.373498,4.349349,2.7321608,between 950.0 and 2401.0
1.538186,Very Good,I,VS2,61.04196,60.04539,7.418059,7.440087,4.5354447,greater than 5324.25
1.1691537,Very Good,E,SI1,63.071556,57.00835,6.655073,6.659671,4.1994057,greater than 5324.25
0.28619906,Good,F,VVS1,61.78822,57.014683,4.2290034,4.2541103,2.6170237,less than 950.0
0.438834,Good,G,SI2,63.927887,55.98732,4.7937946,4.8294353,3.074907,between 950.0 and 2401.0
1.3052111,Premium,I,VS2,62.360874,56.966682,6.942857,6.9069924,4.3262954,greater than 5324.25
0.74095184,Premium,J,VVS2,62.535957,57.94265,5.7548757,5.8110776,3.6122332,between 950.0 and 2401.0
0.32062405,Good,H,SI2,61.905025,56.186974,4.417455,4.448026,2.7418509,less than 950.0
0.67356867,Premium,F,VVS2,63.038696,57.984474,5.6276493,5.6055045,3.5397062,between 950.0 and 2401.0
0.7300393,Good,I,IF,61.97073,56.86146,5.77389,5.7883573,3.5917418,between 2401.0 and 5324.25
1.7975163,Premium,I,VS2,60.65481,59.057213,7.905548,7.9377003,4.789643,greater than 5324.25
