relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.79868925,625.09064,344.56903,146.43163,7.0043054,1.9935747,0.10037825,4.9961176,between 18.95 and 31.6675
0.6064483,819.9774,414.1517,220.42097,3.4954276,3.0157135,0.24811588,0.98879117,less than 12.9925
0.71992326,695.8665,267.4561,220.43376,3.4861884,3.0138125,0.24935538,0.9897052,less than 12.9925
0.70645934,717.38495,269.53284,220.6763,3.4968264,3.0181448,0.39996096,3.0391283,less than 12.9925
0.83438045,602.15875,293.79684,147.18484,6.997873,5.0059323,0.250604,4.95996,between 18.95 and 31.6675
0.61537826,813.3619,366.76605,220.83873,3.5093791,5.007765,0.101152495,5.071159,less than 12.9925
0.6583591,765.6852,319.52493,220.54308,3.4840546,3.0128639,0.39875054,3.9747777,less than 12.9925
0.7175884,704.829,269.4201,220.33989,3.4849486,2.004314,0.39966145,2.9952993,between 12.9925 and 18.95
0.8142136,613.3574,343.36942,123.0661,7.0031295,3.0090353,0.24980885,4.988429,greater than 31.6675
0.9237915,549.26855,318.48355,110.349594,7.001034,4.011408,0.40029892,4.9987116,greater than 31.6675
0.64894474,770.5526,318.87354,220.5671,3.514134,3.9951177,0.100718305,3.0809832,less than 12.9925
0.8699389,580.96545,294.49118,146.84492,7.0023427,5.023258,0.24902965,0.9889451,greater than 31.6675
0.61926794,805.9559,366.91867,220.6601,3.495179,4.0245724,0.40147024,1.0019587,between 12.9925 and 18.95
0.6910086,737.4877,294.48422,220.47894,3.465063,4.0114574,0.10109297,0.9933464,less than 12.9925
0.6646022,752.93787,318.20465,220.43655,3.4851942,3.0091186,0.24951789,1.007471,less than 12.9925
0.90193886,562.52985,293.4931,146.46327,7.01071,2.9896393,0.40083483,2.992857,greater than 31.6675
