age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
24.329834,189.94464,78.580215,Serbia,56.086548,64.40786,55.760864,47.294495,56.517113,40.936905,41.245327,56.831806,48.544247,42.282513,50.39141,48.67856,59.187283,65.3263,57.58783,49.96259,53.617294,44.191135,41.619953,6.9673824,9.204956,9.513195,7.989092,14.935367,between 1000.0 and 3000.0
36.895462,186.75917,85.30454,Mexico,63.96859,64.14298,0.75166684,16.673262,7.5146155,25.80895,16.57886,16.656134,8.076758,7.7216334,28.283367,18.704988,45.87425,38.35459,34.80039,63.602028,41.025,15.01623,16.194016,67.53949,62.34574,63.37194,67.93831,69.50764,between 1000.0 and 3000.0
26.612467,184.80511,73.57971,Hungary,70.82272,71.4333,42.194542,31.977623,68.85059,67.13164,30.010355,53.167267,41.47173,25.840746,62.43005,68.477615,68.26013,70.02507,58.262085,63.41809,54.159084,70.83308,70.241516,4.9101872,9.046078,5.592115,9.977982,9.961753,greater than 8000.0
29.15936,176.78476,70.36655,Switzerland,69.099236,70.04328,70.774536,37.556213,50.514423,64.19377,41.425446,69.552826,63.29047,39.479553,58.981438,65.92743,79.81502,82.3121,72.967766,63.92314,84.52691,59.291336,63.75418,10.1567,9.754777,6.871003,10.006978,12.022994,greater than 8000.0
28.418566,188.20532,79.709465,Spain,66.59114,67.11549,43.778233,24.00935,68.57597,59.757473,29.34916,47.021828,38.431496,25.928164,51.665638,56.132122,56.89924,49.022247,60.212776,65.117386,42.311573,71.554726,72.246445,12.209991,16.008698,18.87248,13.457166,10.16334,between 3000.0 and 8000.0
22.556313,182.6764,68.296295,Turkey,53.03432,60.68642,70.18494,42.6102,50.64639,53.815273,42.463528,62.411213,55.782383,44.2255,43.49327,56.144737,65.18521,68.16884,66.352776,42.47547,61.224777,34.76589,36.09757,9.289821,5.983444,12.751385,6.0186143,7.481484,between 1000.0 and 3000.0
23.86104,177.28166,73.95131,Scotland,61.18423,69.42561,56.377262,59.875275,50.691093,57.836613,68.58903,64.71685,60.465084,50.303577,54.450348,64.52626,72.39881,78.22608,80.589386,56.63592,85.66559,41.045433,34.573647,11.156938,13.544938,9.327053,9.981247,10.97811,between 1000.0 and 3000.0
22.707996,177.35683,75.076775,Turkey,66.924576,77.65952,67.89945,59.054806,37.111855,60.48622,50.221016,67.45698,64.95417,51.416504,55.043972,66.11921,67.12933,61.64415,72.78833,58.60698,75.96197,59.842037,58.77644,5.944124,5.6445894,13.197536,12.467106,9.075251,between 3000.0 and 8000.0
22.169521,182.23248,74.20482,Cameroon,56.443813,70.22482,27.773977,28.234926,41.21661,52.654316,21.687325,38.914722,27.344618,20.336048,50.27418,47.48556,49.85696,53.5545,55.073162,60.506443,63.458405,59.240955,55.123116,5.20002,10.64715,9.276123,13.899975,13.5631,less than 1000.0
19.942398,187.08319,75.102684,Switzerland,58.964695,68.31017,41.471146,67.99423,60.65594,51.94021,57.802994,58.725765,36.52353,31.306562,44.864574,65.09305,67.78631,62.878803,56.183712,51.548187,60.44825,17.511576,17.242699,6.8674464,10.905319,13.130815,13.77046,6.5860977,between 1000.0 and 3000.0
23.004398,176.43777,71.3612,Turkey,69.48774,74.297676,59.85369,52.284782,58.87256,68.859604,56.054413,67.64561,54.547295,61.0583,70.09686,68.72542,71.09204,54.400696,62.962376,74.726295,70.552826,62.856907,57.323177,7.1084595,12.069339,6.0508456,10.272727,9.02725,greater than 8000.0
27.917301,175.17987,74.8939,Colombia,60.792736,62.36024,63.848907,65.18593,56.74429,53.990627,53.402172,62.066166,59.024105,49.31082,49.188683,63.02894,69.78278,65.60269,61.9977,57.68161,67.30337,44.399254,44.499043,8.244873,9.124462,10.377281,9.981297,5.9336576,between 1000.0 and 3000.0
18.93019,184.21207,75.62337,Finland,60.71865,73.29512,48.29036,35.295918,52.516506,54.346043,24.97888,51.514317,40.899647,35.386944,46.96757,61.730526,65.57722,67.53533,50.099373,57.620907,58.98957,61.14997,59.440857,6.5450406,8.516562,13.318679,9.810417,10.10209,between 1000.0 and 3000.0
28.647247,190.76474,83.24423,Republic of Ireland,68.386444,69.26748,16.368202,6.8287807,18.523205,26.646652,16.066431,14.556696,10.368668,19.69415,24.919853,23.780592,35.849083,39.437782,33.480694,71.76967,33.863113,13.820668,11.740422,81.84739,69.18136,68.13311,49.819347,63.820114,between 1000.0 and 3000.0
30.941319,190.3066,89.36137,Ecuador,75.88934,75.47242,71.85411,34.132874,76.084785,75.244934,48.387638,59.769917,74.00177,58.402966,68.6819,68.32528,60.650715,56.39555,58.555794,72.83019,46.741444,79.78108,74.38161,14.680301,12.375832,11.523382,13.29263,9.149846,greater than 8000.0
24.628557,192.03531,77.78321,Cameroon,72.52207,73.96208,47.620388,51.0213,75.65291,72.027504,49.216625,71.4591,53.18871,53.25221,65.18882,69.83952,68.5384,70.16677,60.66457,69.937614,36.580353,72.991005,69.33789,9.213525,8.465326,10.334233,8.845249,5.0653563,greater than 8000.0
22.75474,191.43796,79.36822,China PR,70.63671,73.562225,60.017605,31.440866,74.77683,69.131035,25.667343,59.634373,52.71755,36.618774,58.981895,58.064457,65.42756,66.43724,54.627975,65.29521,43.647076,70.53273,67.31359,12.56329,10.713911,13.887431,10.221163,8.78432,greater than 8000.0
24.258495,182.34964,72.975655,Brazil,57.540012,63.89038,46.33535,61.991844,55.818695,61.12026,49.79315,56.008465,33.33477,35.807243,62.942425,61.65105,57.14416,52.373283,45.003735,54.73316,65.232025,21.033655,19.713867,11.562602,10.209791,6.9235086,12.048115,10.997677,between 3000.0 and 8000.0
