X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
3.1545227,4.0002656,sep,tue,91.472595,106.66433,693.0489,7.02592,23.248379,30.97732,2.876632,0.0,between 0.0 and 0.52
2.9311604,2.0685916,aug,thu,92.8752,226.16383,729.6245,14.098822,21.440004,47.319508,5.5919995,0.0,greater than 6.57
1.6183373,3.9754868,mar,mon,93.74973,130.42566,710.724,10.4720955,19.666065,49.743603,6.7360682,0.0,between 0.0 and 0.52
2.3277307,3.9888518,aug,tue,92.35383,222.7032,713.31134,8.614835,24.392845,47.107845,4.381461,0.0,between 0.0 and 0.52
4.9603667,5.049996,aug,sun,91.43935,196.29933,682.5954,6.8672795,11.915073,104.57301,2.1929548,0.0,between 0.0 and 0.52
7.138345,5.9792995,sep,sat,92.26511,100.91682,749.3404,8.681609,17.454828,42.343353,2.7700558,0.0,greater than 6.57
5.982137,3.9989157,sep,sat,92.00039,89.40847,710.82556,8.073266,21.494022,40.44429,5.0410037,0.0,between 0.0 and 0.52
7.9928126,5.9955664,aug,thu,92.276566,224.63158,719.713,8.434616,25.237677,25.343428,5.4582105,0.0,between 0.0 and 0.52
4.9251604,3.9966009,aug,sun,93.329185,255.19218,760.8649,9.308413,22.047613,42.09511,6.968348,0.0,greater than 6.57
1.955945,2.0177336,sep,tue,92.087425,99.62823,736.4333,7.672433,25.502857,30.196655,3.553303,0.0,between 0.0 and 0.52
9.043188,6.0419397,sep,thu,94.53212,91.964584,711.0501,6.8848934,26.408997,25.572762,2.1660473,0.0,between 0.0 and 0.52
4.090614,4.0135818,aug,fri,92.615456,179.32509,732.4405,8.918432,10.133866,74.711914,5.9259443,0.0,between 0.0 and 0.52
2.0033896,1.9672233,aug,tue,91.917076,243.42632,754.76996,8.767627,22.74984,45.040436,3.1774945,0.0,between 0.0 and 0.52
4.115136,4.001209,sep,sun,93.59698,120.40195,726.3289,9.889135,16.335617,56.557507,2.1682017,0.0,greater than 6.57
1.8222349,2.1614246,aug,sun,92.587746,219.53323,662.46985,10.049499,22.358664,54.859303,6.5244994,0.0,between 0.0 and 0.52
5.2481027,4.0007215,aug,fri,93.7196,166.02531,639.4897,8.308985,8.763489,68.97065,4.0486264,0.0,greater than 6.57
