V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,latitude
-0.71109724,-1.212402,-0.92776155,-0.6819058,-1.5517974,1.2513657,1.6523031,-0.4660975,-2.0561566,-1.7423055,0.20899314,-0.34164074,-0.8877592,-0.94062877,-1.0649242,1.1615984,2.970854,-0.7255246,-0.7314906,-0.7272926,-0.73277694,-0.7250664,-0.72281903,-0.7250887,-0.7288223,-0.727576,-0.72430426,-0.7240811,-0.72842455,-0.9058751,-1.3447067,-0.9706934,-1.1863705,-1.894358,-1.0309507,-0.95590174,-0.8125108,-0.8358136,-1.6640182,-1.1187123,-0.94223297,-1.4089419,-1.7086817,-1.1803099,-1.0977293,-1.1870146,-0.79593015,-0.79861057,-0.7966022,-0.79860914,-0.79544985,-0.8012882,-0.7948091,-0.796017,-0.7982815,-0.80292666,-0.79675424,-0.8013651,-0.43010753,-1.3357774,-0.59639055,-0.22096412,-0.69196725,-1.3632151,-1.1702813,-0.5829159,-0.5739905,-0.6900532,-0.85179967,-0.795345,-0.49280703,-1.0761701,-0.8724894,-1.1431396,-0.9546264,-0.6662261,-0.6642564,-0.66507244,-0.6662287,-0.66477174,-0.6650521,-0.66401786,-0.66457564,-0.66652405,-0.67059654,-0.66483396,-0.6643552,-0.81788516,-1.5907806,-1.0576745,0.09133451,-1.1513575,-1.4932406,-1.1065465,-0.59867615,-0.26548576,-1.093093,-0.9232918,-0.78896475,-1.0153426,-1.412363,-0.5882864,-0.749287,-0.4464641,-0.743993,-0.74095273,-0.7422801,-0.74254006,-0.7422925,-0.7431634,-0.7432378,-0.7421133,-0.744967,-0.7405136,-0.74086946,-0.7394907,between 33.66 and 39.91
-0.5133976,-0.6392904,-0.81190634,-1.1872058,-0.2642605,1.2153257,0.70250106,0.18754947,-0.18902853,-0.44221827,-0.31056243,-0.2101943,0.06199177,1.0206909,0.5292642,0.279853,-0.2334827,-0.5372153,-0.5339869,-0.5332417,-0.5383129,-0.5382133,-0.53728825,-0.5360453,-0.53080547,-0.5354727,-0.53126997,-0.5339031,-0.5325324,-0.22457857,-0.69669306,-0.82146466,-0.5963878,0.025172785,0.1562526,-0.09383964,0.46219137,-0.34611526,-0.45478675,-0.40228483,-0.70904106,-0.5566147,-0.60882616,-0.64868504,-0.71880966,-0.94821674,-0.57960945,-0.5813527,-0.5822484,-0.5822211,-0.5803052,-0.58079934,-0.5828881,-0.5847698,-0.5806652,-0.5810711,-0.5859764,-0.58091503,-0.57103974,-1.0532118,-1.2630506,0.86510766,-1.2129161,-0.15007252,-0.43080193,-0.053326644,-0.13671695,0.45649403,-0.25370744,0.22135401,-0.7743243,-0.3268799,-0.5182491,-0.1045049,-0.6868275,-0.43010607,-0.42921427,-0.42665362,-0.43186182,-0.4327339,-0.42774338,-0.4315096,-0.43198726,-0.42724642,-0.43156558,-0.428407,-0.43150526,-0.24257267,-1.1610881,-1.4126117,0.047363196,-0.62457645,1.5650349,0.25983685,0.9924606,-0.2848385,0.03803059,-0.37800103,-0.39846206,-0.37714717,-0.40532473,-0.25689054,-0.16834126,-0.32187006,-0.5213286,-0.52411723,-0.52676755,-0.5261881,-0.5267381,-0.52307343,-0.52502334,-0.5273844,-0.5272038,-0.5239736,-0.5272997,-0.52555907,greater than 39.91
-0.30338404,-0.2569931,-0.20346023,-0.7180547,-0.10648846,0.9802258,-0.8328199,-0.24347816,-1.1597193,-1.6131383,0.13950357,-0.60319585,-1.6721008,-0.28531852,-0.23901284,0.7688823,1.2438966,0.08900207,0.09202957,0.09034257,0.09281792,0.09342961,0.0951965,0.10029948,0.09762065,0.09986558,0.09153752,0.10150395,0.09623678,-0.28783283,-0.23715827,-0.29998866,-0.5263246,-0.09108198,-0.09474747,0.25624004,-0.04618142,0.4421255,-0.18781151,-0.13202322,0.051443752,-0.4159324,-0.2353556,-0.74688256,-0.0057760505,-0.8176651,-0.0444337,-0.046871264,-0.051410303,-0.05134236,-0.048342288,-0.046565108,-0.049637586,-0.051593665,-0.05553595,-0.05244833,-0.05059975,-0.049999878,0.18201534,0.18655588,0.8402221,-1.5527387,-0.09949217,0.8591702,0.1892714,-0.027182873,0.1516496,-0.74054843,-0.43315116,-0.18298952,-0.81374204,-0.3769754,-0.45052117,0.029669177,-0.4932376,0.5568924,0.5582129,0.5609679,0.5594492,0.5560233,0.56507444,0.56253,0.56422603,0.5656187,0.565987,0.55766386,0.56505686,-0.14373493,-0.14307341,0.96006274,0.14871849,1.7567974,0.25014928,0.3967473,0.65037996,1.3352095,0.3026537,0.037344526,-0.6301975,-0.65496564,-0.009767749,-0.67296237,-0.31327993,-0.5240305,0.66440904,0.66422415,0.6568239,0.6627697,0.6614906,0.6696965,0.67113036,0.6624703,0.6660724,0.6725061,0.661766,0.6711926,between 33.66 and 39.91
-0.63110995,-0.4745659,-0.771376,0.8665802,-0.2728291,2.104003,-0.91926444,0.56286037,0.10203763,-0.6475814,-0.48479787,-0.68566686,-0.9386107,0.15436985,0.11811425,0.17001477,0.18192972,-0.2944758,-0.2939724,-0.2924503,-0.2944393,-0.29241645,-0.29632682,-0.29678714,-0.29733485,-0.2878859,-0.2947431,-0.3015122,-0.29819447,-0.32188907,-0.38960353,-0.75331175,0.9928554,0.602306,1.0223037,2.371986,1.4862835,1.4078133,0.8759514,-0.02086299,0.4622338,1.4936136,0.54343903,0.13299601,0.084297135,1.5905817,-0.30001408,-0.30013874,-0.2964349,-0.29737136,-0.296783,-0.28745565,-0.2948572,-0.29648566,-0.29503682,-0.29374626,-0.29277933,-0.29866523,-0.6260111,-0.2650931,-0.73393625,-0.1692639,-0.46847278,0.14085804,0.27808028,-0.1324071,0.628671,0.21603867,-0.8198797,-0.4156152,0.29548803,0.48670897,-0.3422973,0.3113674,-0.05082154,-0.43980864,-0.4407255,-0.43972284,-0.44097444,-0.4393242,-0.44192696,-0.442916,-0.44123632,-0.44487828,-0.44053626,-0.44116297,-0.44297928,-0.5746272,0.25860822,-0.8769158,-0.35062546,0.60972273,-0.68972826,-0.52479506,-0.6924072,-0.031386785,-0.36735427,-1.2315111,-0.93555266,-0.124788344,0.09242644,-0.043171305,-0.6100515,-0.105026394,-0.41421333,-0.41268954,-0.41219798,-0.41148856,-0.41149485,-0.412271,-0.41524494,-0.412345,-0.4132915,-0.41357973,-0.41220117,-0.41604885,between 14.66 and 33.66
-0.30603787,-0.3039579,1.840776,-0.12109858,1.0503011,-0.79885995,0.33018354,-0.13873056,-1.0904332,0.81575173,-1.1147302,0.17005005,-0.7625924,1.719277,-0.03516265,0.57619816,1.2113683,-0.22181094,-0.22002068,-0.2183259,-0.22056544,-0.21833879,-0.21577752,-0.219597,-0.21778767,-0.21383841,-0.21502689,-0.21813771,-0.22038591,-0.22153918,-0.21891928,2.3539636,-0.6325694,0.06126459,-0.08168317,0.15610342,0.20894329,0.42760527,1.5025028,1.0737536,1.3300495,1.0905107,0.04641567,1.0796391,0.636472,1.3146167,-0.30051807,-0.29814804,-0.29398376,-0.29333374,-0.2969317,-0.29384807,-0.29753482,-0.29384094,-0.30114076,-0.29896984,-0.30517954,-0.2978802,-0.4278172,0.76850635,1.0325071,-0.04892993,-0.115027435,-0.9278473,-0.11723303,-0.5791635,-0.3371818,-0.24760178,-0.49363318,-0.032930363,0.9347852,-0.23672459,0.050705083,0.05522537,0.11320218,-0.3450514,-0.3484799,-0.34844545,-0.3476914,-0.3469329,-0.34801552,-0.35115814,-0.34682274,-0.34327343,-0.350018,-0.3478409,-0.3490854,-0.39039093,0.17210113,-0.45060042,0.012909109,0.32200134,-0.971309,-0.68051326,-0.4771866,-0.39124617,-0.63741744,-0.29589105,-0.16886865,0.29333967,-0.09915879,0.38176772,-0.24403147,0.13673809,-0.41879553,-0.41603824,-0.41649318,-0.41672578,-0.41610315,-0.41464078,-0.41718552,-0.41710174,-0.4171012,-0.42000034,-0.41745165,-0.4206666,between 33.66 and 39.91
-0.6633047,-0.83008206,-0.4652403,-0.84053344,-1.0675634,1.8436831,1.3858525,0.48730978,0.09514338,-0.12840551,0.99600315,-0.7320732,1.1694748,-1.6745936,0.23405516,-0.52057225,-0.6957253,-0.6220339,-0.6250675,-0.62497884,-0.6217819,-0.62608933,-0.6248518,-0.6236012,-0.622466,-0.62563926,-0.6224909,-0.625722,-0.6235404,-0.5782722,-0.84461313,-0.30004746,-1.2902397,-0.97457397,-1.3367848,-1.0530891,-1.2762257,-1.0320458,-0.5411026,-1.3273656,-0.23913157,-0.46671724,-0.5132599,-0.18246108,-0.7498187,0.10332416,-0.71155924,-0.7185027,-0.71777874,-0.7212633,-0.719518,-0.71731573,-0.7176556,-0.7179441,-0.716034,-0.718592,-0.71890897,-0.7197787,0.7675925,1.417443,0.96098435,0.77375525,1.1212032,0.2255061,-1.1572754,0.20963243,-0.7316153,-0.022113016,-0.7968772,-0.45298544,-0.45839947,0.12035798,0.8599566,0.026038263,-0.14135112,-0.41218683,-0.4140784,-0.41447017,-0.41318268,-0.41391414,-0.4131375,-0.41242495,-0.4129733,-0.41430962,-0.4138904,-0.40834886,-0.41382515,0.6754456,0.4144873,0.9581262,0.16817975,1.2249742,-1.3057343,-1.1497267,-1.046274,-1.0889399,0.4129569,-0.69498706,-0.120880365,-0.66411597,0.7241219,-0.07415676,-0.6708349,-0.06728417,-0.6071564,-0.6100969,-0.61282986,-0.61370456,-0.6133184,-0.60492164,-0.61546737,-0.6127456,-0.6118215,-0.6129669,-0.6131802,-0.61207783,between 33.66 and 39.91
0.8218228,1.9656578,0.92002106,0.4945169,-0.32478863,-1.2420707,-1.00781,-3.942102,-0.37120315,-0.71745074,-1.3665423,0.9528578,-0.34800026,-0.0471178,1.19371,0.39897174,0.85408515,-0.6331061,-0.63467175,-0.6369772,-0.6343201,-0.6333813,-0.6341831,-0.6347329,-0.635522,-0.6354228,-0.63083136,-0.63156205,-0.6376467,-0.29321373,-0.16909486,-0.10474822,1.4283774,2.8694184,-0.16844292,0.7654055,-0.41872293,-0.8268449,-0.7810195,0.47171834,-0.6701185,-1.2412815,0.060418278,2.93456,3.5063267,3.3610604,-0.701167,-0.7020059,-0.7058935,-0.7035638,-0.6987081,-0.698541,-0.7044176,-0.7010526,-0.7042743,-0.70348215,-0.70251715,-0.7042106,0.25477707,1.5950752,1.4859041,3.397907,1.9683533,-0.022984225,0.87083966,-0.9481501,-0.6793066,-0.3976363,-0.33862355,-0.61765486,0.5343315,0.5041655,2.1015122,3.749979,2.8469126,-0.5199831,-0.51955724,-0.5213098,-0.5194594,-0.5172157,-0.5160377,-0.51982325,-0.5197588,-0.51774883,-0.5188359,-0.5173487,-0.51956683,-0.60715264,0.12864017,1.1002461,1.2137073,2.0090084,-2.475921,0.88709587,0.03223664,-0.47610822,-0.23885946,1.3832041,1.7274016,0.06097375,0.9377841,5.027692,5.104335,4.0752296,-0.48977742,-0.49380994,-0.49027982,-0.48927307,-0.49493915,-0.4940404,-0.4940898,-0.49626777,-0.49526203,-0.49750325,-0.49010837,-0.49389055,less than 14.66
0.0924518,0.48902413,-0.30970258,-1.0418853,-1.2612804,-0.49110866,-1.0587711,0.5934029,1.6631578,-0.84774244,0.23661682,-1.0166284,-1.543613,-0.6409681,-1.1821908,0.13606745,-0.93526155,-0.7092465,-0.71278983,-0.716736,-0.71658164,-0.70962495,-0.71143985,-0.7138648,-0.7161193,-0.71023834,-0.710099,-0.7130299,-0.7128007,-0.52897596,-0.09781175,-0.7190209,-0.9680343,-0.3129237,-0.65603256,-1.0389899,-1.2248149,-1.0266303,-0.48660776,-0.43114752,-0.81384164,-0.34922996,-0.71611047,-0.88970363,-0.76615435,-0.7576511,-0.7587089,-0.75833094,-0.76060057,-0.7636995,-0.76349014,-0.75611454,-0.7615218,-0.76243323,-0.76336056,-0.76227695,-0.7631064,-0.75851774,0.6049099,0.5847171,0.1422992,-0.8817571,0.5795423,0.46229532,-0.43038982,0.07511596,0.11722828,-0.30090803,-0.468528,-0.11138237,0.52864254,-0.80926037,-0.97697276,-0.94235826,-0.89749104,-0.56633055,-0.56795037,-0.56686044,-0.56848377,-0.56884176,-0.56747913,-0.5672996,-0.5685141,-0.56826687,-0.56657827,-0.5690715,-0.57261974,-0.44399863,0.26435632,-0.3473047,0.26901436,1.6469734,-0.08806015,-0.9570182,-1.2017456,-0.72463024,-0.5039485,-0.09998437,0.46827286,-0.40463024,-0.2757872,-0.20021337,-0.3723239,-0.5929348,-0.61493367,-0.6141848,-0.6165658,-0.6164508,-0.61055857,-0.615277,-0.6116627,-0.61648554,-0.61096376,-0.6121102,-0.61517113,-0.61296725,between 14.66 and 33.66
0.7073813,0.5495515,-0.26395795,-0.7811579,1.7461835,-0.148627,-0.07744425,1.6838217,-0.40224773,0.22181836,-1.6022776,0.17539874,-1.2169689,0.06655868,-0.11472282,-0.45788902,-1.2705765,1.5554247,1.5406367,1.5763419,1.5746903,1.574951,1.5562844,1.5632834,1.5598027,1.5743463,1.5767932,1.5629575,1.5377214,-0.23726957,-0.21983233,-0.80846614,-0.99298805,-1.2214365,-1.6864318,-1.1052774,-0.6618357,-0.55762,-0.6616901,-0.4577173,-0.7946803,-0.4824795,-0.355349,-0.87344116,-0.8572766,-0.631977,0.9255097,0.92711824,0.93786055,0.9424821,0.93775046,0.93336076,0.93548906,0.945768,0.9430563,0.9423904,0.9496671,0.94573337,-0.41245008,-0.6271589,-0.81620175,-1.6895288,-0.7181848,-0.4948669,-0.09676418,-0.8206732,-0.93880534,-0.34987897,-0.22416793,-0.4171471,-0.2542046,-0.19567086,-0.8295325,-0.7205748,-0.24062106,0.7844139,0.79016453,0.7934864,0.78064126,0.78653365,0.7900257,0.7887023,0.7895153,0.7910002,0.78410375,0.7907021,0.78741765,-0.79682785,-0.038166575,-0.64648145,0.47739136,-0.2715064,-1.1834178,-0.82357746,-0.77018,-0.6806225,-0.15182437,-0.019792177,-1.2201748,-0.74417716,0.07037736,-0.6583181,-0.7674647,-0.33724582,0.5192649,0.52444315,0.5320781,0.52817214,0.5314255,0.52473,0.5237874,0.52685237,0.52617675,0.5246227,0.5150291,0.5277896,greater than 39.91
-1.052085,-1.1331207,-0.94292533,-0.015702987,-1.8500575,2.6937735,1.2631763,0.32634127,0.070738934,-1.0746022,0.1392317,0.8890898,0.7001362,0.831872,0.02904295,0.2344654,0.94538337,-0.61116946,-0.60869795,-0.6090453,-0.6101271,-0.609702,-0.6106049,-0.6090507,-0.61037713,-0.61320853,-0.60879695,-0.6087739,-0.61232585,-1.260706,-1.1380026,-0.9855819,-0.3349181,-0.15649289,0.9015838,-0.21902253,-0.50790983,-0.0010445138,0.29385495,1.3585246,2.063813,-0.07691778,0.15435012,0.4989471,-0.004343992,-0.29572904,-0.6485778,-0.6494799,-0.65401816,-0.64845276,-0.65119797,-0.65203595,-0.6487088,-0.65561175,-0.6544488,-0.65071297,-0.64936835,-0.648114,-0.9205593,-1.3255486,-0.43928504,-0.5679287,-1.0695081,0.27702016,-0.2788452,-0.16052562,-0.22528717,-0.023647415,-0.17338946,0.31805325,-0.3897814,-0.43284768,-0.28561357,-0.67174244,-0.453602,-0.55622905,-0.55582577,-0.5600673,-0.55501306,-0.55484915,-0.5530215,-0.551948,-0.5555787,-0.55259687,-0.5553634,-0.5549367,-0.5514886,-0.67257094,-1.6193686,-0.20538424,-0.2923373,-1.3505005,0.039908864,-0.7120278,-0.79425824,0.04920236,-0.37415972,-0.243587,0.039547082,-1.2684578,-0.76211864,-0.48748884,-1.0057417,-1.1107261,-0.6601232,-0.66188854,-0.66425127,-0.6610048,-0.66329324,-0.6645578,-0.66390854,-0.6628521,-0.6607366,-0.66608727,-0.65874445,-0.6655329,greater than 39.91
