tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab
3.8273094,9.199081,9.059773,4.368024,3.974632,-0.93774223,-1.2331958,-1.777542,0.34543246,0.063919134,0.17386717,0.2629031,between 0.01714170443331965 and 0.044878440872278276
7.3592176,6.0652933,4.840275,7.1805778,4.377564,-1.8984411,-1.7958213,-0.7227766,0.7775787,0.4619271,0.8189169,0.081390925,between 0.01714170443331965 and 0.044878440872278276
5.10161,3.5627189,6.091761,5.935423,4.33789,-1.9098471,-1.1143183,-1.2849681,0.46503597,0.95836014,0.2851671,0.56888497,between 0.01714170443331965 and 0.044878440872278276
2.7741005,4.300147,8.57446,5.830657,3.1342216,-1.9280274,-0.59222025,-0.6100239,0.08807761,0.19895278,0.362564,0.88445294,greater than 0.044878440872278276
2.1129835,9.49192,4.357616,3.1976624,2.8996787,-1.1559193,-1.360837,-0.45286718,0.21709621,0.29748142,0.3833724,0.37604934,between -0.015556906596825749 and 0.01714170443331965
5.423318,9.083433,5.48371,9.406815,3.2045445,-1.8999257,-0.7717887,-0.5589386,0.26245332,0.39880994,0.4012275,0.59605813,between -0.015556906596825749 and 0.01714170443331965
8.644136,1.2195042,8.173109,5.4064193,3.2444832,-0.63783884,-1.5390276,-1.0657381,0.8070379,0.07644627,0.7379346,0.345888,greater than 0.044878440872278276
2.2874708,8.512641,3.3465958,6.2267184,4.2299857,-1.8339405,-1.3739163,-1.022247,0.4306871,0.16505434,0.16394246,0.8476094,greater than 0.044878440872278276
1.2399261,10.130263,6.615536,8.712137,4.7155848,-1.9249036,-1.9573386,-0.83355933,0.100157164,0.98162675,0.856681,0.74904454,greater than 0.044878440872278276
2.5819402,0.73997587,6.5759697,1.536426,5.4672484,-1.7790116,-1.9608009,-1.7168245,0.13209234,0.7578694,0.64902383,0.73150545,between 0.01714170443331965 and 0.044878440872278276
5.257049,8.447338,0.7880753,7.7086024,4.714491,-1.5874685,-1.936358,-1.1641788,0.38801798,0.9320637,0.5659802,0.7060262,greater than 0.044878440872278276
5.142972,9.726647,8.4625635,7.5651655,3.946396,-1.5491887,-1.1265529,-1.2802967,0.377311,0.7177437,0.71950567,0.4021545,between 0.01714170443331965 and 0.044878440872278276
6.891705,6.4981446,2.0749598,9.053306,3.958995,-1.4840449,-1.6386615,-0.8380435,0.23294675,0.18320706,0.93417007,0.18869315,between -0.015556906596825749 and 0.01714170443331965
1.1422421,5.0273976,3.0015664,2.9703605,1.6585886,-0.5609437,-0.9348489,-0.31150466,0.10006816,0.6467488,0.33637434,0.1688095,less than -0.015556906596825749
1.6273988,6.286788,8.567073,3.030525,3.6838474,-1.6278986,-0.5880112,-1.4565759,0.6923313,0.62631553,0.80735123,0.2878009,less than -0.015556906596825749
9.845407,7.181812,4.9888062,0.83027947,4.1200466,-1.6244718,-1.6049535,-0.89047235,0.3628551,0.117123075,0.73995113,0.44558096,between -0.015556906596825749 and 0.01714170443331965
7.017394,9.168367,8.678399,6.7122607,3.6332798,-1.2684597,-1.5755917,-0.80570585,0.37002802,0.32258597,0.39785868,0.101918556,less than -0.015556906596825749
6.606642,2.204373,8.774348,6.0705967,2.4131842,-1.6623491,-0.47483298,-0.43468508,0.25967366,0.09666666,0.30554438,0.15309961,between -0.015556906596825749 and 0.01714170443331965
8.26807,2.7987502,9.194827,8.246804,3.1630123,-0.6889909,-1.6989813,-0.818041,0.8468842,0.66800946,0.54504955,0.89009243,greater than 0.044878440872278276
4.2155423,5.4768143,2.0160267,8.482751,4.041752,-0.8870042,-1.6488165,-1.5018309,0.69321954,0.10490439,0.9059064,0.3896964,greater than 0.044878440872278276
3.1636312,8.39206,1.6232457,7.969952,2.6303248,-0.98006016,-1.0349463,-0.63502634,0.17158203,0.9463809,0.9656241,0.4244059,greater than 0.044878440872278276
8.758555,10.162412,10.875528,8.6702175,3.2553272,-0.6499622,-1.4216048,-1.2135216,0.89471817,0.35832146,0.97528005,0.36186722,greater than 0.044878440872278276
6.5262513,0.62622786,4.3016033,7.8526335,5.0004797,-1.9259295,-1.4245948,-1.6315078,0.84883875,0.8073723,0.12870014,0.40826,between -0.015556906596825749 and 0.01714170443331965
2.215597,3.5863922,4.7613163,4.1722546,3.2827485,-1.4730988,-1.2767811,-0.49017477,0.16105925,0.53481424,0.6823477,0.9249262,less than -0.015556906596825749
1.2947615,8.903643,9.937832,1.887162,2.7153344,-0.7702344,-1.0768166,-0.8760716,0.48712125,0.7143464,0.46286273,0.88626933,greater than 0.044878440872278276
2.7320507,9.119719,5.548095,8.781383,4.02678,-1.4264245,-1.3388741,-1.2561395,0.5379543,0.6083877,0.57906836,0.5064446,greater than 0.044878440872278276
6.183392,8.33923,1.4716625,4.013334,2.4867637,-0.51081645,-1.0051535,-1.0003257,0.72091454,0.9313938,0.42744252,0.07171412,between 0.01714170443331965 and 0.044878440872278276
2.3067937,7.0439544,4.2267437,8.906578,2.1075828,-0.7616673,-0.9049256,-0.5056386,0.6892258,0.89239126,0.8454603,0.6831954,between -0.015556906596825749 and 0.01714170443331965
3.658446,2.6396468,9.593165,0.89117485,3.521988,-0.75890696,-1.7266995,-1.0191729,0.99871355,0.78100425,0.32794613,0.20493145,between 0.01714170443331965 and 0.044878440872278276
10.00184,2.983038,1.3510771,3.9356208,4.0630875,-1.7996196,-1.3581649,-0.95181847,0.75518817,0.105489075,0.5428118,0.6988932,between 0.01714170443331965 and 0.044878440872278276
1.4538364,5.2087274,1.6581074,7.413078,4.9278526,-1.6915656,-1.9856385,-1.2991701,0.46999043,0.3550106,0.3175911,0.711792,between -0.015556906596825749 and 0.01714170443331965
7.0348597,6.404292,4.930138,4.05646,3.243234,-1.1973724,-1.1376354,-0.9103514,0.7661248,0.25764248,0.21622735,0.9919156,greater than 0.044878440872278276
7.542567,9.799083,7.809637,7.037243,4.0221205,-0.5199889,-1.9496832,-1.5948837,0.39293662,0.51562494,0.41566437,0.19292367,between 0.01714170443331965 and 0.044878440872278276
5.1484623,8.609755,8.16449,4.444456,3.1078978,-0.55209285,-0.4791858,-2.0042763,0.5133107,0.629101,0.5242209,0.87257534,greater than 0.044878440872278276
2.0699549,5.891229,2.3938127,1.1844219,3.2489994,-1.8156815,-0.57502997,-0.8710334,0.9613557,0.35367325,0.39064237,0.3244747,between 0.01714170443331965 and 0.044878440872278276
4.927256,1.6885579,4.64388,6.0913253,3.7026815,-0.9379827,-1.8589907,-0.88730407,0.7983556,0.2882526,0.60089135,0.2356377,less than -0.015556906596825749
7.440745,0.29733786,8.3283615,3.0089154,4.0184293,-2.0180304,-0.9842344,-1.0244032,0.9686605,0.28051102,0.8504937,0.15809062,greater than 0.044878440872278276
6.862858,6.498954,6.6008363,9.6143055,3.6117558,-1.0698915,-1.0481987,-1.5090337,0.9813989,0.09204227,0.76949537,0.552306,greater than 0.044878440872278276
1.7555323,1.0663679,5.3655953,1.6675396,3.8004327,-2.0025835,-1.3558382,-0.5173097,0.40657198,0.30884784,0.19473742,0.2599036,between -0.015556906596825749 and 0.01714170443331965
4.9908953,0.35129985,4.4761877,6.925519,3.4643588,-0.81619936,-1.474477,-1.1492448,0.7842022,0.9052259,0.12005604,0.9452683,less than -0.015556906596825749
2.6555398,4.820365,4.170214,4.762937,2.9214983,-1.133348,-0.765113,-1.0127736,0.4815107,0.2799366,0.09221725,0.2528795,between -0.015556906596825749 and 0.01714170443331965
0.28734687,10.433253,5.6261063,3.841487,4.584532,-1.56263,-1.4131167,-1.5973406,0.54822695,0.7401759,0.4203978,0.85606205,greater than 0.044878440872278276
6.5988693,5.482511,6.429341,2.3213785,3.7784061,-1.2067789,-1.0175725,-1.5486526,0.9606406,0.81211436,0.70654845,0.57983965,greater than 0.044878440872278276
4.1423655,3.488283,2.5258873,3.1143064,2.642149,-0.94990325,-0.5542842,-1.1126679,0.67999595,0.45091158,0.60005707,0.80162853,between -0.015556906596825749 and 0.01714170443331965
