theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
1.2273207,-0.3782874,0.90508896,1.3224291,-0.34248185,-0.11484671,-1.026028,-0.71511066,less than 0.523583695
1.2162409,-0.13829646,0.31499577,1.0191498,-0.86972475,-1.1475073,0.29368857,-0.74676585,between 0.708821715 and 0.9013542725
0.46008417,-0.36039898,0.8859187,-0.30998978,-0.23512702,-0.65942144,0.72715217,0.62312764,greater than 0.9013542725
1.2979796,-0.671389,0.15422158,0.93239355,-0.356805,0.050377488,-1.5814462,0.04929545,greater than 0.9013542725
1.0105997,-0.06136035,4.1541818e-05,-0.96261126,-0.0061306497,-1.0751348,0.708006,0.30521682,between 0.708821715 and 0.9013542725
-0.09301057,0.47046044,1.6456349,0.9168942,-0.0033295054,-0.3244376,-0.97675335,-0.17985806,less than 0.523583695
-1.1731795,-2.3148153,-0.19446106,0.07076101,1.04225,-0.40938336,-0.95215887,0.72875017,between 0.708821715 and 0.9013542725
-0.050681017,0.85641634,0.34712827,0.18947554,0.33681002,1.562129,-0.5773029,-0.18518892,greater than 0.9013542725
0.69242465,0.8684558,0.46207365,0.93794113,1.5454222,0.9178448,1.0840107,0.24113882,between 0.523583695 and 0.708821715
-1.54051,-0.25047934,-0.3647666,0.038991705,-0.636889,-0.16823314,-0.703379,0.3866427,between 0.523583695 and 0.708821715
-0.046206478,-0.88031113,-0.1818579,0.49962088,0.15048468,-0.9825287,-0.2621332,-0.3180199,between 0.708821715 and 0.9013542725
0.22702391,0.38245618,0.058983453,-0.0727688,-0.3911528,-0.36754113,1.0423317,-1.001533,greater than 0.9013542725
0.9102025,-0.16254397,0.18531413,0.7292543,0.0761773,0.8628973,0.31233928,0.9174995,between 0.708821715 and 0.9013542725
1.7670149,-0.603389,0.32579046,-0.622757,0.57872355,-0.7998342,-0.8088117,1.8668466,between 0.708821715 and 0.9013542725
0.5547774,1.4440581,1.392971,-0.8081822,-0.50664794,-0.10006151,-0.29831135,0.9578018,less than 0.523583695
-0.3373509,-1.5758461,0.871995,1.1344028,0.5727837,-0.12816276,-1.9684976,-1.6121353,between 0.708821715 and 0.9013542725
