bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
3.0009894,0.9976727,1167.4097,3818.2402,2.023926,0,-0.007870797,3.00009,5.995747,1153.6644,-1.1878164,1979.8364,-0.3613514,98109.74,47.57359,-122.28843,1109.4155,4425.588,2013.9993,7.9863605,30.604172,between 321950.0 and 450000.0
4.006162,2.0315814,2301.9932,23286.596,2.0059404,0,0.00070372,3.0004096,7.9831123,2291.3306,-0.14460349,1988.409,0.48957112,98069.055,47.63497,-122.42711,2587.4346,18382.863,2013.9998,9.959847,27.574596,greater than 645000.0
3.9938245,2.5526567,3204.7268,2643.2815,3.0105784,0,-0.010887917,2.9998395,8.994473,3180.1858,-1.1001544,1995.6681,-0.25199142,98034.74,47.54103,-122.03982,2702.9622,3223.3777,2013.9995,12.050666,11.668503,greater than 645000.0
3.0044615,2.5142474,1917.168,2269.7554,2.0061245,0,1.9715995,2.9983294,9.003576,1905.9023,-0.48266685,2020.1324,-0.23271628,98121.22,47.768894,-122.36911,405.93515,2329.6345,2013.9996,8.012699,19.735325,greater than 645000.0
3.9992013,1.7630341,2026.3684,10726.282,1.0005108,0,-0.0047294395,5.0024185,7.0027685,1606.2086,425.03253,1966.5851,0.11912584,98027.125,47.376568,-122.31421,2122.3308,11115.956,2014.0001,7.986084,13.792655,less than 321950.0
3.009372,2.4943044,1776.147,6002.227,2.00792,0,0.0008952826,5.005107,8.007682,1729.1538,-0.12981166,2003.3873,-0.23824085,98073.11,47.643658,-122.03399,1845.1687,9347.036,2015.0057,3.954572,11.254668,greater than 645000.0
4.909756,2.2416754,2383.055,13542.268,0.9911144,0,-0.005916572,2.9999855,7.005687,1374.6698,1004.51166,1958.4637,0.27884924,98031.67,47.512188,-122.00255,1903.1582,10198.626,2014.0026,11.943811,22.500254,less than 321950.0
2.987864,1.4844738,1372.1549,3560.1846,1.5021224,0,-0.00023603922,3.0003724,7.017537,1367.2858,0.021170437,1905.939,1.1992387,98141.984,47.54927,-122.36928,1600.9697,2730.9365,2015.0033,4.0053577,1.7180119,between 321950.0 and 450000.0
2.9909565,1.9967709,2082.9392,9073.499,2.0016174,0,0.0006879809,2.9995353,8.01468,2087.2834,-0.4773214,1993.9078,-0.18293588,98073.734,47.545322,-121.912254,1702.1211,7884.6675,2015.0034,3.9687316,9.357703,between 450000.0 and 645000.0
3.0011313,1.7476546,1089.3123,5160.155,2.0087337,0,0.0018477496,3.0003083,6.0030437,1080.9268,-0.054652214,2008.7208,0.33253598,98079.125,47.474308,-122.42571,1237.0609,7038.841,2015.0005,1.386768,3.1371288,less than 321950.0
2.9940798,2.4919639,2538.532,1810.6548,2.0066745,0,0.0012234849,2.9966998,8.007248,2614.733,0.39518154,2011.2869,0.24299079,98114.72,47.69906,-122.25784,3007.3384,728.32056,2013.9999,9.0261345,6.7743278,greater than 645000.0
3.001002,2.2507281,2123.2654,3635.4907,2.0001955,0,-0.0037131715,5.016305,7.9874444,1443.7302,682.87726,2002.0225,-0.2825687,98127.46,47.720585,-122.30673,2228.685,3520.7283,2013.9998,7.966976,23.487337,greater than 645000.0
3.9977384,0.9980439,1206.258,6147.7085,0.99781895,0,-0.0049022953,2.9986284,6.9946823,1209.9476,-2.7821343,1923.2384,-0.34722942,98116.29,47.547756,-122.36171,1174.5468,8353.611,2014.0,10.01031,1.0894613,less than 321950.0
2.9962466,2.262064,2295.914,-146.95523,3.058094,0,3.7695925,2.999566,8.032615,1446.3418,751.69257,1997.2456,1.2428629,98116.61,47.699482,-122.420784,1512.7782,2870.88,2013.9996,9.964527,9.563258,greater than 645000.0
3.998785,4.2342463,4757.5273,2234.1904,3.0362544,0,0.00064066355,2.9993005,11.259643,4349.7246,416.14404,2002.0463,-0.2277912,98112.555,47.58425,-122.488434,2780.981,3959.5437,2014.0002,7.9293356,6.5191693,between 450000.0 and 645000.0
4.0145445,2.0177126,1434.2695,4500.054,0.99987274,0,0.0017816557,2.9991086,6.991704,1460.1654,-2.6645408,1885.7262,0.34904355,98120.12,47.517033,-122.27649,1488.0878,4877.624,2014.0015,5.075844,5.041403,between 450000.0 and 645000.0
2.9886103,1.7349759,1796.8401,3397.7764,2.001323,0,0.0017359334,2.998147,8.002488,1829.168,-1.1892273,2000.7068,-0.02349785,98025.73,47.346676,-122.28067,2290.8384,4647.099,2014.001,10.019928,12.43736,less than 321950.0
3.00097,1.9938804,1360.2773,4767.5005,0.99443895,0,-0.00043796175,3.9997303,6.994289,1343.5458,-0.6938502,1950.5787,-0.14310084,98113.75,47.678757,-122.3406,1125.5812,4719.2627,2013.9996,7.0336413,30.563206,between 450000.0 and 645000.0
