LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality,SALE_PRC
25.785513,-80.23015,7900.948,1356.9861,962.4784,1286.8035,17463.848,378.05225,12854.371,11938.874,3168.9663,84.376076,0.015340088,10.057082,4.0064487,between 310000.0 and 428000.0
25.624353,-80.35598,11933.461,2505.8264,7785.1797,4680.045,15699.424,11963.933,77287.695,27539.936,9013.178,31.981314,-0.00031376685,5.092865,2.0049717,greater than 428000.0
25.649405,-80.44279,10379.881,3233.7935,-265.69238,203.85052,46859.47,35758.7,94457.97,45026.066,18670.938,0.30957773,-0.00021852204,4.890443,4.001733,greater than 428000.0
25.548098,-80.390625,4763.428,2037.3491,-269.30463,2829.8225,22668.184,6590.2686,105785.83,55760.55,1962.6034,32.21203,-0.00022276845,8.994976,1.9916857,between 235000.0 and 310000.0
25.572542,-80.34623,4918.7285,1361.1019,-29.627407,11168.162,12109.233,2146.5876,89738.69,43134.945,6086.281,20.863432,-0.0010234922,6.030336,2.0155365,less than 235000.0
25.914759,-80.20877,7360.5264,1557.4846,1992.5986,9678.165,28268.547,1546.3802,49988.367,49424.19,1371.0763,22.004364,-1.3746467e-05,8.017093,4.0096774,less than 235000.0
25.486715,-80.44357,6671.185,1015.6735,634.7902,13596.391,33783.254,24075.752,134174.38,85152.08,4416.903,19.12506,-8.189419e-05,9.992413,2.000518,less than 235000.0
25.761894,-80.29063,7888.867,1142.2314,1433.4526,6075.488,21146.703,2122.9072,32657.629,11830.9375,5624.549,64.77833,8.863449e-05,8.004702,4.0007906,between 235000.0 and 310000.0
25.941021,-80.269356,7033.2876,1244.4954,3961.514,15652.347,49172.12,2884.1377,64649.453,64649.836,5510.0596,54.62603,-0.0013602171,7.9772573,4.0026994,less than 235000.0
25.707405,-80.460754,14159.367,2475.36,1481.7234,10756.761,60677.598,46272.63,91812.16,49047.234,24768.129,12.594114,-0.0001008494,5.071229,4.005647,between 310000.0 and 428000.0
25.737284,-80.29778,5871.6733,1420.638,1030.9027,3522.1077,16913.004,639.11255,37134.03,16816.746,1938.713,26.136745,5.818662e-05,5.977749,4.007556,between 310000.0 and 428000.0
