lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
8.261549,24.119051,51386.543,3095.571,9346.24,441.50443,438.41962,920.2015,737.00256,3.5754173,18.330309,1.0414258,59.86732,1.1893258,between 0.962 and 0.975
9.281764,27.103987,72761.97,3558.6326,9809.274,645.2575,645.47705,1077.3568,781.3146,4.4962115,22.331743,1.0502465,89.418045,1.774149,between 0.962 and 0.975
8.28003,24.065948,51458.047,3095.5269,9294.905,440.17212,440.31604,917.7129,727.5826,3.6166751,18.768547,1.0419179,60.767143,1.1989467,between 0.975 and 0.988
2.0691557,5.9838014,1868.143,1359.7456,6764.6255,25.43952,22.28844,487.42377,558.32495,1.17259,6.359142,1.018994,11.850836,0.11687924,between 0.962 and 0.975
2.0256803,5.9183383,4533.1606,1380.2977,6804.766,28.1411,27.258055,555.2274,567.4267,1.2565603,6.7603083,1.0190632,1.2926567,0.18806286,between 0.975 and 0.988
9.340714,26.986763,71183.46,3575.031,9772.779,647.2899,646.74243,1081.2981,780.189,4.482927,22.65497,1.0495582,89.27164,1.7703909,between 0.962 and 0.975
6.15739,17.971169,29795.898,2309.433,8819.315,246.1884,246.95085,776.89166,669.2998,2.5031874,13.244819,1.0300695,34.401787,0.68242145,less than 0.962
2.0789993,5.611323,4364.3906,1336.8394,6753.487,19.292686,18.723356,565.33795,565.7884,1.2451077,6.7592707,1.0189745,21.12029,0.21414322,greater than 0.988
1.0575627,2.8179643,1067.7059,1427.7521,6576.7544,11.931898,13.062289,474.8637,552.1725,1.1559758,6.380256,1.0192478,-3.5165243,0.10300566,between 0.975 and 0.988
4.124905,11.934511,14496.219,1543.8026,7741.901,112.85077,113.965225,645.3746,607.6704,1.6534245,8.935764,1.0219914,17.217653,0.34437656,between 0.962 and 0.975
2.164787,6.2583785,6465.0576,1354.8942,6777.027,31.749866,31.18809,578.721,569.22437,1.3180448,7.0811667,1.0198003,22.580183,0.23983395,between 0.962 and 0.975
1.0774571,2.9899497,3592.3506,1374.8379,6612.514,8.437981,8.054243,546.1484,557.26385,1.2248471,6.620718,1.0189458,8.842281,0.19351722,greater than 0.988
2.0860186,5.712325,3483.27,1342.3181,6700.621,20.56637,19.505589,557.93,564.9829,1.2229501,6.792636,1.0188998,24.670181,0.20835277,between 0.962 and 0.975
9.530819,27.060993,72569.1,3563.0894,9781.406,648.5212,645.94055,1103.9673,786.0949,4.5062404,22.723711,1.0502622,91.72316,1.8172827,between 0.962 and 0.975
6.25362,18.130713,29962.307,2314.2153,8850.79,247.60497,247.95732,777.3705,671.95636,2.4962027,13.0438175,1.0300295,34.27429,0.6780531,between 0.962 and 0.975
9.393282,27.0043,72849.18,3562.7092,9768.441,646.8626,644.9779,1050.4349,773.2804,4.506946,22.193113,1.0506747,86.77293,1.7218577,greater than 0.988
9.218243,26.90836,72415.87,3543.0208,9754.988,638.28674,646.92645,1056.9576,773.2201,4.4938126,22.36636,1.0513285,87.49314,1.7334728,greater than 0.988
2.059171,5.781079,6484.8115,1392.9326,6827.3184,29.304852,29.520353,594.5876,572.79584,1.328222,7.137606,1.0200214,0.49938175,0.24107629,between 0.975 and 0.988
8.215506,24.045597,51191.656,3082.1118,9278.789,435.1353,437.8268,912.2371,724.7675,3.6159518,18.736156,1.0418959,59.77506,1.1844312,greater than 0.988
6.2151036,18.044525,29876.025,2312.5784,8826.441,247.03104,247.04132,785.72614,672.23566,2.5161943,13.373592,1.0298462,35.18709,0.69703686,less than 0.962
1.091278,2.946878,2177.8816,1366.4736,6695.3306,8.098739,8.759898,508.70374,558.3767,1.1668652,6.2572055,1.0189061,9.395797,0.1372928,between 0.962 and 0.975
6.21584,18.055204,29995.67,2318.165,8811.261,247.44395,247.27242,787.07916,670.9802,2.5174575,13.414306,1.0301274,35.370586,0.6956815,less than 0.962
5.133087,14.965178,21488.443,1919.3383,8477.316,175.65381,174.99806,690.09186,632.6865,2.075676,10.888398,1.0270654,24.020498,0.47894618,between 0.975 and 0.988
8.238157,23.992426,51237.63,3088.1064,9328.582,440.10254,437.7164,924.6331,736.81006,3.5564418,18.402111,1.0408292,60.314636,1.1939245,less than 0.962
3.1240246,8.936795,8181.2793,1385.024,7134.453,58.724373,59.51532,583.3371,582.11975,1.3766489,7.3557878,1.0199703,12.188124,0.24043237,less than 0.962
7.162847,21.030777,39104.113,2684.8118,9135.332,334.18045,332.65753,830.32556,692.537,2.9745042,15.571273,1.0350741,44.413975,0.8753343,between 0.975 and 0.988
3.0995617,8.932423,8227.449,1381.2458,7092.6567,58.97022,59.095497,580.25836,579.5066,1.3796325,7.3870945,1.0199968,12.090513,0.23641095,between 0.975 and 0.988
2.1558275,6.068965,6134.2705,1373.1908,6820.366,34.256252,33.006733,573.3174,569.5781,1.3054452,7.0605397,1.0200526,13.729941,0.22909889,greater than 0.988
5.100997,14.968802,21487.926,1918.876,8476.067,173.72095,174.38661,688.89825,632.813,2.0664606,10.926822,1.027258,24.298655,0.47641635,between 0.975 and 0.988
4.1607647,12.055841,14905.159,1547.4312,7757.9814,114.82055,113.87822,644.4077,607.5433,1.6614724,8.968748,1.0220246,17.39907,0.34469244,between 0.962 and 0.975
2.0639927,6.083844,3753.7498,1403.4829,6791.8984,33.45897,30.02864,514.003,560.38794,1.2519212,6.6614556,1.0200467,0.29025978,0.13880444,between 0.975 and 0.988
2.0663633,5.6761165,2718.9766,1360.565,6826.924,23.963427,23.856302,503.79492,559.8025,1.1970872,6.3437815,1.0190017,9.82929,0.1319237,less than 0.962
2.059491,5.9410305,4595.7427,1398.3533,6748.327,25.581608,24.470789,560.45953,565.8897,1.2657577,6.866683,1.0199614,2.2993145,0.19764006,between 0.975 and 0.988
7.106165,20.93957,38932.293,2672.2778,9110.744,332.07434,332.87268,828.2556,688.81805,2.9878392,15.758718,1.0356036,44.4914,0.88118875,between 0.962 and 0.975
2.0671835,5.8716116,3986.137,1348.4923,6784.572,22.946981,21.320879,552.42786,566.159,1.225288,6.6838374,1.0189011,19.688534,0.19437414,between 0.962 and 0.975
7.1630545,20.989634,39092.977,2683.5237,9109.663,332.6793,333.12524,824.36426,685.6921,3.0090494,15.915234,1.0363307,44.639675,0.8822414,greater than 0.988
4.142821,11.964935,14641.1455,1548.0851,7796.4053,112.86197,113.091965,638.0094,607.54944,1.6473217,8.838629,1.0229337,16.952198,0.33345738,between 0.962 and 0.975
2.1206248,5.967398,6152.048,1362.1036,6796.644,25.270044,25.233395,596.9141,572.96277,1.3087002,7.0071115,1.0194032,19.144281,0.25300464,greater than 0.988
4.138591,11.9796095,14691.434,1541.6246,7788.5522,112.46524,113.890594,625.0718,604.10864,1.6535442,8.743003,1.0228623,16.34562,0.32465813,between 0.975 and 0.988
2.1277814,6.011122,3484.5825,1358.9656,6863.8003,31.003534,30.235613,520.4362,562.5945,1.2239103,6.5840364,1.0189939,0.03736023,0.14755492,between 0.975 and 0.988
2.1178024,6.259711,5401.9746,1372.4635,6763.253,33.382416,35.201675,571.1342,568.96716,1.2957267,7.108367,1.0199559,12.460853,0.22018701,between 0.975 and 0.988
6.155618,17.97482,29869.654,2308.647,8857.133,246.75575,248.02899,781.1849,674.1323,2.4951315,13.0263,1.0300366,34.45337,0.68236256,less than 0.962
8.235667,24.051165,51076.57,3088.0037,9316.124,436.4346,437.6313,924.74493,733.23083,3.581786,18.475126,1.041384,60.19676,1.1953287,between 0.975 and 0.988
2.0343964,5.9390435,2642.2102,1367.1777,6903.0493,22.63175,22.69229,504.00488,560.45905,1.1802288,6.260006,1.0189681,8.204932,0.13288684,between 0.962 and 0.975
4.1161637,11.967654,14573.333,1544.4854,7797.884,113.896225,113.04408,628.9582,605.18134,1.6489592,8.743182,1.0228086,16.561094,0.33092698,between 0.962 and 0.975
6.189839,18.04583,29915.51,2314.2317,8832.853,246.92107,246.04599,792.31287,674.9006,2.5090985,13.237312,1.0299798,35.21423,0.6990047,less than 0.962
2.1659572,6.0973096,5987.512,1337.1776,6876.9775,23.4572,22.104494,608.01025,578.48914,1.294357,6.972606,1.0189966,24.654343,0.2640818,less than 0.962
2.0378802,5.9000087,3866.9397,1342.5421,6845.219,21.942345,20.950197,539.9567,564.4363,1.2283964,6.5804663,1.0190625,21.493246,0.18652695,between 0.962 and 0.975
2.049639,5.558723,1808.3911,1375.5436,6764.8047,24.798887,24.22444,490.626,557.7278,1.1733325,6.394813,1.0191095,-2.3049848,0.11476098,between 0.962 and 0.975
1.3681637,7.0287995,8531.602,1357.2123,6940.139,20.223272,20.756044,639.26697,584.3325,1.3827832,7.430173,1.0199376,32.06723,0.3075519,between 0.962 and 0.975
2.1200643,5.9954057,2477.8323,1371.2971,6778.3354,28.994211,28.564568,503.50616,559.1292,1.2002655,6.4642015,1.0189086,2.9270482,0.12414614,between 0.975 and 0.988
1.0727688,2.969814,6144.2466,1358.2402,6650.4546,6.7461863,8.756206,594.86884,564.50745,1.3009527,7.0148144,1.019026,12.821959,0.2541268,between 0.962 and 0.975
5.1832347,15.045389,21823.555,1926.9429,8503.578,175.05054,175.06151,722.39886,642.9669,2.0699344,11.133041,1.025879,25.773563,0.5131161,less than 0.962
2.111069,6.0313487,5963.6597,1378.9496,6800.642,29.364794,30.97073,574.8236,569.35394,1.3108839,6.983555,1.0198818,9.881224,0.22635305,between 0.975 and 0.988
8.257356,24.03684,51182.12,3089.7808,9299.023,439.81573,440.34238,928.98596,731.0891,3.6057973,18.763895,1.0413207,61.05665,1.2093213,between 0.975 and 0.988
3.1212177,8.956834,8403.224,1390.3522,7085.6943,61.712326,59.356102,575.5615,577.7831,1.3840976,7.4454985,1.02116,11.871231,0.23557088,greater than 0.988
6.2362614,18.086609,29926.918,2313.7356,8816.956,247.5437,249.08098,774.006,667.12366,2.525342,13.388064,1.0300635,34.75431,0.6869914,between 0.975 and 0.988
1.039026,2.9393034,3159.0142,1380.8245,6605.6753,9.000553,8.339526,543.4846,558.5127,1.2186654,6.628155,1.0188822,2.937582,0.17433514,greater than 0.988
2.0891757,5.948665,3180.9043,1365.9801,6855.9805,25.950066,25.680906,521.4694,562.9596,1.2127655,6.526659,1.019034,8.62498,0.15490873,less than 0.962
4.190513,12.003106,14792.623,1543.899,7764.3164,114.63008,113.93046,637.14496,605.76636,1.6624161,8.902477,1.022098,17.188276,0.33735517,between 0.962 and 0.975
4.06305,11.937028,14683.812,1543.4519,7787.4565,113.34063,113.236755,659.3456,613.3456,1.6535702,8.957169,1.0215982,17.944191,0.35364574,between 0.962 and 0.975
2.1223311,6.0207844,4471.369,1356.4879,6819.7236,26.269047,26.046421,544.0204,565.7086,1.2516291,6.699795,1.0191307,19.623867,0.19239797,between 0.975 and 0.988
1.3656404,3.1043065,2096.7192,1392.2627,6671.578,10.421043,10.723616,509.816,557.87024,1.1785864,6.387602,1.0188581,0.22546247,0.13035014,between 0.962 and 0.975
2.1229558,6.332155,2704.45,1356.5502,6914.7856,29.107145,29.763226,508.6425,562.00775,1.1892958,6.379917,1.0190184,17.30887,0.14037928,between 0.962 and 0.975
