F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
8194.517,2026.4624,0.24771228,80.35819,1153779.9,97.77224,3976.9233,37.936077,35.55627,between 5.03 and 13.379
13870.909,4473.062,0.3223843,155.56119,1905022.6,218.28755,5188.856,165.86275,25.508327,between 5.03 and 13.379
11995.691,3569.1519,0.29756585,115.87232,1669555.0,176.01334,4249.4243,97.06562,32.035076,between 5.03 and 13.379
9475.498,2252.0862,0.23715504,110.61595,1312355.0,118.83752,3535.6614,17.667109,35.37534,between 5.03 and 13.379
8577.799,2304.8533,0.2681941,89.74772,1200504.6,105.266594,4231.308,51.569946,35.12687,between 2.305 and 5.03
5581.003,1951.3768,0.35259032,42.59342,753569.4,81.02641,2555.386,55.522915,43.15753,greater than 13.379
11579.671,6137.012,0.51860875,113.6347,1576748.6,181.6463,5519.1245,113.03254,29.47708,greater than 13.379
8885.013,378.6673,0.07942075,80.11028,1204861.2,91.28385,4640.8477,73.63573,35.902676,between 2.305 and 5.03
13759.544,3071.596,0.22488923,222.32129,1893461.6,205.83975,5038.898,46.48632,21.943605,between 2.305 and 5.03
8838.396,2572.2708,0.29108956,81.66937,1210283.1,135.8258,3309.3035,25.871935,37.49711,between 5.03 and 13.379
15612.98,3722.5488,0.23942497,186.94005,2141149.0,205.27663,4296.58,62.930626,31.581291,between 5.03 and 13.379
8319.907,2709.89,0.32593748,82.49729,1188898.0,115.17323,3569.4736,25.291567,37.373558,less than 2.305
10287.667,2434.1218,0.23698992,154.75142,1424189.9,176.23695,4767.9126,154.26059,28.635164,less than 2.305
8829.682,2771.885,0.3143269,95.69993,1246083.2,122.50967,3466.07,51.47859,35.984104,between 2.305 and 5.03
7027.9946,2272.187,0.322654,68.132454,977471.25,110.21903,3083.1655,18.080513,39.4344,less than 2.305
11671.338,5045.9526,0.43331474,141.86253,1594762.8,195.67769,4859.4473,160.30048,27.900732,between 5.03 and 13.379
8763.192,3862.1365,0.44061807,90.42082,1208346.9,146.58575,4229.808,52.89279,33.969204,between 2.305 and 5.03
9614.602,2968.0483,0.30870116,109.47662,1345524.0,142.97223,3520.2092,53.22142,35.36712,less than 2.305
11427.77,4106.0176,0.36008552,97.64943,1587240.0,192.37683,6808.43,106.28784,30.251072,between 5.03 and 13.379
8632.386,2904.8408,0.33686617,80.23489,1215502.0,117.339226,3754.2007,33.60911,37.579933,greater than 13.379
9972.711,3035.82,0.30416563,101.130424,1386516.4,136.80106,3886.9644,88.31942,36.30772,less than 2.305
7939.0967,2454.701,0.30976963,61.260998,1122939.1,102.70635,3837.9417,20.743313,37.407494,between 2.305 and 5.03
6910.4062,1762.009,0.2547198,64.498276,981459.7,91.32145,3232.647,17.823383,40.06003,between 5.03 and 13.379
5885.384,1640.987,0.27810127,44.944973,826483.7,68.20583,2083.62,55.90693,43.004986,greater than 13.379
7337.725,2212.9307,0.3019406,59.63339,1018079.3,113.53572,3263.2363,31.042625,41.150425,between 5.03 and 13.379
10182.007,2348.6553,0.23173039,127.80788,1430871.8,138.17145,4290.048,35.122047,32.609493,less than 2.305
13411.991,3598.973,0.26841766,177.18741,1809852.2,188.79614,4731.223,124.41158,32.613937,less than 2.305
15901.768,4566.608,0.28707767,177.39978,2225863.2,213.68767,4923.8105,78.708275,28.149828,between 2.305 and 5.03
9530.675,2134.9778,0.22313541,109.222244,1350719.0,112.87755,4329.524,42.41195,34.492466,between 5.03 and 13.379
14836.172,3878.735,0.26106292,199.56306,1985357.6,211.04468,5347.0317,196.5662,26.369074,between 2.305 and 5.03
6603.5386,2058.7542,0.31231087,54.564606,905230.94,99.08295,3134.6956,37.094025,38.531322,between 2.305 and 5.03
3521.9,-35.14901,0.6024129,-26.160646,496602.25,35.4741,2250.5378,259.87854,45.611034,between 2.305 and 5.03
7208.3726,1949.762,0.2701824,55.02716,1023485.6,94.01126,2858.138,17.389765,38.788147,between 5.03 and 13.379
7627.8906,1672.2626,0.21912287,102.97376,1080466.8,114.289444,3594.5298,51.12585,35.823,less than 2.305
6813.689,1171.7151,0.17285027,73.71573,937708.3,87.57937,3019.9802,30.373104,38.776863,less than 2.305
14726.833,4654.3037,0.3157365,164.32896,2092616.0,253.59082,5683.1353,129.14955,24.21362,between 2.305 and 5.03
9244.033,3766.648,0.40753594,96.02208,1257240.0,134.15633,3440.522,43.312164,36.527576,greater than 13.379
11890.634,3582.5217,0.30106518,171.04718,1673206.6,202.66624,4349.0127,76.07571,30.633533,greater than 13.379
6584.636,1799.304,0.27339974,66.900536,927968.44,107.00633,3777.315,78.92262,37.0016,between 5.03 and 13.379
9811.563,3369.994,0.34418342,84.34629,1365216.6,176.03932,3939.6167,43.504215,34.155277,greater than 13.379
10555.523,1843.5552,0.17605336,148.16428,1441323.8,143.72942,4364.81,142.5487,30.771317,between 2.305 and 5.03
10065.677,2840.6123,0.28173068,93.383354,1374677.8,138.20386,3969.8438,105.88454,35.247562,less than 2.305
9455.548,2539.715,0.26827198,117.19103,1297143.4,130.24959,4063.4368,37.325317,35.89799,between 5.03 and 13.379
8939.646,3639.7336,0.40924388,80.032234,1290283.1,139.76479,3548.9182,54.74965,36.06844,greater than 13.379
7750.0347,2245.1777,0.28999618,96.4804,1089687.2,110.48146,3934.8108,23.29377,35.919247,between 5.03 and 13.379
10148.3545,2277.3164,0.22443947,90.49846,1408447.5,135.90292,4174.5005,94.95967,34.859028,between 5.03 and 13.379
7145.8604,1945.7198,0.2712473,60.095577,995660.0,95.90675,3534.1094,22.982386,37.088173,less than 2.305
18599.777,5049.0396,0.2722538,244.1245,2579070.2,289.63434,6284.1904,106.177635,19.81388,between 5.03 and 13.379
6592.122,1944.4073,0.29543215,74.12481,899437.4,108.02453,3424.323,18.882214,36.692894,between 5.03 and 13.379
8159.9976,2071.8047,0.25400263,74.25218,1169031.2,92.0447,3359.2578,17.0311,37.20539,between 5.03 and 13.379
8148.212,2228.014,0.27341813,90.12604,1142747.4,119.47818,3686.3503,47.89727,36.014973,between 2.305 and 5.03
9854.825,3434.5906,0.34896812,86.61025,1371358.0,128.44243,3978.9307,78.20121,36.75637,greater than 13.379
11831.846,3668.2002,0.30989343,156.01546,1638976.4,187.41121,4075.4849,116.11806,29.848263,greater than 13.379
10736.752,3128.869,0.29072312,96.81944,1527750.1,158.53468,3927.1714,21.38363,32.679806,between 5.03 and 13.379
