theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,thetadd6
-0.035836842,0.016343195,1.5902032,-0.6786609,1.3565454,1.4992621,-1.5734674,-0.43585965,0.29031357,0.2702351,-0.70520437,-1.1243732,25.488861,48.70643,-40.78703,-13.099385,-57.844097,1.3442112,1.7953471,1.1272997,1.2409078,0.28883094,1.1885872,1.5346196,1.5647973,0.80391926,0.076460056,1.8838845,0.8037508,2.1740685,0.60309863,1.769613,greater than 0.02356751225
1.7911814,2.3089612,-0.5925506,1.4369843,-2.0669498,-0.7995364,3.138172,0.7575347,-1.6235272,-2.9774072,-0.7332873,-1.9276954,25.226294,54.290188,-58.00401,49.65186,20.937199,1.4908717,0.96969604,1.4288672,2.0625465,0.48119363,0.6720549,1.209727,2.2125866,0.41996977,0.60122323,0.58834153,0.7832385,1.095714,0.5672939,1.5838356,between -0.023711622 and -0.00016276260500000002
-0.47976208,2.5105448,3.1097906,0.32544458,0.3685112,-1.4451791,1.1841887,-0.12815182,-0.09589328,-0.20346151,-0.8857711,0.6026063,-41.06738,24.441833,-48.87242,57.86333,-17.041033,1.2554677,0.91112924,1.7536281,1.1091155,0.6699292,1.5709723,1.6268811,0.86524415,1.1914699,1.0869344,1.7135681,0.6963393,1.7267032,1.514107,2.6056483,between -0.023711622 and -0.00016276260500000002
0.372893,-0.07069465,-1.6337054,0.2858788,-0.5144226,1.85595,-0.21854539,-0.23467498,1.5162618,-0.66108847,-0.86886454,-1.222216,-43.63227,-47.411568,-14.714284,33.09201,46.45401,1.4397221,0.40919384,1.9350498,0.62764794,2.2081528,1.9142481,0.38784862,1.415279,0.32433683,1.5013794,2.0165493,1.1921637,2.2696695,2.1096482,2.8062136,greater than 0.02356751225
-1.5204878,-0.68317664,1.297851,-2.8112993,0.6576898,1.7721981,-1.7423289,-1.1772453,1.574309,1.7626022,-2.4326096,-2.4131558,-10.028858,40.126637,-61.31118,10.853186,17.093771,2.020693,2.286463,0.7915752,1.7959123,2.3950295,0.94815886,1.4665847,1.8207239,0.6728085,1.6873528,1.85942,1.3521998,1.3000295,1.1434311,0.48904604,greater than 0.02356751225
-0.49499294,0.037801083,0.39924255,1.4906036,1.5068053,1.9044044,-0.17659377,-0.0057757497,1.9966698,0.04389907,0.74652016,-1.5837756,-19.436132,-8.831299,-68.729324,11.951488,-29.358498,1.6301861,1.5479637,2.2790961,1.5162587,0.90427125,0.93818384,0.1633094,1.7778028,1.9544398,1.4154785,0.6414968,0.32402962,2.52068,1.0530295,2.131573,between -0.023711622 and -0.00016276260500000002
-0.14884743,1.1741186,2.5214612,-1.6175944,2.4761484,1.7890133,-0.19171588,0.21919082,-1.7083621,2.9625885,1.6373433,-0.6897777,-39.585487,65.65102,45.933235,38.743786,66.0049,1.755913,0.57368344,0.93654907,0.48511523,1.4056894,1.1034873,2.731023,1.4407724,1.4156477,0.5200982,2.4108088,0.40467587,1.434442,2.4909818,2.392164,less than -0.023711622
-1.3507769,-0.71359533,-2.080767,0.4064888,1.4036233,-2.4147031,0.9294021,0.49401602,-0.7924914,-0.4603731,-0.8634044,-0.30839184,-47.40864,-43.813385,49.744488,-18.64162,4.0708275,1.8415607,0.60088164,0.92823136,0.15145223,1.4571992,1.7415286,1.091054,1.3544204,0.43382946,0.584836,-1.2355516,1.8259134,0.8076932,3.3673365,0.5765231,between -0.023711622 and -0.00016276260500000002
-1.4079642,-0.9362696,-1.0021456,1.8303055,-1.5879661,1.0033635,1.6603047,-0.18616734,1.5903522,-1.7956359,-2.0056438,0.4529165,43.376026,18.676584,-4.010946,24.367495,6.4936013,1.572246,0.37041584,1.9381871,0.36919123,0.18996336,1.0445234,-0.021302966,2.8253522,0.5488962,0.94023395,2.1628373,1.2244114,1.9353709,1.8977989,1.6262171,greater than 0.02356751225
0.7854187,-0.23404744,-0.41411695,1.1699436,-0.22626875,1.6465873,0.16697173,-0.22474477,2.6168733,1.1467171,-0.5990279,1.0454262,-37.41245,-55.794292,-43.152653,-42.185543,-35.809185,1.5677767,0.43779102,1.1577498,1.7090894,2.3354557,1.7141482,1.7470472,1.8130591,0.30022174,1.2294446,0.74855524,0.74338496,0.8623609,1.6800753,1.4466109,between -0.023711622 and -0.00016276260500000002
0.38997868,2.1995747,2.794215,-0.77768636,2.241043,1.8329152,1.2747055,-0.036998037,1.3639486,-1.5162864,-0.6949179,-2.050239,48.79491,-53.654755,-67.535835,38.581406,54.975784,1.2132958,1.2600466,1.9984704,1.0267683,1.1400621,2.1817944,1.2324808,1.9218991,2.0696769,0.7751264,1.3219934,1.3791019,2.4779367,0.9440903,0.81860864,greater than 0.02356751225
0.2115906,0.6559522,3.6004446,-1.6333754,0.7288581,-0.29189768,1.1650156,0.9227983,0.050385043,-2.1083088,0.4589078,-0.07650634,-39.053246,40.759884,42.277466,-38.90842,5.12146,2.4844282,2.6791334,1.4055157,0.46866298,0.3211213,1.5485514,2.025336,2.9512253,1.9727187,0.8138645,1.9459321,1.8626283,2.2072718,1.6997768,1.6234509,between -0.023711622 and -0.00016276260500000002
-0.7229363,0.49802414,-0.96607566,0.014333551,2.05734,0.2577866,-1.7278539,-0.86131185,-2.489719,2.2851288,-0.1411402,-1.3400608,4.2088504,2.4204338,-54.30721,57.756958,-30.529785,1.8730628,2.0196779,1.9360006,0.451642,1.8759761,1.1649585,2.2446558,1.8735083,2.4512448,0.37488684,1.0391375,0.96399695,0.8464681,0.52020556,1.5562637,between -0.023711622 and -0.00016276260500000002
-0.1058291,1.878784,0.02093706,0.05495541,-0.26760575,0.32868874,1.4874115,0.10309,-1.0624835,0.58853465,-1.1576431,-0.71904993,33.918312,-26.910425,52.776085,47.455956,-59.79177,1.756661,2.3151748,1.5316435,0.5820202,0.8405875,2.3565433,1.7349682,2.228189,1.142437,1.380216,1.8654271,1.969565,1.8838665,0.34707466,0.7144676,between -0.023711622 and -0.00016276260500000002
-0.41895953,0.044582926,0.8815758,-1.1621948,1.307593,0.6690134,-0.1150476,-0.6707376,1.9118706,-0.22927389,-0.9742354,1.7712201,-66.42286,54.270622,53.446686,-13.530382,48.490654,1.6015517,1.4395734,0.5776665,1.5188783,1.3978308,0.7215476,1.767739,1.9100008,0.44772562,2.3925056,2.2536707,0.18497135,1.2190037,0.6413858,1.2536585,between -0.023711622 and -0.00016276260500000002
-0.6192939,1.8587979,-1.2060506,0.5247821,2.2843359,0.62774205,1.5049074,0.5387294,0.46232477,-3.0258338,0.81370944,2.6640651,-4.2294793,-72.95813,9.160971,52.183037,44.189873,1.0897642,1.5341944,2.1375182,0.49724117,1.0558587,1.8625104,1.1564486,1.8982478,2.1163983,0.5979866,1.9480677,0.8627463,0.53945726,2.2404797,1.4833604,greater than 0.02356751225
