fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.462872,0.4637723,0.34374985,1.4716266,0.07667639,17.514666,50.263657,0.9948936,3.3092868,0.54248244,10.558877,between 5.0 and 6.0
11.209035,0.3575801,0.5420925,2.129932,0.11252202,8.559633,36.94614,0.997813,3.138585,1.3883216,10.228098,greater than 6.0
6.0791206,0.6240927,0.007649497,2.0527325,0.08318549,19.030764,41.889816,0.9949293,3.5838072,0.753201,11.793504,greater than 6.0
6.0640817,0.66878146,0.14034027,2.5711486,0.13269924,10.416129,38.88878,0.9964848,3.5139499,0.5100805,10.377769,greater than 6.0
7.8807387,0.5520361,0.38376623,2.07368,0.10218887,14.271434,68.49736,0.9967325,3.3479426,0.5128558,9.959793,between 5.0 and 6.0
8.109124,0.63247013,0.17601627,2.0069215,0.065639,35.263184,118.20731,0.9965185,3.373191,0.6165544,9.731675,between 5.0 and 6.0
11.561773,0.43741605,0.59181464,2.3135045,0.09900401,8.254343,22.494549,0.99850315,3.1031008,0.8982078,10.171331,greater than 6.0
6.0414033,0.33885533,0.5390724,1.5245042,0.0814908,25.273426,48.959003,0.996456,3.2393146,0.5907491,8.994184,between 5.0 and 6.0
8.460728,1.0040934,0.41573834,2.1540756,0.10283352,6.2761164,18.057476,0.99657625,3.3514018,0.522916,9.75459,between 5.0 and 6.0
8.292682,0.5885162,0.4979744,2.0019581,0.09074475,9.487155,26.153925,0.99687773,3.2273138,0.6764386,9.455716,between 5.0 and 6.0
7.2028074,0.85715395,0.123659305,2.623362,0.08729483,15.707388,50.92433,0.9968945,3.364768,0.4514535,9.825862,between 5.0 and 6.0
5.856578,0.5693007,0.002471402,3.8158867,0.07778998,31.511417,42.61165,0.9955294,3.5078318,0.72125727,12.712482,greater than 6.0
7.4761147,0.3732425,0.20606549,1.9691144,0.068763785,20.348932,74.55795,0.9962924,3.3480074,0.8352192,9.653559,greater than 6.0
11.569823,0.38808376,0.5682658,3.2468088,0.09463843,10.914941,35.761917,0.9983163,3.1642847,0.6547016,11.843813,greater than 6.0
6.884356,0.42617455,0.36205643,2.5754778,0.06723049,16.950813,35.852463,0.99485,3.3244689,0.6334211,11.608969,greater than 6.0
8.672555,0.31105322,0.3516692,2.7986557,0.08976188,17.379816,109.96143,0.9988763,3.2925737,0.64105386,9.825852,between 5.0 and 6.0
8.560702,0.43734708,0.2167845,1.365157,0.08243504,24.699469,55.455364,0.997546,3.3818305,0.77567834,9.604361,between 5.0 and 6.0
