V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0.054477207,-0.28396437,0.25743347,1.3954523,0.44556513,0.024842452,0.383722,0.3137542,-0.20805044,0.3552712,0.22709787,0.061233867,-0.02486273,-0.113703504,3.6947246,1.2601995,-0.5416734,-17.272278,1.6078707,1.0827274,14.33507,between 1.087409 and 12.865976
-0.5451739,-0.59256595,0.18863063,1.8490498,0.76972044,-0.42210054,0.06400823,-0.14930682,-0.8909387,-0.11786861,-0.74591565,0.8126399,-1.0401063,-0.08807491,-0.04229197,11.371244,-5.272495,-11.567337,-16.739801,0.17737025,10.112069,less than 1.087409
0.014658488,-0.53049433,-0.02333993,1.6358242,0.92861086,-0.0037610673,0.1290442,2.7609224,-0.28711134,1.6057236,-4.4046345,0.004321737,0.18285576,-0.15301032,3.3169696,10.637237,1.460961,1.2616451,-4.7028093,-0.5319349,16.727562,between 1.087409 and 12.865976
-0.26350108,-0.33228955,-0.060262084,1.6670694,0.03173472,0.06603685,0.32988104,0.7429038,-0.046100087,1.0320265,-0.58984077,0.17008027,0.11019882,-0.6438366,19.17086,10.014931,5.539418,-10.205029,-0.17198332,-1.7866147,-1.2750026,less than 1.087409
-0.1245448,-0.23629418,0.03454208,1.6192923,0.45798331,-0.05102704,0.26548943,0.87029594,0.013417351,0.58975536,-1.0004392,0.22612934,0.15143532,-1.3525573,-1.656174,4.3294406,-7.277203,-15.913625,-0.5486836,-2.619953,19.047503,between 1.087409 and 12.865976
0.12686847,-0.27213082,0.059935827,1.449762,0.55897856,-0.020667141,0.2853702,0.87015814,-0.0011209714,0.1569766,1.5917181,0.20330173,0.42730314,-1.5391294,3.7095563,-0.70071393,-1.8119216,-4.465659,1.5310522,4.560441,0.9366167,greater than 25.825956
-0.23383209,-0.27875426,0.050137885,1.8292094,0.19187272,0.018309753,-0.011145052,-0.009798198,-0.22794998,0.36812145,0.44280887,0.062366977,0.51241493,-0.29500076,12.050523,5.6101065,1.1123023,-24.34996,-5.9359093,2.900737,8.454545,between 1.087409 and 12.865976
0.048132878,-0.22752117,0.08986308,1.5956781,0.43086103,-0.014078872,0.13131113,0.7349107,0.108455874,-0.011818699,-0.42343926,-0.097214594,0.19099244,0.6143143,-6.10458,2.4214973,-3.9827197,-5.621593,-0.63311374,-3.308382,9.648545,between 1.087409 and 12.865976
-0.14136004,-0.27363726,-0.026653657,1.6341971,-0.08328208,0.09944968,0.2680599,-4.926428,0.39065015,-1.1672128,3.120945,-0.4164812,-0.078523114,1.5511926,2.0544076,-16.131721,-9.36561,-22.932817,-2.1102388,-5.345804,4.606144,between 1.087409 and 12.865976
0.04563048,-0.4295328,-0.061244424,1.5876716,0.5984479,-0.23663831,0.08835458,0.27342564,0.4401213,-0.3638665,-2.735749,-0.7583959,0.16097145,1.5439448,-0.96314657,-0.8776125,-12.419404,-8.118925,-3.516497,-0.48412457,13.193029,less than 1.087409
-0.19477268,-0.25897074,0.072814524,1.8290722,0.31235012,-0.055119276,0.039211206,1.3692182,0.10970236,0.06542189,-0.18376985,-0.3938917,-0.028210327,0.42238504,-5.5448213,3.5143409,-1.7048218,-8.505759,-11.341434,0.19710445,10.31167,between 12.865976 and 25.825956
-0.04527396,-0.35004908,0.023585407,1.3303524,0.34276563,-0.03062475,0.10689978,0.1071396,0.018529132,0.43963844,-0.40481555,0.18539758,0.08055979,0.16373864,0.440367,4.0004907,0.64670736,6.4860916,-3.1483386,3.733914,5.345452,less than 1.087409
0.07041862,-0.5665807,0.12592927,1.275764,0.9868124,-0.07313008,0.57002866,2.657866,-0.45396847,0.8969483,-2.3699844,0.69375265,0.06394791,-0.9567011,-1.9836597,3.4111469,0.16420397,1.6557797,1.707477,2.7794101,11.52592,less than 1.087409
0.14175284,-0.122497275,0.12003498,1.3466135,0.4135801,0.0339619,0.3066107,-0.40974593,0.4313419,-0.30931175,-1.479041,-0.34375176,-0.032490652,-1.1262475,-19.514738,-2.7465324,1.0810902,28.565773,2.1206636,0.21596539,0.67252517,less than 1.087409
-0.11123138,-0.20517194,0.025786769,1.579003,0.5027918,-0.016357798,0.24549644,0.19203481,0.5025102,-0.2892253,-1.7640473,-0.5065329,-0.46043763,1.2400243,0.25738662,-1.2675446,-0.71243906,-0.83311206,-2.6265357,-0.05844418,-5.1273174,less than 1.087409
0.15522498,-0.2030629,0.31855074,1.3942118,0.3574656,0.18346524,0.11595791,0.28282708,-0.19357821,0.20648739,0.19072038,0.10107974,0.08699893,0.235494,7.7085595,-9.190054,1.8062071,-1.2957467,4.1865444,-0.49361774,-9.057996,between 1.087409 and 12.865976
0.05369996,-0.240909,-0.16459286,1.5175626,0.38977596,0.0012871668,0.28046632,0.6022278,0.36557654,-0.37668982,-3.1232722,-0.55036557,-0.11912561,1.6795082,-16.283524,-3.3478453,-5.5516644,12.422812,2.704784,-2.386232,-5.2067003,between 1.087409 and 12.865976
-0.0027111347,-0.28668022,-0.09373302,1.6762704,-0.052038744,0.04611462,0.31776932,-0.10566388,0.33959976,-2.0614493,-0.8764272,-0.6960248,0.24204943,0.26338553,-6.8334384,-3.083141,-10.888907,-2.0364318,-5.643818,-0.36890304,12.349718,less than 1.087409
