fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Manager,Farmer/Farm_Manager,nonintact,black,1.1352335,between 0.6 and 3.3
Proprietor,Craftsman-Construction,intact,black,0.59081215,between 0.6 and 3.3
Manager,Salesman-Retail,intact,black,0.41776288,less than 0.6
Manager,Professional_Self-Employed,nonintact,black,1.4426886,between 0.6 and 3.3
Salesman-Retail,Craftsman-Construction,nonintact,black,0.07574855,between 0.6 and 3.3
Operative-Manufacturing,Salesman-Nonretail,intact,black,0.12992941,between 0.6 and 3.3
Craftsman-Construction,Professional_Self-Employed,intact,white,0.89792347,between 0.6 and 3.3
Farmer/Farm_Manager,Farm_Laborer,intact,black,-0.086628415,between 0.6 and 3.3
Service_Worker,Service_Worker,nonintact,black,12.003354,between 3.3 and 14.6
Farm_Laborer,Craftsman-Manufacturing,intact,white,6.298399,between 3.3 and 14.6
Proprietor,Laborer-Manufacturing,intact,black,-0.080900036,between 0.6 and 3.3
Craftsman-Construction,Proprietor,nonintact,white,3.5425022,between 0.6 and 3.3
Salesman-Retail,Professional-Salaried,intact,black,1.2368251,between 0.6 and 3.3
Professional-Salaried,Service_Worker,nonintact,black,2.2329357,between 0.6 and 3.3
Proprietor,Clerk,nonintact,black,7.9539695,between 3.3 and 14.6
Salesman-Nonretail,Operative-Manufacturing,nonintact,black,-22.979294,between 0.6 and 3.3
Service_Worker,Professional_Self-Employed,nonintact,black,-0.16983122,between 0.6 and 3.3
Clerk,Salesman-Retail,nonintact,black,3.3016238,between 0.6 and 3.3
Clerk,Farm_Laborer,intact,white,1.9100648,between 0.6 and 3.3
Proprietor,Laborer-Manufacturing,intact,black,14.605284,between 3.3 and 14.6
Salesman-Nonretail,Clerk,nonintact,white,126.160866,greater than 14.6
Craftsman-Construction,Salesman-Retail,intact,black,5.5882635,between 3.3 and 14.6
Laborer-Manufacturing,Manager,intact,black,15.793513,greater than 14.6
Clerk,Craftsman-Manufacturing,intact,black,9.78164,between 0.6 and 3.3
Proprietor,Service_Worker,intact,white,-0.0029558688,between 3.3 and 14.6
Craftsman-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,74.3315,greater than 14.6
Farm_Laborer,Proprietor,intact,black,0.72186255,between 0.6 and 3.3
Craftsman-Manufacturing,Clerk,intact,white,3.421882,between 0.6 and 3.3
Craftsman-Construction,Craftsman-Manufacturing,nonintact,black,1.0972747,between 0.6 and 3.3
Clerk,Craftsman-Construction,nonintact,white,0.78513694,between 0.6 and 3.3
Manager,Clerk,nonintact,white,89.33388,greater than 14.6
Craftsmen-Other,Operative-Manufacturing,nonintact,white,2.0885286,between 0.6 and 3.3
Laborer-Nonmanufacturing,Farm_Laborer,intact,black,0.3465471,less than 0.6
Proprietor,Craftsman-Manufacturing,intact,black,0.35702825,less than 0.6
Professional-Salaried,Craftsman-Construction,intact,black,5.2366176,between 3.3 and 14.6
Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,black,12.815627,greater than 14.6
Clerk,Salesman-Retail,nonintact,black,0.22754166,between 0.6 and 3.3
Operative-Nonmanufacturing,Craftsmen-Other,nonintact,black,0.4706502,less than 0.6
Salesman-Nonretail,Farm_Laborer,intact,black,8.001643,between 0.6 and 3.3
Proprietor,Professional-Salaried,nonintact,black,28.930687,greater than 14.6
Operative-Nonmanufacturing,Salesman-Retail,intact,black,-0.21556567,between 0.6 and 3.3
Operative-Manufacturing,Professional-Salaried,intact,white,8.988878,between 3.3 and 14.6
Salesman-Nonretail,Craftsman-Manufacturing,intact,black,0.71930265,between 0.6 and 3.3
Professional-Salaried,Service_Worker,nonintact,white,0.011857803,less than 0.6
Professional_Self-Employed,Laborer-Nonmanufacturing,nonintact,white,0.05732063,less than 0.6
Service_Worker,Service_Worker,intact,black,-20.886877,between 0.6 and 3.3
Professional-Salaried,Professional_Self-Employed,nonintact,black,-0.193317,between 0.6 and 3.3
Salesman-Retail,Proprietor,intact,black,0.22555414,between 3.3 and 14.6
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,nonintact,white,77.9439,greater than 14.6
Salesman-Nonretail,Service_Worker,intact,black,3.1091437,between 3.3 and 14.6
Operative-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,-103.847565,less than 0.6
Salesman-Nonretail,Laborer-Manufacturing,nonintact,black,22.451376,greater than 14.6
Farm_Laborer,Craftsman-Manufacturing,intact,black,1.18314,between 0.6 and 3.3
Craftsman-Construction,Salesman-Retail,intact,black,-0.028083496,less than 0.6
Professional-Salaried,Salesman-Retail,nonintact,black,1.6146204,between 0.6 and 3.3
Salesman-Nonretail,Service_Worker,intact,black,0.009354202,less than 0.6
Manager,Proprietor,nonintact,black,7.005698,between 3.3 and 14.6
Clerk,Professional-Salaried,nonintact,black,3.30661,between 0.6 and 3.3
Professional_Self-Employed,Farmer/Farm_Manager,nonintact,black,-0.10351721,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,intact,white,0.13600746,between 0.6 and 3.3
Operative-Manufacturing,Professional_Self-Employed,intact,black,0.06034104,between 0.6 and 3.3
Craftsman-Construction,Craftsman-Construction,nonintact,black,-0.14328314,less than 0.6
Craftsmen-Other,Service_Worker,intact,white,8.499832,between 3.3 and 14.6
Professional-Salaried,Professional-Salaried,intact,black,0.021208905,less than 0.6
Service_Worker,Clerk,nonintact,white,559.39246,greater than 14.6
Salesman-Nonretail,Salesman-Retail,intact,white,0.021864166,between 0.6 and 3.3
Laborer-Manufacturing,Craftsman-Manufacturing,nonintact,white,24.477058,greater than 14.6
Salesman-Nonretail,Service_Worker,nonintact,white,1.5321105,between 0.6 and 3.3
Service_Worker,Service_Worker,nonintact,black,0.24322271,between 0.6 and 3.3
Professional_Self-Employed,Salesman-Retail,intact,black,2.221634,between 3.3 and 14.6
Salesman-Retail,Clerk,nonintact,black,8.506762,greater than 14.6
Craftsman-Construction,Laborer-Nonmanufacturing,nonintact,black,3.934849,between 0.6 and 3.3
Salesman-Retail,Craftsman-Manufacturing,intact,black,9.109094,between 0.6 and 3.3
Operative-Nonmanufacturing,Salesman-Retail,nonintact,black,0.027037444,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,nonintact,black,0.21246414,between 0.6 and 3.3
