class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
F,S,C,1.0001773,3.0002954,1,1.0009269,1.9994844,1.0003777,1,greater than 0.0
H,S,X,0.99960405,3.0037928,1,1.00051,1.9997711,1.0019835,1,greater than 0.0
H,S,X,0.99948436,2.0009873,1,1.0004082,2.0005777,1.0021007,1,greater than 0.0
H,S,X,0.99959606,0.9866626,1,1.0002204,0.9997352,1.0000206,1,greater than 0.0
H,X,C,0.9991427,0.9824288,1,2.0004718,2.003098,1.0001106,1,greater than 0.0
H,S,X,1.0038462,1.9958261,1,0.9995914,2.0008206,1.0003437,1,greater than 0.0
H,S,X,1.0015386,1.007282,1,0.9995567,2.000263,1.0003399,1,greater than 0.0
E,A,I,0.99959123,3.0003457,1,1.9988208,2.001568,1.0002956,1,greater than 0.0
H,K,X,1.0010097,2.000136,1,1.0004686,2.0026917,1.002083,1,greater than 0.0
E,K,I,1.0001788,3.002255,1,2.0035594,2.0007284,1.0033795,1,greater than 0.0
H,S,X,1.0007564,2.0010593,1,1.0007443,1.9989756,0.9998553,1,greater than 0.0
C,S,O,0.9995105,1.0169624,1,1.0011624,2.00313,0.9997562,1,greater than 0.0
H,S,X,0.9991695,1.9975095,1,1.000949,2.0015235,1.0018734,1,greater than 0.0
E,A,I,1.0007365,2.9993513,1,2.009969,2.0002863,1.0012373,1,greater than 0.0
F,K,X,0.99906117,2.9996321,1,0.99961525,2.0000243,1.0016125,1,greater than 0.0
H,K,X,0.9999709,1.9980233,1,2.0012455,1.004044,1.000528,1,greater than 0.0
