pop,education,houses,income,xcoord,ycoord,ln_votes_pop
11.524336,10.780798,10.514307,13.66004,-106658744.0,36415290.0,less than -0.6999407366495485
9.579474,9.241673,8.429055,11.764707,-77600664.0,51483850.0,less than -0.6999407366495485
9.355358,8.131253,8.338419,11.165463,-87334820.0,35612930.0,less than -0.6999407366495485
9.296755,8.629289,8.513262,11.332684,-101577304.0,39036584.0,less than -0.6999407366495485
10.435839,10.393143,9.258704,12.679352,-91156424.0,37379588.0,less than -0.6999407366495485
9.2643175,7.9118056,8.060879,10.993655,-88315890.0,35870196.0,less than -0.6999407366495485
9.434073,8.993524,8.712208,11.777771,-87589600.0,42904496.0,less than -0.6999407366495485
8.448723,7.7481856,7.3768296,10.527088,-100592860.0,39730656.0,between -0.6999407366495485 and -0.565824729711181
11.373245,10.647072,10.341645,13.438886,-119418020.0,38933736.0,less than -0.6999407366495485
10.082505,8.692554,9.326887,11.884608,-89402984.0,36819148.0,less than -0.6999407366495485
9.499927,8.65105,8.628822,11.602132,-84909080.0,40654300.0,between -0.565824729711181 and -0.441693965696886
8.774983,8.016731,7.810475,10.817007,-99555510.0,33991096.0,between -0.6999407366495485 and -0.565824729711181
9.574508,9.010122,8.742182,11.8578825,-85879260.0,33416928.0,less than -0.6999407366495485
8.905853,7.886793,7.8479624,10.879383,-94584584.0,42803776.0,greater than -0.441693965696886
8.240386,7.7613277,7.1675196,10.1545315,-89873656.0,42898708.0,between -0.565824729711181 and -0.441693965696886
9.872397,9.461943,8.996635,12.31213,-87634820.0,38590560.0,less than -0.6999407366495485
