school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,F,16.98028,R,LE3,T,0.98487747,2.9741497,at_home,services,course,mother,2.0054185,3.0197437,0.002943012,no,no,no,yes,yes,yes,no,no,5.0015497,3.0003707,5.0322037,0.9962099,0.99553055,1.9761992,1.9634099,between 12.0 and 14.0
MS,F,18.026398,U,GT3,T,1.990247,3.9797277,health,teacher,reputation,mother,0.999717,1.9971818,0.0016151534,yes,no,no,yes,yes,yes,yes,no,1.8616035,2.9972088,3.9787,0.9978696,0.9936059,3.9995146,-0.035946935,between 12.0 and 14.0
GP,F,16.999784,U,LE3,T,3.3545685,3.01289,services,other,course,mother,1.0047541,0.99724406,-0.001992177,no,no,no,yes,no,yes,yes,no,3.9994066,4.0290165,4.9832697,2.007461,3.0236397,2.016099,0.04736303,between 10.0 and 12.0
MS,F,16.002592,R,GT3,T,3.999404,3.001655,services,services,course,mother,1.9801116,3.034314,0.00060394715,yes,yes,no,yes,yes,yes,yes,no,4.9998803,3.0017078,5.0245376,3.1234508,4.993468,5.019779,-0.0023575965,between 10.0 and 12.0
MS,F,17.985134,U,GT3,T,4.0007925,3.0181391,services,services,home,mother,1.9870383,1.0037508,0.0008299339,no,yes,no,no,yes,yes,yes,no,5.005214,4.0133667,4.0073614,0.9976311,2.0152323,4.9932795,4.0244923,greater than 14.0
GP,F,17.999958,U,GT3,T,1.017473,3.0050116,health,other,other,mother,3.0074985,1.9838436,0.002036092,no,yes,no,yes,yes,yes,yes,no,4.005493,4.0286202,5.017925,1.9906335,2.9820926,5.0108447,4.1011343,between 10.0 and 12.0
GP,F,15.977254,U,LE3,T,3.9985144,3.0022786,services,services,course,mother,0.9999915,3.0138214,0.0018610577,yes,yes,no,yes,yes,yes,yes,no,4.00313,3.9976952,4.997781,1.9814402,3.0124092,4.99624,4.072545,between 12.0 and 14.0
GP,M,17.011148,U,GT3,T,4.0046034,4.023094,services,other,course,mother,1.9986564,0.9987389,0.00015047856,no,no,no,yes,yes,yes,yes,no,5.0055027,1.9937141,2.0092952,1.0038688,2.0151157,1.0064802,3.8252656,greater than 14.0
GP,M,17.010952,R,GT3,T,4.0038743,3.0018373,services,other,course,mother,0.9952797,3.035913,-0.00063760567,no,yes,no,yes,yes,yes,yes,yes,3.9961696,2.9944966,5.0135574,1.0003881,2.9787886,5.0026083,0.0038837912,between 12.0 and 14.0
MS,M,17.011951,R,LE3,T,3.9715252,3.0111063,services,other,course,mother,3.0701652,1.0029685,0.0021088256,yes,no,no,yes,yes,yes,yes,yes,2.9860308,4.010496,1.0114529,1.975199,0.99658006,3.994649,-0.039297767,between 10.0 and 12.0
