number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
5.00185,85.71062,43.264015,71.789085,34.53152,1.4529238,1.3283402,158.20378,24.828508,50.13155,41.066635,660.1757,715.07623,649.3899,699.8525,1.5613474,1.0969176,499.34274,418.19897,174.90282,167.27611,172.901,121.73503,165.15799,112.3866,1.5633471,1.2769433,140.14633,52.59336,54.32326,44.23459,7744.2134,3819.625,6749.806,3774.4343,1.274813,1.2281286,12408.022,2190.519,5070.245,4976.5703,95.74834,72.493965,97.35203,47.548466,1.6295414,0.82598436,94.565475,45.53083,35.38007,44.539173,15.676186,17.490084,10.220108,12.837554,1.4055707,1.1456058,34.381134,9.787007,11.30422,8.161716,147.76903,190.32384,38.61779,156.0316,1.2662933,1.0441731,401.55008,119.842896,163.84576,90.303444,3.586536,2.8799632,3.3252363,2.8267736,1.5259843,1.1705368,2.9835172,2.1650305,1.0965872,0.9154296,greater than 63.0
5.9642243,128.91678,236.87424,118.88328,224.22731,1.6334275,1.2962475,138.8005,116.20141,49.471214,40.113857,883.8589,835.6899,869.183,814.09326,1.7477144,1.7463964,877.4683,86.399155,309.26505,332.46344,141.45198,161.39711,127.07409,153.6929,1.7113532,1.5285603,154.43813,54.825447,53.12577,47.98791,9968.724,11300.954,2512.4243,3535.76,1.5701667,1.254211,20879.045,4197.5396,7291.0,6996.2607,58.142506,28.062317,35.021255,5.3826776,1.3658234,1.2511301,141.91618,10.156393,56.16412,47.179947,5.9205623,6.4998794,4.057121,4.299678,1.5903311,1.3532877,9.929321,2.675616,3.434821,4.0339594,141.24197,119.515816,9.762187,10.104348,0.78464884,1.2056899,402.24396,63.727062,164.0722,156.62076,4.791845,4.663171,4.3279486,4.205474,1.6840786,1.5731587,3.0021098,1.7169539,1.0831124,1.0752003,between 5.365 and 20.0
5.0289993,69.61998,64.8735,57.64561,56.264637,1.4709009,1.0618298,117.04274,38.807648,40.56058,30.434973,639.4108,760.68604,625.2984,746.23444,1.5709246,0.9048279,461.78146,537.2857,173.02692,114.12865,177.063,137.2315,162.78145,132.36586,1.5396867,1.1883922,141.09694,59.334614,52.017796,47.974964,4884.995,4659.6616,4184.4097,3254.3105,1.4212648,0.87511456,3897.3176,2477.646,1663.2124,1364.2946,60.255405,32.134304,42.676617,26.177092,1.4195459,0.71495104,35.636047,27.425304,12.033876,16.488932,14.91931,15.133313,13.558034,16.590242,1.3719472,1.0233496,46.828854,8.761321,15.564324,6.8827395,87.92096,143.84627,43.95521,114.62703,1.283098,0.95736986,232.11127,78.74485,96.7342,72.89865,3.8482049,3.4038773,3.6825373,3.2722075,1.5961063,0.9430984,1.9938003,2.825103,0.74267524,0.6749021,less than 5.365
6.0042367,60.469044,39.763645,46.173824,25.22697,1.6356752,1.4846312,159.36053,12.175726,49.32877,31.657213,804.5926,861.7948,766.3978,820.7603,1.7428523,1.0928091,769.3823,585.74426,260.93982,304.7608,144.71982,108.53756,129.19553,87.929535,1.7240683,1.4092108,168.33446,64.44696,52.603195,57.70164,4703.7476,3946.2976,1814.8496,191.79523,1.7397579,1.3086478,7524.6294,1454.5979,2468.719,2646.9666,72.81459,111.46614,44.44768,97.37303,1.4154567,0.8457611,137.34676,71.862816,48.892727,40.820343,23.088259,24.021446,10.372903,14.877032,1.3690602,1.3137999,81.84262,8.449191,29.179684,14.232706,111.85048,105.64173,22.547802,80.31096,1.2474172,1.0162054,400.83813,66.17426,133.36664,72.29369,3.1633606,2.8387756,2.9503486,2.713581,1.7423471,1.4535596,2.017897,0.9667677,0.7350498,0.56895757,between 20.0 and 63.0
2.99807,133.74791,202.94412,107.13048,157.74974,0.9719593,0.86187845,110.67367,93.01971,55.400875,53.077007,774.9984,752.9191,749.1629,721.6685,1.0752832,1.1231198,474.36432,232.7159,184.01872,162.3528,178.88577,181.07153,170.9018,175.87634,1.0288892,1.0131966,108.508385,59.814575,49.461174,47.009937,10821.97,13450.212,7335.7437,10312.815,0.9021739,0.7840408,14395.644,8634.78,6227.472,5622.085,93.876465,127.16019,71.79162,96.54326,0.96507883,0.9277219,137.20395,69.59065,55.407883,58.834335,24.934988,37.7851,21.950737,33.053333,0.9271062,0.91310954,30.849823,16.114666,13.495662,10.145913,119.22656,172.07205,48.337265,123.45026,0.6193181,0.6239121,238.69609,133.7675,112.15752,84.49728,3.9342465,3.824331,3.808892,3.7231786,0.9935241,0.90173715,2.9693944,2.0997767,1.434294,1.0659114,between 5.365 and 20.0
5.0003066,89.76508,44.57633,56.01751,31.838482,1.2116468,1.8769296,192.42496,-6.636646,82.029106,69.162445,815.7552,1013.50946,813.9024,942.9562,1.5615294,1.0552603,765.63354,661.2199,282.31964,341.79443,137.31868,104.77796,120.73034,83.04266,1.5110489,1.7967224,171.2121,-7.928599,58.832333,66.01396,5449.183,2801.3015,866.746,29.53735,0.89441323,1.3340106,9717.27,1458.9426,4012.121,4071.898,65.54021,100.64832,27.278166,47.750957,1.1260421,0.8701362,142.76369,69.221924,54.880966,58.314816,15.3386345,5.66593,9.3638,1.062843,1.49195,1.6632347,26.25771,1.6340275,8.794153,9.316889,111.939445,45.552723,13.993793,0.6018933,1.0142859,1.0756662,402.77588,25.137442,145.56477,97.030556,2.4913454,2.4709325,2.2202687,2.2863572,1.5028023,1.3817185,5.1226997,0.63443273,1.7798698,1.694772,between 5.365 and 20.0
3.0041034,59.30022,41.260967,39.138924,30.87916,0.75888526,0.9358314,111.689995,15.964355,44.901062,34.57503,796.1387,760.1729,770.69257,748.17834,1.090987,1.0010278,460.05566,323.7818,181.9039,145.45319,136.03667,127.13788,123.644066,117.5583,1.041346,1.0704614,145.92468,49.057186,56.763992,47.194782,5709.0264,3698.9072,4222.322,3607.0642,0.9731919,0.9936417,8262.434,2054.0193,3845.4634,4122.0483,117.88333,142.91945,101.68371,129.75192,0.93064415,0.86982656,131.92343,79.5914,50.42354,41.778786,46.49095,42.23737,30.278042,33.884804,0.6812396,0.69660175,88.574326,33.72019,40.45472,26.084509,119.3492,122.54312,42.604355,107.45615,0.59584385,1.0271726,252.71962,52.087723,106.50799,67.02258,4.4193506,3.792824,4.302977,3.787482,1.0403652,0.9337191,3.9967718,2.3399527,1.845261,1.6480892,between 5.365 and 20.0
6.02082,93.344536,69.95911,69.85471,53.523285,1.5656729,1.3790723,190.6786,40.07467,63.996002,58.529152,865.4418,1013.6619,797.9519,943.8198,1.7524737,1.3204479,1146.266,490.62137,431.75723,400.75476,155.6061,110.921295,131.75198,96.057274,1.6918179,1.6893495,182.59785,19.73765,64.57581,67.66696,5165.238,3973.3608,-489.75974,739.7743,1.4156523,1.0510404,9889.374,2223.088,3203.1455,3204.14,60.630634,90.638245,35.74033,63.21913,1.3287497,0.9099431,142.02373,60.065926,57.597588,54.07516,5.936865,4.745476,2.32357,2.136889,1.4470062,1.4104114,12.587938,1.8312359,4.4446692,4.751984,17.596264,10.534799,1.1460118,0.9511718,1.0804025,0.84843236,83.37083,14.682366,26.290878,22.7121,3.3189113,2.8165216,2.8327007,2.4657686,1.6036481,1.4358667,5.025136,1.0254155,1.0061588,1.647487,between 20.0 and 63.0
5.0072994,97.00302,49.324203,76.49178,33.730312,1.4327246,1.4986053,154.93153,17.079567,54.97857,43.179245,747.0854,997.23975,723.1098,934.9583,1.5714529,0.96284366,584.7968,684.94305,215.02493,202.70093,188.91034,115.26756,169.6043,96.88179,1.5502421,1.5026858,151.67842,35.90814,51.9858,46.363903,5359.654,3503.8586,4030.3127,2643.9578,1.3168616,1.3920937,7644.267,1427.8978,2740.833,3130.6584,96.44635,106.476974,48.67554,65.04681,1.3285499,0.7361948,65.52069,85.12791,25.48956,50.072712,9.340774,7.3554754,5.963982,2.3378785,1.3203506,1.1907406,17.81867,3.667488,6.223091,7.5971212,128.92755,114.89011,23.072357,1.6502675,1.1639987,0.84412044,403.80692,80.29906,141.35448,162.16232,2.9740644,2.933609,2.6882985,2.7359838,1.5228145,1.1754359,3.0170298,1.189361,1.4257772,1.375346,between 20.0 and 63.0
3.0018795,81.27879,47.966743,67.14644,33.430355,0.931054,0.8022581,115.47761,28.530823,47.3036,32.70747,642.0623,764.27496,639.2249,747.5867,1.0709251,0.46512643,258.59445,622.244,116.30662,102.886566,166.56201,128.19086,160.42691,122.21717,1.0427338,0.8049103,98.91173,64.23727,38.391632,39.048435,5782.3066,2756.7869,5016.5015,2766.795,0.90981966,0.845741,6231.7363,1472.0004,2840.1206,2186.8638,88.31988,118.606834,81.4458,102.98468,1.0302337,0.23449506,99.363945,106.23412,41.67035,38.853508,15.091274,39.864616,7.8469195,34.006477,0.94012153,0.7811744,63.459206,30.269657,25.392517,14.984257,105.24831,136.48062,28.592192,111.232864,0.5195629,0.61065835,232.02252,94.96619,111.748146,96.09912,3.5098948,3.4968247,3.3804655,3.3977916,1.0887825,0.62808484,2.0054247,2.8081155,0.89605117,0.8155727,less than 5.365
