duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,utime
207.59515,h264,639.31226,479.00742,654459.2,30.114061,223.96031,6058.086,0.0,6259.1987,2762395.0,12645875.0,15225964.0,flv,43776.797,15.063577,641.06256,479.34503,between 2.096 and 4.408
568.8597,mpeg4,174.09056,143.82368,51626.312,11.789685,176.21521,7422.0493,0.0,7593.869,277670.16,3830828.0,4344567.0,h264,3011593.2,24.020967,637.7268,478.54324,less than 2.096
296.8656,flv,320.68344,240.43109,152677.34,25.0241,146.67418,7404.8994,0.0,7545.8447,1005936.2,4459830.5,5409558.0,flv,3023401.5,24.898497,1908.839,1078.3696,greater than 10.433
260.23224,mpeg4,175.34528,144.18384,58623.477,12.031211,56.82953,2996.5154,0.0,3050.8374,280760.06,1809281.8,2290664.8,flv,2991721.2,24.037447,176.02614,145.72977,between 4.408 and 10.433
167.29805,h264,641.92175,480.64102,334005.3,29.220007,88.16704,4902.255,0.0,4993.7104,1825813.4,4270025.0,5981504.0,flv,127814.84,12.036788,319.93497,241.07674,between 4.408 and 10.433
278.52988,vp8,640.6449,480.65924,730452.75,30.095846,81.7621,8313.131,0.0,8454.687,1838409.0,23832792.0,25510816.0,flv,4682274.5,24.124645,486.79245,359.6822,between 2.096 and 4.408
304.4091,h264,644.9404,480.9188,786493.44,28.922083,159.53134,8880.252,0.0,9079.192,1912994.2,28350090.0,30211944.0,h264,905599.0,29.927767,1301.7797,722.58496,greater than 10.433
146.61829,h264,482.7282,371.78375,-73339.89,24.941418,46.07181,3600.7603,0.0,3684.1462,122660.75,-896122.5,169629810.0,mpeg4,3052579.0,11.876137,327.0285,506.59924,between 4.408 and 10.433
352.7993,vp8,627.83655,479.1419,817008.6,30.008709,116.43952,10389.204,0.0,10530.965,2023939.5,36334188.0,38534756.0,mpeg4,46952.797,29.938284,172.05095,144.1437,between 4.408 and 10.433
40.157513,flv,318.7523,237.37314,274432.9,24.978106,21.705158,1058.8301,0.0,1087.4491,143931.52,1411930.9,1440473.6,mpeg4,49316.645,14.860318,1915.8414,1077.8331,between 2.096 and 4.408
683.0885,vp8,55.01692,141.00519,286077.25,15.861165,87.34377,9960.189,0.0,10117.535,1522088.8,44220560.0,42960250.0,vp8,805312.75,24.825224,1915.2107,1077.5479,between 2.096 and 4.408
302.24503,vp8,641.06287,480.66843,391649.75,25.18922,52.26301,7560.3374,0.0,7650.5557,1984149.6,11977546.0,14444649.0,mpeg4,62961.973,11.763102,322.24295,239.64162,between 4.408 and 10.433
394.30185,h264,1292.3286,725.0846,469600.12,29.075523,209.73349,11610.09,0.0,11841.906,11581346.0,9695743.0,23188648.0,flv,540131.06,15.082897,1006.7067,704.6992,between 4.408 and 10.433
148.36601,h264,472.48965,360.54407,423112.0,28.948605,86.34029,4411.776,0.0,4513.0107,554003.9,6570335.5,7504816.0,vp8,32498.094,14.883131,477.62772,359.67096,between 4.408 and 10.433
203.8517,flv,319.9763,239.32622,274719.97,28.996216,102.66696,6012.6055,0.0,6141.031,863550.3,6458196.5,7693378.0,flv,198938.77,14.93348,177.92677,144.18071,between 4.408 and 10.433
170.71022,h264,1211.2229,716.2429,980988.56,28.942411,193.61746,4878.106,0.0,5067.656,9536461.0,13914482.0,30974310.0,h264,4973583.5,14.964283,312.35742,221.09988,between 2.096 and 4.408
62.44699,flv,321.38544,240.6159,277004.6,15.387031,35.67869,924.1611,0.0,976.4406,297157.5,1940260.8,2211452.5,mpeg4,4829675.5,15.009286,161.23177,143.29128,between 2.096 and 4.408
301.68414,vp8,474.3007,360.16702,497475.6,30.05065,89.526825,8927.364,0.0,8995.679,1929884.9,16692335.0,18606210.0,vp8,555486.75,14.991614,641.397,478.72702,between 2.096 and 4.408
70.98291,h264,480.34598,360.4035,370284.53,24.999495,34.244167,1673.2142,0.0,1710.8214,736659.7,2655543.5,3540137.5,flv,531382.6,30.071543,315.3423,239.04504,between 2.096 and 4.408
244.99551,h264,647.81256,481.7586,1345904.9,29.039465,125.60013,7233.1436,0.0,7395.892,4270374.0,35939644.0,39206652.0,vp8,829159.5,24.030964,1288.7924,720.0912,between 4.408 and 10.433
473.31696,mpeg4,173.44539,143.87866,66537.26,12.121466,99.135475,5737.295,0.0,5838.5234,556424.9,5215900.0,5963204.0,h264,535111.75,15.163964,467.29025,357.69913,greater than 10.433
