x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,energy11,energy12,energy13,energy14,energy15,energy16,energy_total
119.586426,290.3323,373.51443,494.9824,506.50577,26.961143,383.3632,239.2183,-12.822993,264.4689,538.5406,50.579777,567.61926,404.4592,93.31515,78.61761,221.55322,372.5245,188.91281,195.97351,142.94656,237.49457,82.40488,291.17947,560.3034,98.06635,144.89157,569.99445,90.60096,531.3707,514.325,394.25098,215358.77,252160.33,242613.11,237276.83,263919.94,237820.52,250977.45,190519.31,262346.53,203278.5,223727.2,262583.2,256650.92,271708.03,268923.97,226687.33,greater than 3830819.051
292.9447,216.42729,292.2588,308.71667,5.394961,47.506638,416.44397,312.5498,21.189997,525.04846,554.9826,-2.69416,510.55807,491.28986,542.60406,509.91138,363.8038,562.94214,229.04077,216.00516,373.64664,110.34087,89.228584,99.09957,20.562986,155.63902,170.02728,540.84235,378.53018,13.43749,467.70297,270.1092,251322.58,260823.81,211174.25,221650.17,240579.1,204589.1,266368.9,198487.47,169926.56,230672.45,251008.77,265262.88,283065.03,194266.56,263533.5,231476.05,between 3755820.3235 and 3830819.051
239.7392,13.505104,294.28842,0.9839484,3.1076536,516.06744,25.931658,362.2708,39.093002,379.43024,508.58652,387.6089,478.95596,558.8915,309.37378,481.84494,235.02637,114.78525,97.75945,542.09076,531.26886,336.51282,484.03427,460.3327,464.5923,340.07928,310.93817,309.43964,246.20619,473.98492,132.41405,185.81413,226479.34,215409.61,201946.8,268946.7,264536.0,234440.97,235241.62,269345.5,220789.23,206003.61,250524.42,261388.9,241674.72,255988.02,241707.9,254049.28,greater than 3830819.051
444.3491,367.75476,221.62831,20.458988,479.95102,223.4353,88.37688,237.01169,-3.2207808,288.9304,313.42575,56.01411,157.38959,133.53618,212.30031,290.3526,541.08435,335.24844,4.377233,376.67062,1.6860921,559.833,449.72482,32.867695,390.75803,94.63785,419.3122,312.6221,486.98642,555.6916,369.66357,393.9901,274909.06,239821.53,212959.31,222050.98,198620.14,263016.75,255303.1,205315.0,165005.47,179997.5,255804.42,240924.22,239469.02,266193.66,269218.53,261647.52,greater than 3830819.051
93.12076,569.3404,66.98278,58.423103,19.71076,437.17606,319.19412,589.6769,137.92212,34.635376,368.16693,63.576508,518.5855,519.2175,122.33746,460.50235,85.0838,37.275105,549.1261,452.9089,-8.575492,67.30061,416.83182,341.81104,382.53708,109.57487,427.91342,218.35716,334.84625,81.93473,480.36404,186.11647,266293.4,260143.61,266973.4,259837.61,175691.78,222988.27,270753.97,282942.75,231892.94,173757.11,245144.75,250584.38,270857.78,226094.25,268851.2,263394.38,greater than 3830819.051
367.57388,52.95407,56.50877,341.72372,485.65405,440.13712,3.6241314,614.6769,354.74945,418.31427,163.37347,-14.058263,36.19563,313.06573,205.43144,198.30132,572.1867,311.7,69.15846,329.03497,525.19196,435.6226,82.24514,457.35992,-1.3834423,480.70172,279.16504,352.40314,502.7533,303.52695,332.59375,205.71745,271941.4,266083.38,224178.95,236268.78,226838.12,213061.3,179361.55,269856.0,212670.58,227604.66,202284.2,255228.58,229226.02,227983.31,268526.84,218786.6,greater than 3830819.051
467.51184,-10.369807,67.8258,438.39774,128.58745,17.966948,81.21597,518.95544,216.48605,375.19104,39.556114,499.52463,46.138794,173.08609,143.32898,388.11783,314.94223,555.68506,415.32727,24.24453,500.3836,24.746689,110.88851,413.3152,382.99454,99.30877,228.05965,25.742023,113.70725,21.833603,276.67197,351.67505,233655.56,236173.53,250522.14,189922.48,226296.86,183801.81,165785.06,265048.78,215138.19,235513.22,219850.06,230093.4,202700.44,174235.77,274763.84,238703.67,between 3685857.466 and 3755820.3235
59.21961,5.979827,481.08023,270.59982,540.9344,373.93066,478.6731,551.41833,524.82,4.4115553,311.96088,411.5515,512.5367,317.91888,102.73612,421.4705,98.36696,140.08383,454.4958,424.79526,528.36334,389.23254,385.87308,40.164143,60.089127,306.30225,168.96642,210.11746,398.34875,314.5081,336.46768,316.27444,192786.1,264377.7,235669.84,252632.2,267557.4,240220.3,264700.06,236316.33,248016.94,206789.0,197409.55,244311.67,231392.38,258041.28,230082.5,243109.11,between 3685857.466 and 3755820.3235
572.7469,288.32605,261.45023,247.55705,353.2514,17.585878,367.81836,208.06377,519.3869,292.7068,203.49611,47.778275,480.42154,108.6465,542.09357,446.59625,482.33786,529.9641,202.35146,529.6214,522.41815,139.17381,184.77176,354.87326,79.260124,526.70966,171.61674,497.72446,55.28788,24.53648,171.96852,462.8978,265298.06,267552.78,186098.28,254682.78,268289.2,219838.67,192636.7,272139.44,185563.33,269083.03,210877.44,260588.97,241539.19,204094.36,245190.61,266833.62,greater than 3830819.051
80.64534,354.53336,421.3981,294.1717,558.68604,216.50075,535.74506,353.96143,-5.818538,22.689678,38.1176,32.941242,6.5070224,207.48141,256.16016,5.94139,153.64568,566.7292,94.84022,513.23364,183.14325,209.85248,188.90334,65.81061,-5.2599893,241.42357,155.85745,348.20004,240.49193,551.30975,2.7739773,434.04678,218358.31,265982.25,206070.89,224182.36,261417.83,186573.17,266456.0,218402.97,175852.61,204921.39,214542.81,219720.2,205782.48,268148.34,226466.27,252690.3,between 3685857.466 and 3755820.3235
