fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
5.885917,0.42415765,0.3052803,8.95289,0.046875037,25.468163,89.91641,0.9948474,3.1996346,0.39008105,10.511956,greater than 6.0
7.2790074,0.2995501,0.35583228,1.2102158,0.03203815,16.820581,42.98906,0.99151754,3.1586218,0.2859037,11.006951,greater than 6.0
6.342476,0.2690349,0.39424473,10.884209,0.041817613,72.51294,163.7774,0.9972855,3.0937426,0.5667462,8.950097,between 5.0 and 6.0
6.2902718,0.30285698,0.4097477,2.2387438,0.06046737,46.047417,190.8344,0.9943453,3.215346,0.41767427,9.314748,greater than 6.0
6.0204873,0.20301275,0.38072866,1.7644299,0.026468122,57.8348,248.03865,0.99256194,3.214856,0.4960618,10.182205,between 5.0 and 6.0
7.139499,0.26739764,0.19632281,5.002303,0.04816145,50.399757,222.15953,0.9958898,3.4789243,0.73511213,9.544885,greater than 6.0
7.287155,0.40204874,0.35821015,7.5372396,0.035061713,28.89799,110.08123,0.99358,3.162147,0.45339468,11.734493,greater than 6.0
6.5872865,0.16764121,0.28913057,10.071084,0.041069977,43.51854,165.67133,0.99553555,3.0069222,0.4758337,9.647419,greater than 6.0
5.9523067,0.4156783,0.10568831,11.310626,0.05209303,25.886454,147.79726,0.99694765,3.203596,0.39263684,9.149394,between 5.0 and 6.0
7.88539,0.32096776,0.27151233,1.4592174,-0.056824602,26.597662,124.098274,0.99072826,3.157233,0.46626157,13.232578,greater than 6.0
6.0469313,0.38673007,0.24133159,6.113307,0.0385848,33.49721,81.061584,0.990147,3.2455962,0.47752216,13.022801,greater than 6.0
4.876794,0.4742206,0.32654166,2.2573085,0.051363338,8.340856,96.26887,0.99248195,3.2373,0.4853179,10.244987,between 5.0 and 6.0
6.3184185,0.27542982,0.26960066,10.030552,0.053707223,23.281115,149.95094,0.99502987,3.0227876,0.48089635,10.666981,greater than 6.0
6.5481853,0.18026975,0.29901078,2.2638307,0.02736325,9.490976,34.570747,0.9932055,3.4164143,0.52641827,10.232352,less than 5.0
5.848999,0.21050598,0.31327644,3.8683147,0.030094566,25.751251,107.96214,0.99322665,3.3666754,0.51981056,10.252594,greater than 6.0
8.136349,0.29387894,0.34344453,8.225132,0.055707227,83.99034,182.09752,0.9948877,3.1872087,0.45135668,10.738434,greater than 6.0
6.9346566,0.31160694,0.19099322,9.915999,0.044607133,48.09566,160.31485,0.99471015,3.0858262,0.6419692,10.843263,greater than 6.0
6.350485,0.2541929,0.27309117,1.355323,0.0467353,38.946552,110.88637,0.989674,3.0564878,0.41283098,11.798985,greater than 6.0
7.894366,0.3519521,0.2654423,2.3706377,0.027273048,51.500736,149.805,0.9917231,3.2283592,0.33265904,11.892311,greater than 6.0
5.678261,0.31970492,0.20845659,12.0103855,0.04503637,68.51177,175.22302,0.9949837,3.1447256,0.4737449,9.876947,greater than 6.0
6.7281213,0.4045121,0.27978528,11.61557,0.028247267,15.003333,74.73606,0.9965012,3.2291977,0.44634745,10.006422,between 5.0 and 6.0
7.4691405,0.19025879,0.40890655,1.8502241,0.025228232,33.71663,132.76962,0.99090886,3.2057633,0.50813484,12.306198,greater than 6.0
7.2030954,0.21931733,0.5736897,6.9509273,0.031022461,19.595875,49.442463,0.9911243,3.0876417,0.8441677,12.844071,greater than 6.0
6.937111,0.32042795,0.14788033,13.28818,0.042853735,24.067953,117.804344,0.9957379,3.1488643,0.5853705,11.003496,greater than 6.0
7.7797704,0.24508166,0.27684605,8.13596,0.04342294,59.61881,173.49657,0.99349535,3.1095142,0.38753995,11.601297,greater than 6.0
6.195961,0.27080044,0.3010115,1.5800111,0.04196387,56.90639,144.29167,0.99242854,3.1617277,0.48726806,9.972119,between 5.0 and 6.0
7.2085414,0.30778864,0.16484155,2.2536952,0.050654605,30.958874,153.81169,0.9943157,3.1253366,0.41314718,9.596326,greater than 6.0
6.509676,0.3356032,0.39353547,15.940674,0.049882095,36.325752,180.2968,0.9990437,3.128957,0.42432678,8.276277,between 5.0 and 6.0
7.9478846,0.46394423,0.1653362,2.3979285,0.03328758,40.336555,163.65764,0.99330443,3.0351238,0.56411266,10.618355,between 5.0 and 6.0
4.7823944,0.34847614,0.37664545,4.4558225,0.055892892,54.548923,185.89479,0.9932111,3.2187836,0.4418567,9.856388,between 5.0 and 6.0
