sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.44439060602774155,0.31745452935920165,0.18413988335149659,0.7662367374558712,0.19011023371274371,0.20076872101751217,0.21774918458096598,greater than 11.0
I,0.542017502751372,0.454015860999795,0.16967043390779182,1.467160974709593,0.3934323576455976,0.18143745306116782,0.19290386764163467,greater than 11.0
I,0.47535191865814613,0.4025473157891276,0.08862248462654314,0.9432524567094942,0.48356485960077616,0.09517634650848908,0.11517582472938268,less than 8.0
F,0.47054138870119766,0.23082686872840694,0.07404787532587895,0.9383669579899102,0.6144250764161787,0.2513664756428486,0.1870348112678475,less than 8.0
M,0.39646701295620457,0.30788175756175534,0.12626704094254101,1.140237239655317,0.4945262131246505,0.07227826982253324,0.06863540237765138,less than 8.0
I,0.5385827751541561,0.34169140389978425,0.20907239744389164,1.5031926406851623,0.6047334399183357,0.0969804885616931,0.48356790853609066,greater than 11.0
M,0.541411267859712,0.4471016105511765,0.15086491304455354,0.3419105025191305,0.4516388320230822,0.0876118646770442,0.286410330626351,between 9.0 and 11.0
I,0.38816931117834236,0.48669558667916435,0.16120726508608169,1.6010272018442078,0.44422511870893705,0.1567918862029692,0.19286885980124033,greater than 11.0
I,0.5182230962721589,0.290391711746513,0.1055536142858292,1.0430112601518893,0.4317186880089194,0.16281529440078257,0.1987418134897015,less than 8.0
I,0.5935535689924291,0.4814167843205937,0.13326917537117292,0.1419259794625104,0.03909811424558314,0.2743631512203071,0.19841134741233202,greater than 11.0
I,0.7151506043562341,0.3883891557525975,0.11495079108915267,0.4891957224802072,0.02284411074266006,0.04925213455377898,0.2754962785194141,greater than 11.0
I,0.6765773507246314,0.4964619643367014,0.09921830802092667,0.863356964360323,0.23593496607551512,0.10802772286620779,0.27271786387360564,greater than 11.0
M,0.5915448578919329,0.3229332691612292,0.07325338220120006,0.6313738136997669,0.6085461472961979,0.36976119169106614,0.10238097960052858,less than 8.0
