sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.5603291669798097,0.40436905309322807,0.15222268444514345,0.03337051625997457,0.3247867579767557,0.19436314704818647,0.09512677152572983,less than 8.0
I,0.5835981102045527,0.29638650541920164,0.12453284295640737,0.763589192613834,0.4777443106287086,0.18652419622633296,0.21592776698099508,less than 8.0
I,0.3809797669398188,0.4426565599931124,0.09799731806109467,1.2022906276287029,0.36763716628114435,0.09886746271218903,0.4965152814487686,greater than 11.0
I,0.7279066413259448,0.47255862718659425,0.14772004309236986,0.8544624518797201,0.7688872499848217,0.1632047852130323,0.26784785056633365,between 9.0 and 11.0
F,0.46715446347965817,0.38166269559478727,0.1460513239391523,0.7746602667140912,0.1778609052853109,0.08251687218312179,0.25183470365135835,greater than 11.0
F,0.456693835151552,0.18406670365371014,0.11061261341083324,1.301277259865082,0.07558209292822413,0.1343257972491135,0.10421395361469948,greater than 11.0
I,0.6230079254895411,0.22222667756309447,0.09634263666209615,1.2211972958674522,0.4107053835264575,0.23944346089167032,0.3919695153014034,between 9.0 and 11.0
F,0.5976227613726068,0.284282973504269,0.17411184571038257,0.3635503933871975,0.31991623820536935,0.14730025896666551,0.20625208141957257,between 9.0 and 11.0
I,0.360221813272983,0.2875826778578025,0.1782427094518203,0.26857850579739273,0.7681366731927012,0.21615812729218775,0.1444920406196679,less than 8.0
I,0.6217162213137847,0.4697821190275385,0.1167891474697446,0.12246890507770627,0.5502793169921734,0.1617678529388845,0.43350675334542776,between 9.0 and 11.0
M,0.533067204195223,0.48463317560285785,0.12716744120462967,0.4660038316693913,0.5214985682030887,0.20610399231956303,0.18097191066609158,less than 8.0
I,0.5297868300714795,0.5572825468890763,0.028066672187006467,1.2677744346096185,0.2536606708467596,0.03889648002879661,0.2257187094373127,greater than 11.0
F,0.3109915322050049,0.4132685227727001,0.10137843045692056,0.3805957156425115,0.16304869588464602,0.15679806614788824,0.41101738359335255,greater than 11.0
