state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Alabama,1001,2020-03-01 to 2020-03-07,0.0042,No,64.213,0.000123,0.909091,2.511,0.733789,58.213,32,1,201.8,1,0.0,45321
Alaska,2068,2020-03-01 to 2020-03-07,0.0019,No,51.278,4.5e-05,0.909091,1.921,0.733789,43.719,15,0,12.3,1,0.0,14213
Arizona,4007,2020-03-01 to 2020-03-07,0.0057,No,48.831,9.8e-05,0.909091,3.321,0.733789,71.341,61,2,421.5,1,0.0,102145
Arkansas,5021,2020-03-01 to 2020-03-07,0.0039,No,59.341,0.000151,0.909091,2.097,0.733789,51.987,26,1,55.2,1,0.0,34381
California,6029,2020-03-01 to 2020-03-07,0.0074,No,31.549,0.000245,0.909091,4.531,0.733789,85.319,123,3,1148.3,1,0.0,891234
Colorado,8035,2020-03-01 to 2020-03-07,0.0052,No,43.291,0.000118,0.909091,3.882,0.733789,77.427,79,2,213.5,1,0.0,134578
Connecticut,9001,2020-03-01 to 2020-03-07,0.0065,No,40.878,0.000193,0.909091,4.129,0.733789,88.231,111,3,744.2,1,0.0,187743
Delaware,10003,2020-03-01 to 2020-03-07,0.0049,No,41.911,0.000164,0.909091,3.421,0.733789,70.145,52,2,464.5,1,0.0,53812
Florida,12017,2020-03-01 to 2020-03-07,0.0055,No,49.056,0.000213,0.909091,3.987,0.733789,82.631,94,3,399.1,1,0.0,231514
Georgia,13045,2020-03-01 to 2020-03-07,0.0041,No,50.477,0.000135,0.909091,2.899,0.733789,59.392,43,1,201.1,1,0.0,54320
Hawaii,15009,2020-03-01 to 2020-03-07,0.0071,No,29.741,0.000175,0.909091,4.341,0.733789,94.554,81,3,215.8,1,0.0,142112
Idaho,16019,2020-03-01 to 2020-03-07,0.0033,No,59.253,9.1e-05,0.909091,2.193,0.733789,46.395,24,1,22.5,1,0.0,39157
Illinois,17031,2020-03-01 to 2020-03-07,0.0062,No,39.436,0.000237,0.909091,4.083,0.733789,85.949,105,3,402.5,1,0.0,513821
Indiana,18045,2020-03-01 to 2020-03-07,0.0046,No,56.867,0.000162,0.909091,2.981,0.733789,66.639,47,2,184.1,1,0.0,65435
Iowa,19069,2020-03-01 to 2020-03-07,0.0039,No,51.152,0.000106,0.909091,2.467,0.733789,55.783,31,1,59.4,1,0.0,31245
Kansas,20091,2020-03-01 to 2020-03-07,0.0044,No,56.168,0.000131,0.909091,2.819,0.733789,63.355,41,2,24.9,1,0.0,39872
Kentucky,21015,2020-03-01 to 2020-03-07,0.0036,No,62.497,0.000142,0.909091,2.197,0.733789,49.521,26,1,109.8,1,0.0,36739
Louisiana,22047,2020-03-01 to 2020-03-07,0.0048,No,58.479,0.000189,0.909091,3.033,0.733789,67.885,51,2,104.2,1,0.0,55015
Maine,23023,2020-03-01 to 2020-03-07,0.0054,No,44.906,0.000133,0.909091,3.449,0.733789,54.259,46,2,43.6,1,0.0,34215
Maryland,24035,2020-03-01 to 2020-03-07,0.0068,No,34.691,0.000219,0.909091,4.599,0.733789,88.863,116,3,639.1,1,0.0,623124
Massachusetts,25021,2020-03-01 to 2020-03-07,0.0075,No,33.212,0.000261,0.909091,4.963,0.733789,92.459,141,4,873.3,1,0.0,739502
Michigan,26061,2020-03-01 to 2020-03-07,0.0058,No,47.501,0.000196,0.909091,3.699,0.733789,77.459,84,3,176.1,1,0.0,492111
Minnesota,27037,2020-03-01 to 2020-03-07,0.0052,No,44.934,0.000146,0.909091,3.421,0.733789,73.594,63,2,69.4,1,0.0,572111
Mississippi,28045,2020-03-01 to 2020-03-07,0.0038,No,57.868,0.000123,0.909091,2.351,0.733789,49.119,26,1,63.6,1,0.0,28520
Missouri,29095,2020-03-01 to 2020-03-07,0.0045,No,56.371,0.000135,0.909091,2.819,0.733789,61.219,42,2,87.1,1,0.0,58418
Montana,30029,2020-03-01 to 2020-03-07,0.0032,No,56.185,9.1e-05,0.909091,2.161,0.733789,45.459,21,1,7.1,1,0.0,19759
Nebraska,31057,2020-03-01 to 2020-03-07,0.0048,No,58.761,0.000141,0.909091,3.001,0.733789,63.991,46,2,25.3,1,0.0,53494
Nevada,32003,2020-03-01 to 2020-03-07,0.0056,No,45.865,0.000196,0.909091,3.699,0.733789,81.399,88,3,28.3,1,0.0,342211
New Hampshire,33015,2020-03-01 to 2020-03-07,0.0064,No,46.502,0.000174,0.909091,4.198,0.733789,63.915,68,3,147.8,1,0.0,134815
New Jersey,34017,2020-03-01 to 2020-03-07,0.0073,No,41.355,0.000251,0.909091,4.866,0.733789,91.479,132,4,1216.1,1,0.0,918635
New Mexico,35045,2020-03-01 to 2020-03-07,0.005,No,40.044,0.000157,0.909091,3.131,0.733789,69.455,56,2,19.8,1,0.0,209121
New York,36079,2020-03-01 to 2020-03-07,0.007,No,37.895,0.000281,0.909091,4.943,0.733789,87.859,149,4,1085.3,1,0.0,1945351
North Carolina,37067,2020-03-01 to 2020-03-07,0.0054,No,49.831,0.000177,0.909091,3.559,0.733789,71.899,73,3,216.2,1,0.0,1039841
