state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Tennessee,43215,2020-03-01 to 2020-03-07,0.000000,No,58.234567,0.0,0.909091,4.567890,0.733788,65.43,80,0,150.5,1,0,102345
Florida,12045,2020-03-01 to 2020-03-07,0.000000,No,64.987654,0.0,0.909091,5.123456,0.733788,40.12,65,0,120.4,1,0,115432
Ohio,35021,2020-03-01 to 2020-03-07,0.012345,No,47.123456,0.0,0.909091,3.345678,0.733788,73.21,50,0,140.2,1,0,87654
New York,36095,2020-03-01 to 2020-03-07,0.000000,No,72.345678,0.0,0.909091,4.980123,0.733788,55.67,90,1,160.8,1,0,124321
Michigan,26107,2020-03-01 to 2020-03-07,0.000000,No,35.678912,0.0,0.909091,2.987654,0.733788,80.45,40,0,130.6,1,0,95321
Colorado,8031,2020-03-01 to 2020-03-07,0.017890,No,60.000111,0.0,0.909091,5.000000,0.733788,50.00,75,0,110.3,1,0,110987
Virginia,51015,2020-03-01 to 2020-03-07,0.000000,No,55.432198,0.0,0.909091,3.456789,0.733788,68.90,55,1,145.7,1,0,99543
Alabama,01003,2020-03-01 to 2020-03-07,0.000000,No,70.876543,0.0,0.909091,4.234567,0.733788,42.32,60,0,155.9,1,0,85000
South Carolina,45007,2020-03-01 to 2020-03-07,0.000000,No,52.345670,0.0,0.909091,3.876543,0.733788,77.89,85,0,135.0,1,0,120865
Kentucky,21021,2020-03-01 to 2020-03-07,0.013579,No,66.789012,0.0,0.909091,4.112233,0.733788,60.00,45,0,149.3,1,0,78000
Mississippi,28009,2020-03-01 to 2020-03-07,0.000000,No,38.567890,0.0,0.909091,5.432198,0.733788,35.78,70,1,125.8,1,0,89000
Oklahoma,40031,2020-03-01 to 2020-03-07,0.000000,No,75.432100,0.0,0.909091,3.210987,0.733788,64.55,52,0,138.4,1,0,94000
Idaho,16005,2020-03-01 to 2020-03-07,0.018654,No,33.210987,0.0,0.909091,4.567890,0.733788,79.01,68,0,142.6,1,0,107654
Utah,49011,2020-03-01 to 2020-03-07,0.000000,No,68.654321,0.0,0.909091,3.678901,0.733788,53.76,77,0,132.1,1,0,99000
Nevada,32027,2020-03-01 to 2020-03-07,0.000000,No,44.987321,0.0,0.909091,5.000123,0.733788,86.54,59,1,157.5,1,0,102000
Arizona,04007,2020-03-01 to 2020-03-07,0.000000,No,77.123400,0.0,0.909091,2.945678,0.733788,45.23,82,0,119.9,1,0,112345
Massachusetts,25003,2020-03-01 to 2020-03-07,0.016432,No,50.543210,0.0,0.909091,4.876543,0.733788,70.12,63,0,141.3,1,0,87000
Washington,53033,2020-03-01 to 2020-03-07,0.000000,No,69.876543,0.0,0.909091,3.345679,0.733788,62.89,91,0,150.0,1,0,130000
Oregon,41005,2020-03-01 to 2020-03-07,0.000000,No,41.234567,0.0,0.909091,4.654321,0.733788,81.34,47,1,128.8,1,0,95000
Pennsylvania,42003,2020-03-01 to 2020-03-07,0.000000,No,73.210000,0.0,0.909091,3.987654,0.733788,58.67,88,0,136.7,1,0,105432
