state,county_fips,week,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population,mask_user_pct
Kansas,53504.670254877674,2020-03-01 to 2020-03-07,No,47.2067611952433,,,2.6756708740333988,,79.86333065574723,100.23031306229016,1.0898497218111807,30069.760923497364,,,1352473.7796755324,0.01184356974124572
Missouri,52554.87840251244,2020-03-01 to 2020-03-07,No,64.27611359636121,,,4.352563245712974,,76.519703799808,60.91904458985789,1.54926734093408,313.63964500098734,,,17306.90903316826,0.1833438050398505
Kansas,47627.68092517216,2020-03-01 to 2020-03-07,No,61.657480764314684,,,3.74305024410894,,89.3037427301357,2.3514773451116096,2.042057472850355,55.635646540846906,,,116600.83052343642,0.1354535995871402
Alaska,47335.333093913185,2020-03-01 to 2020-03-07,No,59.33992078107434,,,2.306155790996188,,9.894002521008671,13438.04495686828,2.494254994746198,78.2398799992974,,,107630.80592166918,0.00514956534153043
California,9791.836705221733,2020-03-01 to 2020-03-07,No,56.307964674262735,,,2.827464221021633,,93.45959771017247,4.047203177241494,64.13290992739691,175.89190141130746,,,8990.776660143354,0.16271575644839936
Colorado,34822.65429330356,2020-03-01 to 2020-03-07,No,57.306540162617324,,,6.178446040904552,,78.05294867342185,215.8417638126421,0.755684712643538,135.85610024705585,,,339449.4457444052,0.002057923973865799
Michigan,47608.665511748724,2020-03-01 to 2020-03-07,No,66.07529992613371,,,7.527826176994419,,60.23858465630048,55.9690577616284,1.9514593338342445,43.864665788322284,,,76444.07232803473,0.19535803736554783
Kansas,23675.517086910906,2020-03-01 to 2020-03-07,No,62.70244722457662,,,2.6975837080591334,,91.00098943864872,174.45195829929105,0.4851279690692467,216.92961177288623,,,107275.0996652894,0.00020643242209290454
Indiana,49860.23549494828,2020-03-01 to 2020-03-07,No,42.53781285373682,,,3.8184748519501146,,28.59371745421052,23.881668186472695,1.7954663372254873,91.77424845667579,,,55112.72293429398,0.08261984840058459
Missouri,51005.0302429353,2020-03-01 to 2020-03-07,No,67.18177875172759,,,1.4351409053686295,,82.28259275374452,1.4556129856265736,0.3770877694572222,70.96276925351525,,,67811.32481978562,0.0012480456066227576
Hawaii,17009.045729504393,2020-03-01 to 2020-03-07,No,64.2902745707509,,,2.868943382087672,,86.03683191516245,297.45893328366844,0.9653819147957878,400.3889512810101,,,42954.23197245819,0.003214612347488963
Idaho,52320.301448990365,2020-03-01 to 2020-03-07,No,48.702354776134705,,,5.0026275083013,,76.53204655695525,15824.175364000488,0.6546085648565927,123.10914511473591,,,47182.5645157414,0.002551484788729563
Hawaii,40951.92231703214,2020-03-01 to 2020-03-07,No,47.33923792344515,,,3.946329621311768,,99.49349003029371,8.81022815594353,0.0939079814159689,116.65276162722078,,,92986.31394458249,0.003215428537427655
Georgia,24737.338517215565,2020-03-01 to 2020-03-07,No,62.64774348932292,,,4.163562332701541,,59.50037223647441,184.40112041453733,2.4765341998720247,215.771139689022,,,2617574.291770909,0.00601786694341138
Montana,18793.719163690614,2020-03-01 to 2020-03-07,No,64.53613967686755,,,4.065919815942875,,29.90026982176814,7679.028567151923,0.6240090610054851,106.00621393189562,,,283759.5136177825,0.00097632698430124
