Column,Metric,Score
age,KSComplement,0.8552621722846442
sex,TVComplement,0.4300000074906367
bmi,KSComplement,0.8484456928838952
children,TVComplement,0.8569662921348314
smoker,TVComplement,0.4300000074906367
region,TVComplement,0.43000001498127316
charges,KSComplement,0.8764044943820225
All,Average Shape,0.6752969545211343
age and sex,ContingencySimilarity,0.4022846441947565
age and bmi,CorrelationSimilarity,0.6199152780061086
age and children,ContingencySimilarity,0.5956928838951311
age and smoker,ContingencySimilarity,0.393689138576779
age and region,ContingencySimilarity,0.348501872659176
age and charges,CorrelationSimilarity,0.7726445638559487
sex and bmi,ContingencySimilarity,0.3398689138576779
sex and children,ContingencySimilarity,0.42999999999999994
sex and smoker,ContingencySimilarity,0.42999999999999994
sex and region,ContingencySimilarity,0.422378277153558
sex and charges,ContingencySimilarity,0.3386516853932584
bmi and children,ContingencySimilarity,0.5421348314606741
bmi and smoker,ContingencySimilarity,0.34606741573033706
bmi and region,ContingencySimilarity,0.2722846441947565
bmi and charges,CorrelationSimilarity,0.6964151460774609
children and smoker,ContingencySimilarity,0.40619850187265916
children and region,ContingencySimilarity,0.42999999999999994
children and charges,ContingencySimilarity,0.5134082397003745
smoker and region,ContingencySimilarity,0.42999999999999994
smoker and charges,ContingencySimilarity,0.34863295880149814
region and charges,ContingencySimilarity,0.31852059925093634
All Pairs,Average Corr Similarity,0.44748998069909957
