Column,Metric,Score
age,KSComplement,0.9296629213483146
sex,TVComplement,0.9931460674157303
bmi,KSComplement,0.9310112359550562
children,TVComplement,0.6967602996254681
smoker,TVComplement,0.6922284644194756
region,TVComplement,0.9490823970037453
charges,KSComplement,0.7420973782771536
All,Average Shape,0.8477126805778491
age and sex,ContingencySimilarity,0.8343632958801498
age and bmi,CorrelationSimilarity,0.9799040024315328
age and children,ContingencySimilarity,0.5409550561797754
age and smoker,ContingencySimilarity,0.6647191011235956
age and region,ContingencySimilarity,0.7607677902621723
age and charges,CorrelationSimilarity,0.9582195287968605
sex and bmi,ContingencySimilarity,0.7571161048689138
sex and children,ContingencySimilarity,0.6881647940074906
sex and smoker,ContingencySimilarity,0.6922284644194756
sex and region,ContingencySimilarity,0.881816479400749
sex and charges,ContingencySimilarity,0.7422097378277154
bmi and children,ContingencySimilarity,0.5645692883895131
bmi and smoker,ContingencySimilarity,0.6322097378277154
bmi and region,ContingencySimilarity,0.6620973782771535
bmi and charges,CorrelationSimilarity,0.9576860195561446
children and smoker,ContingencySimilarity,0.5947940074906366
children and region,ContingencySimilarity,0.6394194756554307
children and charges,ContingencySimilarity,0.5558614232209738
smoker and region,ContingencySimilarity,0.6922284644194756
smoker and charges,ContingencySimilarity,0.6897191011235955
region and charges,ContingencySimilarity,0.6973033707865168
All Pairs,Average Corr Similarity,0.7231596486640754
