Column,Metric,Score
age,KSComplement,0.8488897806313537
sex,TVComplement,0.9795746388443017
bmi,KSComplement,0.8289459604066346
children,TVComplement,0.8801765650080257
smoker,TVComplement,0.938657035848047
region,TVComplement,0.9120652755484217
charges,KSComplement,0.9321829855537721
All,Average Shape,0.9029274631200794
age and sex,ContingencySimilarity,0.8081460674157304
age and bmi,CorrelationSimilarity,0.7602220714901393
age and children,ContingencySimilarity,0.6576377742108079
age and smoker,ContingencySimilarity,0.7832397003745318
age and region,ContingencySimilarity,0.745960406634564
age and charges,CorrelationSimilarity,0.8428296124869826
sex and bmi,ContingencySimilarity,0.7579989299090423
sex and children,ContingencySimilarity,0.8796548956661316
sex and smoker,ContingencySimilarity,0.938657035848047
sex and region,ContingencySimilarity,0.8611021936864633
sex and charges,ContingencySimilarity,0.8360353130016052
bmi and children,ContingencySimilarity,0.7137372926698768
bmi and smoker,ContingencySimilarity,0.7522338148742642
bmi and region,ContingencySimilarity,0.6948234349919744
bmi and charges,CorrelationSimilarity,0.800253789593705
children and smoker,ContingencySimilarity,0.8761771000535046
children and region,ContingencySimilarity,0.8106875334403424
children and charges,ContingencySimilarity,0.7218298555377207
smoker and region,ContingencySimilarity,0.8710540395933655
smoker and charges,ContingencySimilarity,0.8385767790262173
region and charges,ContingencySimilarity,0.7609416800428037
All Pairs,Average Corr Similarity,0.7957999676451344
