Column,Metric,Score
state,TVComplement,0.6550000094499998
county_fips,TVComplement,0.020000671299535755
week,TVComplement,0.9000000099999999
mask_user_pct,KSComplement,0.31999999999999995
mask_mandate,TVComplement,1.0
gop_vote_share_2016,KSComplement,0.6599999999999999
deaths_per_10k,KSComplement,1.0
COVID_news,KSComplement,0.0
retail_visit_per_hundred,KSComplement,0.81
COVID_news_cable,KSComplement,0.0
urban_population_percentage,KSComplement,0.73
image_users,KSComplement,0.43999999999999995
mask_users,KSComplement,0.6799999999999999
population_density,KSComplement,0.625
week_counter,KSComplement,1.0
week_counter_log,KSComplement,1.0
population,KSComplement,0.5800000000000001
All,Average Shape,0.6129412171029137
state and county_fips,ContingencySimilarity,0.020000000000000018
state and week,ContingencySimilarity,0.595
state and mask_user_pct,ContingencySimilarity,0.014999999999999902
state and mask_mandate,ContingencySimilarity,0.655
state and gop_vote_share_2016,ContingencySimilarity,0.17000000000000004
state and deaths_per_10k,ContingencySimilarity,0.655
state and COVID_news,ContingencySimilarity,0.655
state and retail_visit_per_hundred,ContingencySimilarity,0.345
state and COVID_news_cable,ContingencySimilarity,0.655
state and urban_population_percentage,ContingencySimilarity,0.29499999999999993
state and image_users,ContingencySimilarity,0.45999999999999996
state and mask_users,ContingencySimilarity,0.0
state and population_density,ContingencySimilarity,0.45000000000000007
state and week_counter,ContingencySimilarity,0.655
state and week_counter_log,ContingencySimilarity,0.655
state and population,ContingencySimilarity,0.575
county_fips and week,ContingencySimilarity,0.02000000000000013
county_fips and mask_user_pct,ContingencySimilarity,0.0
county_fips and mask_mandate,ContingencySimilarity,0.020000000000000018
county_fips and gop_vote_share_2016,ContingencySimilarity,-2.220446049250313e-16
county_fips and deaths_per_10k,ContingencySimilarity,0.020000000000000018
county_fips and COVID_news,ContingencySimilarity,0.020000000000000018
county_fips and retail_visit_per_hundred,ContingencySimilarity,0.0
county_fips and COVID_news_cable,ContingencySimilarity,0.020000000000000018
county_fips and urban_population_percentage,ContingencySimilarity,0.0
county_fips and image_users,ContingencySimilarity,0.010000000000000009
county_fips and mask_users,ContingencySimilarity,0.0
county_fips and population_density,ContingencySimilarity,0.015000000000000013
county_fips and week_counter,ContingencySimilarity,0.020000000000000018
county_fips and week_counter_log,ContingencySimilarity,0.020000000000000018
county_fips and population,ContingencySimilarity,0.010000000000000231
week and mask_user_pct,ContingencySimilarity,0.014999999999999902
week and mask_mandate,ContingencySimilarity,0.9
week and gop_vote_share_2016,ContingencySimilarity,0.43999999999999995
week and deaths_per_10k,ContingencySimilarity,0.9
week and COVID_news,ContingencySimilarity,0.9
week and retail_visit_per_hundred,ContingencySimilarity,0.845
week and COVID_news_cable,ContingencySimilarity,0.9
week and urban_population_percentage,ContingencySimilarity,0.77
week and image_users,ContingencySimilarity,0.63
week and mask_users,ContingencySimilarity,0.0
week and population_density,ContingencySimilarity,0.59
week and week_counter,ContingencySimilarity,0.9
week and week_counter_log,ContingencySimilarity,0.9
week and population,ContingencySimilarity,0.86
mask_user_pct and mask_mandate,ContingencySimilarity,0.020000000000000018
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,
mask_user_pct and COVID_news,CorrelationSimilarity,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,
mask_user_pct and image_users,CorrelationSimilarity,
mask_user_pct and mask_users,CorrelationSimilarity,
mask_user_pct and population_density,CorrelationSimilarity,
mask_user_pct and week_counter,CorrelationSimilarity,
mask_user_pct and week_counter_log,CorrelationSimilarity,
mask_user_pct and population,CorrelationSimilarity,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.45999999999999996
mask_mandate and deaths_per_10k,ContingencySimilarity,1.0
mask_mandate and COVID_news,ContingencySimilarity,1.0
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,0.895
mask_mandate and COVID_news_cable,ContingencySimilarity,1.0
mask_mandate and urban_population_percentage,ContingencySimilarity,0.84
mask_mandate and image_users,ContingencySimilarity,0.6299999999999999
mask_mandate and mask_users,ContingencySimilarity,0.0
mask_mandate and population_density,ContingencySimilarity,0.65
mask_mandate and week_counter,ContingencySimilarity,1.0
mask_mandate and week_counter_log,ContingencySimilarity,1.0
mask_mandate and population,ContingencySimilarity,0.885
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.8605187320295767
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.8426867499914668
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.9124000274828763
gop_vote_share_2016 and mask_users,CorrelationSimilarity,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.9894518733223259
gop_vote_share_2016 and week_counter,CorrelationSimilarity,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,
gop_vote_share_2016 and population,CorrelationSimilarity,0.9802797523464881
deaths_per_10k and COVID_news,CorrelationSimilarity,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,
deaths_per_10k and image_users,CorrelationSimilarity,
deaths_per_10k and mask_users,CorrelationSimilarity,
deaths_per_10k and population_density,CorrelationSimilarity,
deaths_per_10k and week_counter,CorrelationSimilarity,
deaths_per_10k and week_counter_log,CorrelationSimilarity,
deaths_per_10k and population,CorrelationSimilarity,
COVID_news and retail_visit_per_hundred,CorrelationSimilarity,
COVID_news and COVID_news_cable,CorrelationSimilarity,
COVID_news and urban_population_percentage,CorrelationSimilarity,
COVID_news and image_users,CorrelationSimilarity,
COVID_news and mask_users,CorrelationSimilarity,
COVID_news and population_density,CorrelationSimilarity,
COVID_news and week_counter,CorrelationSimilarity,
COVID_news and week_counter_log,CorrelationSimilarity,
COVID_news and population,CorrelationSimilarity,
retail_visit_per_hundred and COVID_news_cable,CorrelationSimilarity,
retail_visit_per_hundred and urban_population_percentage,CorrelationSimilarity,0.946037409204296
retail_visit_per_hundred and image_users,CorrelationSimilarity,0.8968899924658263
retail_visit_per_hundred and mask_users,CorrelationSimilarity,
retail_visit_per_hundred and population_density,CorrelationSimilarity,0.9647881379918852
retail_visit_per_hundred and week_counter,CorrelationSimilarity,
