Column,Metric,Score
state,TVComplement,0.6300000113999997
county_fips,TVComplement,9.9999899438874e-07
week,TVComplement,1.0
mask_user_pct,KSComplement,0.0
mask_mandate,TVComplement,1.0
gop_vote_share_2016,KSComplement,0.745
deaths_per_10k,KSComplement,
COVID_news,KSComplement,
retail_visit_per_hundred,KSComplement,0.895
COVID_news_cable,KSComplement,
urban_population_percentage,KSComplement,0.655
image_users,KSComplement,0.575
mask_users,KSComplement,0.0
population_density,KSComplement,0.6599999999999999
week_counter,KSComplement,
week_counter_log,KSComplement,
population,KSComplement,0.625
All,Average Shape,0.5654167509499162
state and county_fips,ContingencySimilarity,2.220446049250313e-16
state and week,ContingencySimilarity,0.6299999999999999
state and mask_user_pct,ContingencySimilarity,0.029999999999999694
state and mask_mandate,ContingencySimilarity,0.6299999999999999
state and gop_vote_share_2016,ContingencySimilarity,0.2899999999999999
state and deaths_per_10k,ContingencySimilarity,0.0
state and COVID_news,ContingencySimilarity,0.0
state and retail_visit_per_hundred,ContingencySimilarity,0.345
state and COVID_news_cable,ContingencySimilarity,0.0
state and urban_population_percentage,ContingencySimilarity,0.27
state and image_users,ContingencySimilarity,0.4600000000000001
state and mask_users,ContingencySimilarity,0.025000000000000022
state and population_density,ContingencySimilarity,0.5899999999999999
state and week_counter,ContingencySimilarity,0.0
state and week_counter_log,ContingencySimilarity,0.0
state and population,ContingencySimilarity,0.4700000000000001
county_fips and week,ContingencySimilarity,2.220446049250313e-16
county_fips and mask_user_pct,ContingencySimilarity,-2.220446049250313e-16
county_fips and mask_mandate,ContingencySimilarity,2.220446049250313e-16
county_fips and gop_vote_share_2016,ContingencySimilarity,0.0
county_fips and deaths_per_10k,ContingencySimilarity,0.0
county_fips and COVID_news,ContingencySimilarity,0.0
county_fips and retail_visit_per_hundred,ContingencySimilarity,0.0
county_fips and COVID_news_cable,ContingencySimilarity,0.0
county_fips and urban_population_percentage,ContingencySimilarity,-2.220446049250313e-16
county_fips and image_users,ContingencySimilarity,1.1102230246251565e-16
county_fips and mask_users,ContingencySimilarity,0.0
county_fips and population_density,ContingencySimilarity,1.1102230246251565e-16
county_fips and week_counter,ContingencySimilarity,0.0
county_fips and week_counter_log,ContingencySimilarity,0.0
county_fips and population,ContingencySimilarity,2.220446049250313e-16
week and mask_user_pct,ContingencySimilarity,0.03499999999999992
week and mask_mandate,ContingencySimilarity,1.0
week and gop_vote_share_2016,ContingencySimilarity,0.85
week and deaths_per_10k,ContingencySimilarity,0.0
week and COVID_news,ContingencySimilarity,0.0
week and retail_visit_per_hundred,ContingencySimilarity,0.77
week and COVID_news_cable,ContingencySimilarity,0.0
week and urban_population_percentage,ContingencySimilarity,0.6000000000000001
week and image_users,ContingencySimilarity,0.64
week and mask_users,ContingencySimilarity,0.025000000000000022
week and population_density,ContingencySimilarity,0.9450000000000001
week and week_counter,ContingencySimilarity,0.0
week and week_counter_log,ContingencySimilarity,0.0
week and population,ContingencySimilarity,0.78
mask_user_pct and mask_mandate,ContingencySimilarity,0.03499999999999992
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,
mask_user_pct and COVID_news,CorrelationSimilarity,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,
mask_user_pct and image_users,CorrelationSimilarity,
mask_user_pct and mask_users,CorrelationSimilarity,
mask_user_pct and population_density,CorrelationSimilarity,
mask_user_pct and week_counter,CorrelationSimilarity,
mask_user_pct and week_counter_log,CorrelationSimilarity,
mask_user_pct and population,CorrelationSimilarity,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.85
mask_mandate and deaths_per_10k,ContingencySimilarity,0.0
mask_mandate and COVID_news,ContingencySimilarity,0.0
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,0.77
mask_mandate and COVID_news_cable,ContingencySimilarity,0.0
mask_mandate and urban_population_percentage,ContingencySimilarity,0.6000000000000001
mask_mandate and image_users,ContingencySimilarity,0.64
mask_mandate and mask_users,ContingencySimilarity,0.025000000000000022
mask_mandate and population_density,ContingencySimilarity,0.9450000000000001
mask_mandate and week_counter,ContingencySimilarity,0.0
mask_mandate and week_counter_log,ContingencySimilarity,0.0
mask_mandate and population,ContingencySimilarity,0.78
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.9013352968217843
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.8920440696387797
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.8420103212593859
gop_vote_share_2016 and mask_users,CorrelationSimilarity,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.7475029744638938
gop_vote_share_2016 and week_counter,CorrelationSimilarity,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,
gop_vote_share_2016 and population,CorrelationSimilarity,0.9686160295958318
deaths_per_10k and COVID_news,CorrelationSimilarity,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,
deaths_per_10k and image_users,CorrelationSimilarity,
deaths_per_10k and mask_users,CorrelationSimilarity,
deaths_per_10k and population_density,CorrelationSimilarity,
deaths_per_10k and week_counter,CorrelationSimilarity,
deaths_per_10k and week_counter_log,CorrelationSimilarity,
deaths_per_10k and population,CorrelationSimilarity,
COVID_news and retail_visit_per_hundred,CorrelationSimilarity,
COVID_news and COVID_news_cable,CorrelationSimilarity,
COVID_news and urban_population_percentage,CorrelationSimilarity,
COVID_news and image_users,CorrelationSimilarity,
COVID_news and mask_users,CorrelationSimilarity,
COVID_news and population_density,CorrelationSimilarity,
COVID_news and week_counter,CorrelationSimilarity,
COVID_news and week_counter_log,CorrelationSimilarity,
COVID_news and population,CorrelationSimilarity,
retail_visit_per_hundred and COVID_news_cable,CorrelationSimilarity,
retail_visit_per_hundred and urban_population_percentage,CorrelationSimilarity,0.8731514291338529
retail_visit_per_hundred and image_users,CorrelationSimilarity,0.9919656644839757
retail_visit_per_hundred and mask_users,CorrelationSimilarity,
retail_visit_per_hundred and population_density,CorrelationSimilarity,0.932905175294021
retail_visit_per_hundred and week_counter,CorrelationSimilarity,
retail_visit_per_hundred and week_counter_log,CorrelationSimilarity,
retail_visit_per_hundred and population,CorrelationSimilarity,0.9953668084096304
COVID_news_cable and urban_population_percentage,CorrelationSimilarity,
COVID_news_cable and image_users,CorrelationSimilarity,
COVID_news_cable and mask_users,CorrelationSimilarity,
COVID_news_cable and population_density,CorrelationSimilarity,
COVID_news_cable and week_counter,CorrelationSimilarity,
COVID_news_cable and week_counter_log,CorrelationSimilarity,
COVID_news_cable and population,CorrelationSimilarity,
urban_population_percentage and image_users,CorrelationSimilarity,0.7461223455037911
urban_population_percentage and mask_users,CorrelationSimilarity,
urban_population_percentage and population_density,CorrelationSimilarity,0.7986384504450391
urban_population_percentage and week_counter,CorrelationSimilarity,
urban_population_percentage and week_counter_log,CorrelationSimilarity,
urban_population_percentage and population,CorrelationSimilarity,0.8058464876511255
image_users and mask_users,CorrelationSimilarity,
image_users and population_density,CorrelationSimilarity,0.7991197139886779
image_users and week_counter,CorrelationSimilarity,
image_users and week_counter_log,CorrelationSimilarity,
image_users and population,CorrelationSimilarity,0.6221540208706449
mask_users and population_density,CorrelationSimilarity,
