Column,Metric,Score
state,TVComplement,0.6350000107999998
county_fips,TVComplement,9.9999899438874e-07
week,TVComplement,1.0
mask_user_pct,KSComplement,0.0
mask_mandate,TVComplement,1.0
gop_vote_share_2016,KSComplement,0.785
deaths_per_10k,KSComplement,1.0
COVID_news,KSComplement,1.0
retail_visit_per_hundred,KSComplement,0.92
COVID_news_cable,KSComplement,1.0
urban_population_percentage,KSComplement,0.635
image_users,KSComplement,0.5800000000000001
mask_users,KSComplement,0.355
population_density,KSComplement,0.675
week_counter,KSComplement,1.0
week_counter_log,KSComplement,1.0
population,KSComplement,0.6799999999999999
All,Average Shape,0.7214706476940584
state and county_fips,ContingencySimilarity,2.220446049250313e-16
state and week,ContingencySimilarity,0.635
state and mask_user_pct,ContingencySimilarity,0.019999999999999907
state and mask_mandate,ContingencySimilarity,0.635
state and gop_vote_share_2016,ContingencySimilarity,0.265
state and deaths_per_10k,ContingencySimilarity,0.635
state and COVID_news,ContingencySimilarity,0.635
state and retail_visit_per_hundred,ContingencySimilarity,0.3749999999999999
state and COVID_news_cable,ContingencySimilarity,0.635
state and urban_population_percentage,ContingencySimilarity,0.21999999999999997
state and image_users,ContingencySimilarity,0.42999999999999994
state and mask_users,ContingencySimilarity,0.0249999999999998
state and population_density,ContingencySimilarity,0.5899999999999999
state and week_counter,ContingencySimilarity,0.635
state and week_counter_log,ContingencySimilarity,0.635
state and population,ContingencySimilarity,0.5199999999999999
county_fips and week,ContingencySimilarity,2.220446049250313e-16
county_fips and mask_user_pct,ContingencySimilarity,0.0
county_fips and mask_mandate,ContingencySimilarity,2.220446049250313e-16
county_fips and gop_vote_share_2016,ContingencySimilarity,0.0
county_fips and deaths_per_10k,ContingencySimilarity,2.220446049250313e-16
county_fips and COVID_news,ContingencySimilarity,2.220446049250313e-16
county_fips and retail_visit_per_hundred,ContingencySimilarity,-2.220446049250313e-16
county_fips and COVID_news_cable,ContingencySimilarity,2.220446049250313e-16
county_fips and urban_population_percentage,ContingencySimilarity,0.0
county_fips and image_users,ContingencySimilarity,0.0
county_fips and mask_users,ContingencySimilarity,0.0
county_fips and population_density,ContingencySimilarity,2.220446049250313e-16
county_fips and week_counter,ContingencySimilarity,2.220446049250313e-16
county_fips and week_counter_log,ContingencySimilarity,2.220446049250313e-16
county_fips and population,ContingencySimilarity,1.1102230246251565e-16
week and mask_user_pct,ContingencySimilarity,0.03500000000000003
week and mask_mandate,ContingencySimilarity,1.0
week and gop_vote_share_2016,ContingencySimilarity,0.81
week and deaths_per_10k,ContingencySimilarity,1.0
week and COVID_news,ContingencySimilarity,1.0
week and retail_visit_per_hundred,ContingencySimilarity,0.8
week and COVID_news_cable,ContingencySimilarity,1.0
week and urban_population_percentage,ContingencySimilarity,0.5900000000000001
week and image_users,ContingencySimilarity,0.655
week and mask_users,ContingencySimilarity,0.0249999999999998
week and population_density,ContingencySimilarity,0.93
week and week_counter,ContingencySimilarity,1.0
week and week_counter_log,ContingencySimilarity,1.0
week and population,ContingencySimilarity,0.7749999999999999
mask_user_pct and mask_mandate,ContingencySimilarity,0.03500000000000003
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,
mask_user_pct and COVID_news,CorrelationSimilarity,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,
mask_user_pct and image_users,CorrelationSimilarity,
mask_user_pct and mask_users,CorrelationSimilarity,
mask_user_pct and population_density,CorrelationSimilarity,
mask_user_pct and week_counter,CorrelationSimilarity,
mask_user_pct and week_counter_log,CorrelationSimilarity,
mask_user_pct and population,CorrelationSimilarity,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.81
mask_mandate and deaths_per_10k,ContingencySimilarity,1.0
mask_mandate and COVID_news,ContingencySimilarity,1.0
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,0.8
mask_mandate and COVID_news_cable,ContingencySimilarity,1.0
mask_mandate and urban_population_percentage,ContingencySimilarity,0.5900000000000001
mask_mandate and image_users,ContingencySimilarity,0.655
mask_mandate and mask_users,ContingencySimilarity,0.0249999999999998
mask_mandate and population_density,ContingencySimilarity,0.93
mask_mandate and week_counter,ContingencySimilarity,1.0
mask_mandate and week_counter_log,ContingencySimilarity,1.0
mask_mandate and population,ContingencySimilarity,0.7749999999999999
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.8977668495105082
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.8287582109382187
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.8086590956869202
gop_vote_share_2016 and mask_users,CorrelationSimilarity,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.712565511763376
gop_vote_share_2016 and week_counter,CorrelationSimilarity,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,
gop_vote_share_2016 and population,CorrelationSimilarity,0.8741916411962072
deaths_per_10k and COVID_news,CorrelationSimilarity,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,
deaths_per_10k and image_users,CorrelationSimilarity,
deaths_per_10k and mask_users,CorrelationSimilarity,
deaths_per_10k and population_density,CorrelationSimilarity,
deaths_per_10k and week_counter,CorrelationSimilarity,
deaths_per_10k and week_counter_log,CorrelationSimilarity,
deaths_per_10k and population,CorrelationSimilarity,
COVID_news and retail_visit_per_hundred,CorrelationSimilarity,
COVID_news and COVID_news_cable,CorrelationSimilarity,
COVID_news and urban_population_percentage,CorrelationSimilarity,
COVID_news and image_users,CorrelationSimilarity,
COVID_news and mask_users,CorrelationSimilarity,
COVID_news and population_density,CorrelationSimilarity,
COVID_news and week_counter,CorrelationSimilarity,
COVID_news and week_counter_log,CorrelationSimilarity,
COVID_news and population,CorrelationSimilarity,
retail_visit_per_hundred and COVID_news_cable,CorrelationSimilarity,
retail_visit_per_hundred and urban_population_percentage,CorrelationSimilarity,0.9285501963329778
retail_visit_per_hundred and image_users,CorrelationSimilarity,0.8854435249008272
retail_visit_per_hundred and mask_users,CorrelationSimilarity,
retail_visit_per_hundred and population_density,CorrelationSimilarity,0.9876618916109199
retail_visit_per_hundred and week_counter,CorrelationSimilarity,
retail_visit_per_hundred and week_counter_log,CorrelationSimilarity,
retail_visit_per_hundred and population,CorrelationSimilarity,0.9886272444838634
COVID_news_cable and urban_population_percentage,CorrelationSimilarity,
COVID_news_cable and image_users,CorrelationSimilarity,
COVID_news_cable and mask_users,CorrelationSimilarity,
COVID_news_cable and population_density,CorrelationSimilarity,
COVID_news_cable and week_counter,CorrelationSimilarity,
COVID_news_cable and week_counter_log,CorrelationSimilarity,
COVID_news_cable and population,CorrelationSimilarity,
urban_population_percentage and image_users,CorrelationSimilarity,0.7209834780797681
urban_population_percentage and mask_users,CorrelationSimilarity,
urban_population_percentage and population_density,CorrelationSimilarity,0.7812501070060505
urban_population_percentage and week_counter,CorrelationSimilarity,
urban_population_percentage and week_counter_log,CorrelationSimilarity,
urban_population_percentage and population,CorrelationSimilarity,0.7638600630376885
image_users and mask_users,CorrelationSimilarity,
image_users and population_density,CorrelationSimilarity,0.7878757315973266
image_users and week_counter,CorrelationSimilarity,
image_users and week_counter_log,CorrelationSimilarity,
image_users and population,CorrelationSimilarity,0.6553970150104673
mask_users and population_density,CorrelationSimilarity,
mask_users and week_counter,CorrelationSimilarity,
mask_users and week_counter_log,CorrelationSimilarity,
mask_users and population,CorrelationSimilarity,
population_density and week_counter,CorrelationSimilarity,
population_density and week_counter_log,CorrelationSimilarity,
population_density and population,CorrelationSimilarity,0.7782611436709101
week_counter and week_counter_log,CorrelationSimilarity,
week_counter and population,CorrelationSimilarity,
week_counter_log and population,CorrelationSimilarity,
All Pairs,Average Corr Similarity,0.5415048178743291
