Column,Metric,Score
state,TVComplement,0.2212500000000004
county_fips,TVComplement,7.999993664187244e-07
week,TVComplement,1.0
mask_user_pct,KSComplement,0.6375
mask_mandate,TVComplement,1.0
gop_vote_share_2016,KSComplement,0.7125
deaths_per_10k,KSComplement,1.0
COVID_news,KSComplement,0.0
retail_visit_per_hundred,KSComplement,0.91875
COVID_news_cable,KSComplement,0.0
urban_population_percentage,KSComplement,0.5275000000000001
image_users,KSComplement,0.6525000000000001
mask_users,KSComplement,0.7625
population_density,KSComplement,0.6975
week_counter,KSComplement,1.0
week_counter_log,KSComplement,1.0
population,KSComplement,0.60875
All,Average Shape,0.6316912235293746
state and county_fips,ContingencySimilarity,1.1102230246251565e-16
state and week,ContingencySimilarity,0.22125000000000006
state and mask_user_pct,ContingencySimilarity,0.06125000000000003
state and mask_mandate,ContingencySimilarity,0.22125000000000006
state and gop_vote_share_2016,ContingencySimilarity,0.15000000000000002
state and deaths_per_10k,ContingencySimilarity,0.22125000000000006
state and COVID_news,ContingencySimilarity,0.22125000000000006
state and retail_visit_per_hundred,ContingencySimilarity,0.16874999999999996
state and COVID_news_cable,ContingencySimilarity,0.22125000000000006
state and urban_population_percentage,ContingencySimilarity,0.14249999999999996
state and image_users,ContingencySimilarity,0.11624999999999996
state and mask_users,ContingencySimilarity,0.0
state and population_density,ContingencySimilarity,0.21625000000000028
state and week_counter,ContingencySimilarity,0.22125000000000006
state and week_counter_log,ContingencySimilarity,0.22125000000000006
state and population,ContingencySimilarity,0.21999999999999997
county_fips and week,ContingencySimilarity,1.1102230246251565e-16
county_fips and mask_user_pct,ContingencySimilarity,2.220446049250313e-16
county_fips and mask_mandate,ContingencySimilarity,1.1102230246251565e-16
county_fips and gop_vote_share_2016,ContingencySimilarity,0.0
county_fips and deaths_per_10k,ContingencySimilarity,1.1102230246251565e-16
county_fips and COVID_news,ContingencySimilarity,1.1102230246251565e-16
county_fips and retail_visit_per_hundred,ContingencySimilarity,0.0
county_fips and COVID_news_cable,ContingencySimilarity,1.1102230246251565e-16
county_fips and urban_population_percentage,ContingencySimilarity,0.0
county_fips and image_users,ContingencySimilarity,0.0
county_fips and mask_users,ContingencySimilarity,0.0
county_fips and population_density,ContingencySimilarity,2.220446049250313e-16
county_fips and week_counter,ContingencySimilarity,1.1102230246251565e-16
county_fips and week_counter_log,ContingencySimilarity,1.1102230246251565e-16
county_fips and population,ContingencySimilarity,0.0
week and mask_user_pct,ContingencySimilarity,0.07499999999999996
week and mask_mandate,ContingencySimilarity,1.0
week and gop_vote_share_2016,ContingencySimilarity,0.725
week and deaths_per_10k,ContingencySimilarity,1.0
week and COVID_news,ContingencySimilarity,1.0
week and retail_visit_per_hundred,ContingencySimilarity,0.7325
week and COVID_news_cable,ContingencySimilarity,1.0
week and urban_population_percentage,ContingencySimilarity,0.47
week and image_users,ContingencySimilarity,0.59375
week and mask_users,ContingencySimilarity,0.0
week and population_density,ContingencySimilarity,0.955
week and week_counter,ContingencySimilarity,1.0
week and week_counter_log,ContingencySimilarity,1.0
week and population,ContingencySimilarity,0.66625
mask_user_pct and mask_mandate,ContingencySimilarity,0.07499999999999996
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,
mask_user_pct and COVID_news,CorrelationSimilarity,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,
mask_user_pct and image_users,CorrelationSimilarity,
mask_user_pct and mask_users,CorrelationSimilarity,
mask_user_pct and population_density,CorrelationSimilarity,
mask_user_pct and week_counter,CorrelationSimilarity,
mask_user_pct and week_counter_log,CorrelationSimilarity,
mask_user_pct and population,CorrelationSimilarity,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.725
mask_mandate and deaths_per_10k,ContingencySimilarity,1.0
mask_mandate and COVID_news,ContingencySimilarity,1.0
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,0.7325
mask_mandate and COVID_news_cable,ContingencySimilarity,1.0
mask_mandate and urban_population_percentage,ContingencySimilarity,0.47
mask_mandate and image_users,ContingencySimilarity,0.59375
mask_mandate and mask_users,ContingencySimilarity,0.0
mask_mandate and population_density,ContingencySimilarity,0.955
mask_mandate and week_counter,ContingencySimilarity,1.0
mask_mandate and week_counter_log,ContingencySimilarity,1.0
mask_mandate and population,ContingencySimilarity,0.66625
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.9710301472092708
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.939516385195334
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.9901363174759534
gop_vote_share_2016 and mask_users,CorrelationSimilarity,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.9386426609266311
gop_vote_share_2016 and week_counter,CorrelationSimilarity,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,
gop_vote_share_2016 and population,CorrelationSimilarity,0.9073044550510426
deaths_per_10k and COVID_news,CorrelationSimilarity,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,
deaths_per_10k and image_users,CorrelationSimilarity,
deaths_per_10k and mask_users,CorrelationSimilarity,
deaths_per_10k and population_density,CorrelationSimilarity,
deaths_per_10k and week_counter,CorrelationSimilarity,
deaths_per_10k and week_counter_log,CorrelationSimilarity,
deaths_per_10k and population,CorrelationSimilarity,
