Column,Metric,Score
state,TVComplement,0.57032981530343
congress_district,TVComplement,0.26167546174142386
county,TVComplement,5.277045578289119e-09
age,KSComplement,0.9128100263852243
gender,TVComplement,0.9025197889182058
weight,KSComplement,0.9343007915567282
extra_covid_worn_mask,TVComplement,0.3991424802110819
vote_2020,TVComplement,0.3080343008925557
pid7,TVComplement,0.8137598944591029
worn,TVComplement,5.2770456893114215e-09
day,KSComplement,0.8512664907651715
month,KSComplement,0.46273087071240115
year,KSComplement,0.9408179419525067
hour,KSComplement,0.8985488126649077
minute,KSComplement,0.9561345646437994
second,KSComplement,0.9585883905013193
All,Average Shape,0.6356662275788718
state and congress_district,ContingencySimilarity,0.009366754617414208
state and county,ContingencySimilarity,3.3306690738754696e-16
state and age,ContingencySimilarity,0.3108047493403694
state and gender,ContingencySimilarity,0.5429419525065963
state and weight,ContingencySimilarity,0.40484168865435355
state and extra_covid_worn_mask,ContingencySimilarity,0.3271767810026385
state and vote_2020,ContingencySimilarity,0.19911609498680738
state and pid7,ContingencySimilarity,0.3688786279683377
state and worn,ContingencySimilarity,0.0
state and day,ContingencySimilarity,0.2839313984168865
state and month,ContingencySimilarity,0.2643667546174142
state and year,ContingencySimilarity,0.5343139841688654
state and hour,ContingencySimilarity,0.292928759894459
state and minute,ContingencySimilarity,0.2914643799472295
state and second,ContingencySimilarity,0.2906068601583113
congress_district and county,ContingencySimilarity,3.3306690738754696e-16
congress_district and age,ContingencySimilarity,0.06093667546174131
congress_district and gender,ContingencySimilarity,0.1859498680738786
congress_district and weight,ContingencySimilarity,0.1182981530343008
congress_district and extra_covid_worn_mask,ContingencySimilarity,0.12872031662269134
congress_district and vote_2020,ContingencySimilarity,0.046002638522427475
congress_district and pid7,ContingencySimilarity,0.06916886543535616
congress_district and worn,ContingencySimilarity,0.0
congress_district and day,ContingencySimilarity,0.04812664907651709
congress_district and month,ContingencySimilarity,0.07072559366754616
congress_district and year,ContingencySimilarity,0.2332849604221635
congress_district and hour,ContingencySimilarity,0.05084432717678089
congress_district and minute,ContingencySimilarity,0.05166226912928762
congress_district and second,ContingencySimilarity,0.05548812664907654
county and age,ContingencySimilarity,0.0
county and gender,ContingencySimilarity,0.0
county and weight,ContingencySimilarity,0.0
county and extra_covid_worn_mask,ContingencySimilarity,0.0
county and vote_2020,ContingencySimilarity,0.0
county and pid7,ContingencySimilarity,0.0
county and worn,ContingencySimilarity,0.0
county and day,ContingencySimilarity,0.0
county and month,ContingencySimilarity,0.0
county and year,ContingencySimilarity,1.1102230246251565e-16
county and hour,ContingencySimilarity,0.0
county and minute,ContingencySimilarity,0.0
county and second,ContingencySimilarity,-2.220446049250313e-16
age and gender,ContingencySimilarity,0.7804749340369393
age and weight,CorrelationSimilarity,0.9999594076559644
age and extra_covid_worn_mask,ContingencySimilarity,0.3592612137203166
age and vote_2020,ContingencySimilarity,0.25683377308707134
age and pid7,ContingencySimilarity,0.6784828496042217
age and worn,ContingencySimilarity,0.0
age and day,CorrelationSimilarity,0.9637030450363606
age and month,CorrelationSimilarity,0.9913104833543885
age and year,CorrelationSimilarity,0.9899084013652959
age and hour,CorrelationSimilarity,0.9742595632906089
age and minute,CorrelationSimilarity,0.9595501318588827
age and second,CorrelationSimilarity,0.9765162472509565
gender and weight,ContingencySimilarity,0.8227044854881267
