Column,Metric,Score
state,TVComplement,0.8920052770448549
congress_district,TVComplement,0.7467414248021109
county,TVComplement,0.9708113458311475
age,KSComplement,0.9859036939313984
gender,TVComplement,0.9812137203166227
weight,KSComplement,0.9893403693931399
extra_covid_worn_mask,TVComplement,0.9682651715039577
vote_2020,TVComplement,0.8503759895773039
pid7,TVComplement,0.9331002638522428
worn,TVComplement,0.9679023746701847
day,KSComplement,0.9019195250659631
month,KSComplement,0.41135883905013193
year,KSComplement,0.904637203166227
hour,KSComplement,0.958278364116095
minute,KSComplement,0.9781002638522428
second,KSComplement,0.9803100263852242
All,Average Shape,0.9012664907849279
state and congress_district,ContingencySimilarity,0.1045580474934037
state and county,ContingencySimilarity,0.8658509234828496
state and age,ContingencySimilarity,0.8682783641160949
state and gender,ContingencySimilarity,0.888212401055409
state and weight,ContingencySimilarity,0.8692084432717677
state and extra_covid_worn_mask,ContingencySimilarity,0.8787269129287599
state and vote_2020,ContingencySimilarity,0.7872097625329815
state and pid7,ContingencySimilarity,0.8524736147757256
state and worn,ContingencySimilarity,0.8790369393139841
state and day,ContingencySimilarity,0.8284630606860158
state and month,ContingencySimilarity,0.3161873350923483
state and year,ContingencySimilarity,0.8352110817941952
state and hour,ContingencySimilarity,0.8395712401055409
state and minute,ContingencySimilarity,0.8661411609498681
state and second,ContingencySimilarity,0.870910290237467
congress_district and county,ContingencySimilarity,0.7081200527704484
congress_district and age,ContingencySimilarity,0.6788390501319261
congress_district and gender,ContingencySimilarity,0.7356596306068601
congress_district and weight,ContingencySimilarity,0.6956860158311345
congress_district and extra_covid_worn_mask,ContingencySimilarity,0.7350725593667546
congress_district and vote_2020,ContingencySimilarity,0.6464313984168866
congress_district and pid7,ContingencySimilarity,0.680877308707124
congress_district and worn,ContingencySimilarity,0.7352572559366755
congress_district and day,ContingencySimilarity,0.659551451187335
congress_district and month,ContingencySimilarity,0.29242744063324544
congress_district and year,ContingencySimilarity,0.7027902374670185
congress_district and hour,ContingencySimilarity,0.6687071240105541
congress_district and minute,ContingencySimilarity,0.6774604221635884
congress_district and second,ContingencySimilarity,0.6793601583113457
county and age,ContingencySimilarity,0.9559168865435357
county and gender,ContingencySimilarity,0.9609366754617414
county and weight,ContingencySimilarity,0.9655738786279683
county and extra_covid_worn_mask,ContingencySimilarity,0.9559168865435357
county and vote_2020,ContingencySimilarity,0.8414907651715039
county and pid7,ContingencySimilarity,0.9143007915567283
county and worn,ContingencySimilarity,0.9555870712401056
county and day,ContingencySimilarity,0.8731002638522427
county and month,ContingencySimilarity,0.31461741424802103
county and year,ContingencySimilarity,0.8794986807387863
county and hour,ContingencySimilarity,0.8906728232189973
county and minute,ContingencySimilarity,0.946853562005277
county and second,ContingencySimilarity,0.953146437994723
