Column,Metric,Score
state,TVComplement,0.9031511304846715
congress_district,TVComplement,0.6655603827611077
county,TVComplement,0.9418049703006456
age,KSComplement,0.8896766339617588
gender,TVComplement,0.9681851013934742
weight,KSComplement,0.7891116071947503
extra_covid_worn_mask,TVComplement,0.9667221793261149
vote_2020,TVComplement,0.882898366373711
pid7,TVComplement,0.9401104743044373
worn,TVComplement,0.9644270887096061
day,KSComplement,0.8546706287774279
month,KSComplement,0.3286138252672681
year,KSComplement,0.9146921604345812
hour,KSComplement,0.8623642871844459
minute,KSComplement,0.9118659101329298
second,KSComplement,0.845687934497099
All,Average Shape,0.8518464175690018
state and congress_district,ContingencySimilarity,0.6625795668652479
state and county,ContingencySimilarity,0.8587298250342301
state and age,ContingencySimilarity,0.7880741981156076
state and gender,ContingencySimilarity,0.8914758226858914
state and weight,ContingencySimilarity,0.8318415796526883
state and extra_covid_worn_mask,ContingencySimilarity,0.8931930986772029
state and vote_2020,ContingencySimilarity,0.8225642544282623
state and pid7,ContingencySimilarity,0.862690054600368
state and worn,ContingencySimilarity,0.8926392769472684
state and day,ContingencySimilarity,0.7976580971357968
state and month,ContingencySimilarity,0.2518028659642162
state and year,ContingencySimilarity,0.8329011593642628
state and hour,ContingencySimilarity,0.7957599626025449
state and minute,ContingencySimilarity,0.7877831323473021
state and second,ContingencySimilarity,0.7548577538710383
congress_district and county,ContingencySimilarity,0.6227912577045069
congress_district and age,ContingencySimilarity,0.5759382568907532
congress_district and gender,ContingencySimilarity,0.6546919731967271
congress_district and weight,ContingencySimilarity,0.6016360572218371
congress_district and extra_covid_worn_mask,ContingencySimilarity,0.6544805162307725
congress_district and vote_2020,ContingencySimilarity,0.5944010243650739
congress_district and pid7,ContingencySimilarity,0.6163525369998357
congress_district and worn,ContingencySimilarity,0.654454852115854
congress_district and day,ContingencySimilarity,0.5837959280012679
congress_district and month,ContingencySimilarity,0.20448166471575036
congress_district and year,ContingencySimilarity,0.6198441130017339
congress_district and hour,ContingencySimilarity,0.5786301198329226
congress_district and minute,ContingencySimilarity,0.5834560773753124
congress_district and second,ContingencySimilarity,0.5654633082367324
