state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
New Hampshire,1697,2020-03-01 to 2020-03-07,0.1023241471375921,No,63.82091125778766,0.0,0.909090909090909,4.832779681545233,0.733788395904437,12.372905601682213,173,99,433.7776556866495,1,0,91426
Nebraska,46702,2020-03-01 to 2020-03-07,0.0551590241233897,No,59.74629330563466,0.0,0.909090909090909,3.061435687388555,0.733788395904437,50.723635063930224,166,95,45.98048794511696,1,0,278116
New Jersey,53390,2020-03-01 to 2020-03-07,0.0439361008576437,No,65.32578136675272,0.0,0.909090909090909,3.679459152080283,0.733788395904437,71.54374593745433,24,32,33.78714754274101,1,0,81455
West Virginia,16382,2020-03-01 to 2020-03-07,0.0063486995439833,No,63.88114231705387,0.0,0.909090909090909,7.007392541145995,0.733788395904437,76.15320659634116,190,2,51138.58560726125,1,0,185964
Oklahoma,46528,2020-03-01 to 2020-03-07,0.0731115189892833,No,56.71368343905035,0.0,0.909090909090909,2.6887770950683247,0.733788395904437,48.782554863122975,22,28,561.3314494899188,1,0,63002
Tennessee,41673,2020-03-01 to 2020-03-07,0.0038976172948847,No,82.15309477688152,0.0,0.909090909090909,4.014325922490223,0.733788395904437,67.43308399739284,278,2,867.536298128133,1,0,115095
Kentucky,29964,2020-03-01 to 2020-03-07,0.1320632227751932,No,63.91275865749682,0.0,0.909090909090909,2.6750583013947904,0.733788395904437,69.47367558725828,1,1,30.730741299909432,1,0,242858
Ohio,41116,2020-03-01 to 2020-03-07,0.0005770594257054,No,74.36233230490302,0.0,0.909090909090909,2.473929283650419,0.733788395904437,97.69177875803489,4,0,212.09982657199183,1,0,390195
Georgia,22112,2020-03-01 to 2020-03-07,0.0694809195228283,No,84.80528276970557,0.0,0.909090909090909,1.7147083316342755,0.733788395904437,1.7612633902891115,62,1,170.7908158482031,1,0,36820
South Carolina,18525,2020-03-01 to 2020-03-07,0.006377862772372,No,59.407520924161744,0.0,0.909090909090909,2.053184239591448,0.733788395904437,67.02138265391571,8409,38,248.00301955968484,1,0,119795
North Carolina,17904,2020-03-01 to 2020-03-07,0.0045760706237565,No,29.465824183871703,0.0,0.909090909090909,2.3961794603860644,0.733788395904437,70.6796218978872,3940,101,10.085330409575086,1,0,53302
California,35855,2020-03-01 to 2020-03-07,0.0024631864167868,No,75.18930541603454,0.0,0.909090909090909,1.425545880336849,0.733788395904437,70.62262848242526,14130,0,117.11736081904915,1,0,105761
California,33305,2020-03-01 to 2020-03-07,0.0161952680071283,No,54.00778303242073,0.0,0.909090909090909,3.466725888276589,0.733788395904437,13.257889839701178,19,111,46.44508871942429,1,0,20422
Missouri,20532,2020-03-01 to 2020-03-07,1.3773819028569714e-05,No,51.57490455751251,0.0,0.909090909090909,1.2228601703897284,0.733788395904437,75.92914780126124,205,0,49.63633487876275,1,0,92663
Georgia,14985,2020-03-01 to 2020-03-07,0.0018480918271294,No,70.55534428595116,0.0,0.909090909090909,1.5245954562336774,0.733788395904437,20.058913293343927,29,0,351.9189890180212,1,0,913622
Montana,17227,2020-03-01 to 2020-03-07,0.0578697996398145,No,46.20665067322919,0.0,0.909090909090909,3.494355615030852,0.733788395904437,61.064590880826685,21,89,249.69901837439056,1,0,42534
Utah,2620,2020-03-01 to 2020-03-07,0.0635060525446733,No,46.74861635574946,0.0,0.909090909090909,3.5044218269338656,0.733788395904437,54.11084359255126,11,110,66523.68859348694,1,0,50653
Pennsylvania,36343,2020-03-01 to 2020-03-07,0.0018222924440378,No,71.83536016004182,0.0,0.909090909090909,4.142375521308478,0.733788395904437,73.18919886942729,147,0,367.0430174599844,1,0,4180702
Iowa,33204,2020-03-01 to 2020-03-07,0.0108932668420691,No,48.84513613731213,0.0,0.909090909090909,2.1530396394508884,0.733788395904437,64.45527408596331,108,1,450.75756960423246,1,0,110535
Idaho,32874,2020-03-01 to 2020-03-07,0.0025509574992308,No,47.11978634728025,0.0,0.909090909090909,2.1273814912621365,0.733788395904437,58.481860806322175,52,0,307.05163732591365,1,0,108541
Oklahoma,20984,2020-03-01 to 2020-03-07,0.1590138131504685,No,48.963139355446366,0.0,0.909090909090909,1.6104633580282577,0.733788395904437,93.68763573125366,5,42,184.65089167896093,1,0,67133
Nebraska,52351,2020-03-01 to 2020-03-07,0.030184739642898,No,56.553435567242765,0.0,0.909090909090909,8.131233266467346,0.733788395904437,92.91100556986612,3,2,268.72318083917065,1,0,89659
Maryland,49064,2020-03-01 to 2020-03-07,0.0049535228759483,No,75.30878624898232,0.0,0.909090909090909,1.1436377749333069,0.733788395904437,3.955037393042289,8401,105,79.75574659147708,1,0,3371055
Oregon,17934,2020-03-01 to 2020-03-07,0.0631091327688108,No,61.07132011750773,0.0,0.909090909090909,2.4743701188529905,0.733788395904437,75.21237842767366,46,30,77.01423403884529,1,0,86623
Minnesota,4232,2020-03-01 to 2020-03-07,0.003575780447317,No,56.46137667954433,0.0,0.909090909090909,2.2575794690187645,0.733788395904437,50.665476354497855,10671,104,59.77098682020413,1,0,253058
Ohio,45284,2020-03-01 to 2020-03-07,0.0030914984164804,No,43.90903435037685,0.0,0.909090909090909,2.089390139591321,0.733788395904437,90.75876834410684,3849,0,71.61514033597729,1,0,199511
Iowa,15105,2020-03-01 to 2020-03-07,0.0078233926127275,No,49.23971224195366,0.0,0.909090909090909,1.5953684056641173,0.733788395904437,85.28673936276151,450,96,345.3735103540685,1,0,325626
Connecticut,45835,2020-03-01 to 2020-03-07,0.015080907980557,No,63.38700687677481,0.0,0.909090909090909,7.373619046378288,0.733788395904437,93.98523331228448,54,1,105.95919327128571,1,0,60369
Georgia,21834,2020-03-01 to 2020-03-07,0.1394467857280919,No,38.31701426277751,0.0,0.909090909090909,2.8538464492980475,0.733788395904437,92.15002597271928,8,1,138.24301222142333,1,0,109313
Illinois,50053,2020-03-01 to 2020-03-07,0.0002552698955528,No,62.419412009276826,0.0,0.909090909090909,2.168903377980876,0.733788395904437,93.14801151184304,335,0,180.7260425082327,1,0,424980
Alabama,24129,2020-03-01 to 2020-03-07,0.0083077032231291,No,43.659012381843155,0.0,0.909090909090909,4.362098964732869,0.733788395904437,85.94458494975774,118,2,121.05230919324552,1,0,136117
South Dakota,47782,2020-03-01 to 2020-03-07,0.0013672502879142,No,70.95409495521912,0.0,0.909090909090909,3.3085501697878543,0.733788395904437,20.7838305286018,210,0,198.82298757990228,1,0,20073
West Virginia,38908,2020-03-01 to 2020-03-07,0.0758017530680437,No,48.15094928443761,0.0,0.909090909090909,4.299820781411614,0.733788395904437,97.97307514161444,45,69,393.6059437204507,1,0,75483
Pennsylvania,38177,2020-03-01 to 2020-03-07,0.1176377109476521,No,66.16962120678421,0.0,0.909090909090909,3.7358019447622017,0.733788395904437,93.5483364854464,5,67,55771.49424328989,1,0,167630
Utah,45107,2020-03-01 to 2020-03-07,0.0014864703310517,No,46.87696152908925,0.0,0.909090909090909,2.0984987773563386,0.733788395904437,55.37251545988168,35,0,44.88696111748288,1,0,20919
Iowa,25664,2020-03-01 to 2020-03-07,6.819047014419217e-05,No,64.90006701695093,0.0,0.909090909090909,2.576526347919088,0.733788395904437,16.37146091249291,21,0,91.2443403251148,1,0,193552
New Jersey,49432,2020-03-01 to 2020-03-07,0.148840077899196,No,77.76697004326523,0.0,0.909090909090909,3.8407101830359727,0.733788395904437,83.1558704036345,5,2,1095.3174522709526,1,0,51911
Oklahoma,39030,2020-03-01 to 2020-03-07,0.1241993228575649,No,49.10871156389518,0.0,0.909090909090909,3.233324554644673,0.733788395904437,65.20228722649097,13,1,435.2408744480573,1,0,56661
Colorado,22093,2020-03-01 to 2020-03-07,0.0007229380552314,No,57.12971524619038,0.0,0.909090909090909,1.3433585402493735,0.733788395904437,62.80791706963591,207,0,158.55226560080447,1,0,109346
New Jersey,12654,2020-03-01 to 2020-03-07,0.1364063360679486,No,84.94728979740148,0.0,0.909090909090909,7.143659989270645,0.733788395904437,58.73537365891553,24,78,20978.666660210056,1,0,28846
Florida,32903,2020-03-01 to 2020-03-07,0.1933925968178524,No,23.6779664133808,0.0,0.909090909090909,3.057229806507408,0.733788395904437,38.22189936559364,56,2,119.94077359309014,1,0,124256
South Dakota,11774,2020-03-01 to 2020-03-07,0.0016564948866567,No,64.58401801218436,0.0,0.909090909090909,3.5392360086807515,0.733788395904437,85.8092791342244,37,0,677.9216352752331,1,0,145688
Illinois,47248,2020-03-01 to 2020-03-07,0.1304272326661547,No,65.24478102693055,0.0,0.909090909090909,2.497673478455104,0.733788395904437,98.91099894972058,20,2,126.29625281964508,1,0,90880
