state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Florida,44095,2020-03-01 to 2020-03-07,0.0,No,49.986,0.0,0.909091,1.957,0.733788,88.55,43,0,1125.2,1,0.0,149942
South Carolina,6731,2020-03-01 to 2020-03-07,0.0,No,70.847,0.0,0.909091,8.336,0.733788,75.977,30,0,101.7,1,0.0,118741
California,49336,2020-03-01 to 2020-03-07,0.1475,No,72.685,0.0,0.909091,7.071,0.733788,73.833,46,0,136.1,1,0.0,257548
North Carolina,36672,2020-03-01 to 2020-03-07,0.0,No,38.999,0.0,0.909091,3.205,0.733788,88.173,236,0,396.6,1,0.0,241285
California,7972,2020-03-01 to 2020-03-07,0.0,No,43.214,0.0,0.909091,1.379,0.733788,27.489,17,0,93.7,1,0.0,125005
Texas,46777,2020-03-01 to 2020-03-07,0.0,No,72.434,0.0,0.909091,1.494,0.733788,75.309,18,0,97.9,1,0.0,39244
North Carolina,9976,2020-03-01 to 2020-03-07,0.0828,No,31.746,0.0,0.909091,4.166,0.733788,95.113,151,2,615.1,1,0.0,310175
Texas,49855,2020-03-01 to 2020-03-07,0.1512,No,67.139,0.0,0.909091,3.321,0.733788,24.392,12,0,87.0,1,0.0,42849
California,42153,2020-03-01 to 2020-03-07,0.0,No,38.469,0.0,0.909091,3.692,0.733788,91.577,51,0,399.0,1,0.0,102616
California,36809,2020-03-01 to 2020-03-07,0.0,No,64.35,0.0,0.909091,3.856,0.733788,84.259,169,0,384.3,1,0.0,239073
North Carolina,35702,2020-03-01 to 2020-03-07,0.0926,No,45.105,0.0,0.909091,4.309,0.733788,87.739,256,0,89.9,1,0.0,69756
Texas,12442,2020-03-01 to 2020-03-07,0.1207,No,42.061,0.0,0.909091,3.124,0.733788,94.994,40,1,237.8,1,0.0,277085
Texas,47542,2020-03-01 to 2020-03-07,0.0,No,73.99,0.0,0.909091,6.792,0.733788,88.711,38,0,766.8,1,0.0,109965
North Carolina,27763,2020-03-01 to 2020-03-07,0.091,No,39.574,0.0,0.909091,2.709,0.733788,97.618,9688,3,720.3,1,0.0,960492
Texas,44472,2020-03-01 to 2020-03-07,0.0,No,50.257,0.0,0.909091,1.852,0.733788,39.972,14,0,9.5,1,0.0,17094
Texas,28852,2020-03-01 to 2020-03-07,0.0,No,78.568,0.0,0.909091,2.599,0.733788,41.506,9,0,83.6,1,0.0,41188
