,count,unique,top,freq,mean,std,min,25%,50%,75%,max
response_id,189503.0,,,,6151464.719846124,927182.1238554231,4600001.0,5307532.5,6109074.0,7000799.5,7706077.0
start_date,189503,186710,2020-10-13 20:12:47,4,,,,,,,
state,189503,52,California,18728,,,,,,,
congress_district,189503,439,0,7880,,,,,,,
county,189503.0,,,,1287.7251653008132,6881.977356411483,0.0,0.0,0.0,0.0,48201.0
age,189503.0,,,,45.35155643973974,16.826715421687336,18.0,31.0,45.0,59.0,99.0
gender,189503,2,Female,111719,,,,,,,
weight,189503.0,,,,0.999999999440561,1.2607634004107988,9.084388e-15,0.20171319999999998,0.5159414,1.1901475000000001,5.030965
extra_covid_worn_mask,189503,3,Yes,171715,,,,,,,
vote_2020,189503,12,Joe Biden,67616,,,,,,,
pid7,189503,8,Strong Democrat,44558,,,,,,,
date,189503,221,2020-07-14,2257,,,,,,,
worn,189503,3,True,171715,,,,,,,
