state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Arkansas,5045,2020-03-01 to 2020-03-07,0.0,No,66.7582103215332,0.0,0.909090909090909,5.48382232733102,0.733788395904437,61.24,90,0,174.8,1,0,126007
Missouri,29113,2020-03-01 to 2020-03-07,0.0,No,76.5081108482471,0.0,0.909090909090909,3.26368766204057,0.733788395904437,25.17,7,0,83.9,1,0,59013
Georgia,13179,2020-03-01 to 2020-03-07,0.0,No,39.1223811956952,0.0,0.909090909090909,4.07096931716448,0.733788395904437,76.84,36,0,129.5,1,0,61435
West Virginia,54079,2020-03-01 to 2020-03-07,0.0,No,75.1108051120972,0.0,0.909090909090909,3.78387953941541,0.733788395904437,64.22,29,0,160.5,1,0,56450
Hawaii,15007,2020-03-01 to 2020-03-07,0.0172413793103448,No,31.5189346649992,0.0,0.909090909090909,2.98092484749561,0.733788395904437,87.14,58,1,108.2,1,0,72293
Oregon,41003,2020-03-01 to 2020-03-07,0.0113636363636364,No,31.4271242854606,0.0,0.909090909090909,1.63455235188548,0.733788395904437,81.24,88,1,126.6,1,0,93053
Arkansas,5037,2020-03-01 to 2020-03-07,0.0,No,69.6439440048692,0.0,0.909090909090909,3.65430294171387,0.733788395904437,43.21,3,0,29.0,1,0,16419
Minnesota,27027,2020-03-01 to 2020-03-07,0.0285714285714286,No,51.083964860713,0.0,0.909090909090909,1.6411821494192,0.733788395904437,72.08,35,1,56.4,1,0,64222
Texas,48409,2020-03-01 to 2020-03-07,0.0,No,62.432185894677,0.0,0.909090909090909,4.50022478645287,0.733788395904437,80.35,33,0,93.5,1,0,66730
Colorado,8005,2020-03-01 to 2020-03-07,0.0034632034632034,No,42.4948547109965,0.0,0.909090909090909,2.44612315143392,0.733788395904437,98.42,1155,4,716.7,1,0,656590
West Virginia,54003,2020-03-01 to 2020-03-07,0.0,No,69.6594809492087,0.0,0.909090909090909,2.31767795856374,0.733788395904437,68.37,18,0,324.4,1,0,119171
Missouri,29095,2020-03-01 to 2020-03-07,0.0088050314465408,No,41.2125673249668,0.0,0.909090909090909,3.97106161923498,0.733788395904437,96.16,795,7,1115.3,1,0,703011
Ohio,39173,2020-03-01 to 2020-03-07,0.0,No,54.5501426754317,0.0,0.909090909090909,4.52234801287294,0.733788395904437,70.45,150,0,203.3,1,0,130817
Utah,49003,2020-03-01 to 2020-03-07,0.0,No,85.0551985500575,0.0,0.909090909090909,2.13931413481783,0.733788395904437,68.9,7,0,8.7,1,0,56046
