state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Florida,44095.438,2020-03-01 to 2020-03-07,0.0,No,49.985687,0.0,0.90909094,1.9574028,0.7337884,88.55022,43.600414,0.0,1125.1659,1.0,0.0,149942.27
South Carolina,6731.1274,2020-03-01 to 2020-03-07,0.0,No,70.84656,0.0,0.90909094,8.336474,0.7337884,75.97712,30.326965,0.0,101.74098,1.0,0.0,118741.055
California,49336.82,2020-03-01 to 2020-03-07,0.14750542,No,72.684525,0.0,0.90909094,7.071335,0.7337884,73.83298,46.966858,0.36539578,136.08615,1.0,0.0,257548.67
North Carolina,36672.938,2020-03-01 to 2020-03-07,0.0,No,38.999435,0.0,0.90909094,3.2051399,0.7337884,88.17327,236.88556,0.0,396.56244,1.0,0.0,241285.02
California,7972.1772,2020-03-01 to 2020-03-07,0.0,No,43.213856,0.0,0.90909094,1.3788307,0.7337884,27.488628,17.800325,0.0,93.70056,1.0,0.0,125005.375
Texas,46777.67,2020-03-01 to 2020-03-07,0.0,No,72.433754,0.0,0.90909094,1.4943248,0.7337884,75.30906,18.875626,0.0,97.891685,1.0,0.0,39244.92
North Carolina,9976.094,2020-03-01 to 2020-03-07,0.08283384,No,31.746449,0.0,0.90909094,4.1655164,0.7337884,95.11339,151.69395,2.1774306,615.1069,1.0,0.0,310175.78
Texas,49855.703,2020-03-01 to 2020-03-07,0.15116365,No,67.138695,0.0,0.90909094,3.3211625,0.7337884,24.391685,12.5016365,0.48103103,86.97489,1.0,0.0,42849.258
California,42153.742,2020-03-01 to 2020-03-07,0.0,No,38.469284,0.0,0.90909094,3.6921058,0.7337884,91.57654,51.864372,0.0,399.04807,1.0,0.0,102616.8
California,36809.492,2020-03-01 to 2020-03-07,0.0,No,64.3501,0.0,0.90909094,3.8555157,0.7337884,84.25919,169.00441,0.0,384.303,1.0,0.0,239073.73
North Carolina,35702.457,2020-03-01 to 2020-03-07,0.09264207,No,45.10538,0.0,0.90909094,4.308688,0.7337884,87.73921,256.3975,0.36267918,89.939865,1.0,0.0,69756.72
Texas,12442.506,2020-03-01 to 2020-03-07,0.120667815,No,42.060604,0.0,0.90909094,3.1240726,0.7337884,94.99429,40.03872,1.8843675,237.8091,1.0,0.0,277085.1
