"response_id","start_date","state","congress_district","county","age","gender","weight","extra_covid_worn_mask","vote_2020","pid7","date","worn"
"7711179","2020-09-15 14:30:12","Texas","TX-15","Hidalgo",32,"Male",0.817123,"Yes","Donald Trump","Lean Republican","2020-09-15",TRUE
"6582393","2020-07-22 10:45:06","California","CA-34","Los Angeles",41,"Female",1.234567,"No","Joe Biden","Strong Democrat","2020-07-22",TRUE
"4829110","2020-06-18 20:01:45","Florida","FL-12","Pasco",51,"Male",0.421123,"Yes","Donald Trump","Weak Republican","2020-06-18",FALSE
"7198234","2020-11-02 12:15:38","New York","NY-14","New York",28,"Female",0.982145,"Yes","Joe Biden","Independent","2020-11-02",TRUE
"6547392","2020-08-10 15:40:21","Georgia","GA-06","Fulton",39,"Male",0.765432,"No","Donald Trump","Lean Democrat","2020-08-10",FALSE
"4738291","2020-06-25 11:20:05","North Carolina","NC-08","Mecklenburg",44,"Female",1.109876,"Yes","Joe Biden","Strong Democrat","2020-06-25",TRUE
"7820395","2020-09-22 17:50:59","Illinois","IL-11","Cook",35,"Male",0.623456,"Yes","Joe Biden","Weak Democrat","2020-09-22",TRUE
"6598512","2020-07-29 14:10:22","Michigan","MI-13","Wayne",48,"Female",0.951234,"No","Donald Trump","Lean Republican","2020-07-29",FALSE
"4982309","2020-06-12 20:40:18","Ohio","OH-03","Franklin",29,"Male",0.531789,"Yes","Joe Biden","Independent","2020-06-12",TRUE
"7154698","2020-10-20 12:30:04","Pennsylvania","PA-18","Allegheny",42,"Female",1.012345,"Yes","Joe Biden","Strong Democrat","2020-10-20",TRUE
"6754932","2020-08-25 16:15:39","Arizona","AZ-06","Maricopa",36,"Male",0.892145,"No","Donald Trump","Weak Republican","2020-08-25",FALSE
"7941587","2020-09-29 19:20:13","Wisconsin","WI-05","Waukesha",46,"Female",0.765123,"Yes","Joe Biden","Independent","2020-09-29",TRUE
"6842391","2020-08-04 14:45:01","Minnesota","MN-05","Hennepin",31,"Male",0.421982,"Yes","Joe Biden","Strong Democrat","2020-08-04",TRUE
"5220915","2020-06-05 20:55:44","Virginia","VA-11","Fairfax",38,"Female",0.982135,"No","Joe Biden","Lean Democrat","2020-06-05",FALSE
"7598123","2020-09-08 17:10:49","Washington","WA-08","King",40,"Male",0.819256,"Yes","Joe Biden","Weak Democrat","2020-09-08",TRUE
"6934182","2020-08-18 15:25:32","Colorado","CO-06","Arapahoe",34,"Female",0.951234,"Yes","Joe Biden","Independent","2020-08-18",TRUE
"6174693","2020-07-11 20:40:58","New Jersey","NJ-12","Mercer",45,"Male",0.623456,"No","Joe Biden","Strong Democrat","2020-07-11",FALSE
"8392794","2020-10-05 19:30:14","Massachusetts","MA-07","Middlesex",30,"Female",0.982145,"Yes","Joe Biden","Lean Democrat","2020-10-05",TRUE
"7421938","2020-08-28 14:50:26","Maryland","MD-04","Prince George's",43,"Male",0.421982,"Yes","Joe Biden","Weak Republican","2020-08-28",TRUE
"6187421","2020-07-15 17:20:05","Connecticut","CT-05","New Haven",39,"Female",0.109876,"No","Joe Biden","Independent","2020-07-15",FALSE
"8214996","2020-09-24 20:45:13","Oregon","OR-03","Multnomah",36,"Male",0.765432,"Yes","Joe Biden","Strong Democrat","2020-09-24",TRUE
"6642314","2020-08-01 15:55:49","Nevada","NV-03","Clark",41,"Female",0.982145,"Yes","Joe Biden","Weak Democrat","2020-08-01",TRUE
"7548231","2020-09-01 19:10:28","Utah","UT-04","Salt Lake",32,"Male",0.531789,"No","Donald Trump","Lean Republican","2020-09-01",FALSE
"6921489","2020-08-17 14:40:21","New Mexico","NM-01","Bernalillo",44,"Female",0.109876,"Yes","Joe Biden","Independent","2020-08-17",TRUE
"8352694","2020-10-01 20:25:46","Nebraska","NE-02","Douglas",38,"Male",0.623456,"Yes","Joe Biden","Weak Democrat","2020-10-01",TRUE
"6814192","2020-08-12 17:35:14","Kansas","KS-03","Johnson",40,"Female",0.421123,"No","Donald Trump","Lean Republican","2020-08-12",FALSE
"7945298","2020-09-27 19:45:01","Idaho","ID-02","Ada",35,"Male",0.982145,"Yes","Joe Biden","Strong Democrat","2020-09-27",TRUE
"7463918","2020-08-31 15:10:49","Oklahoma","OK-05","Oklahoma",42,"Female",0.109876,"Yes","Joe Biden","Weak Republican","2020-08-31",TRUE
"6658312","2020-08-03 20:50:58","South Carolina","SC-06","Richland",36,"Male",0.765432,"No","Donald Trump","Lean Republican","2020-08-03",FALSE
"8192695","2020-09-20 19:35:26","Mississippi","MS-02","Hinds",45,"Female",0.421982,"Yes","Joe Biden","Independent","2020-09-20",TRUE
"7581932","2020-09-06 17:25:11","West Virginia","WV-03","Kanawha",39,"Male",0.623456,"Yes","Donald Trump","Weak Republican","2020-09-06",FALSE
"6994185","2020-08-22 15:35:49","Arkansas","AR-02","Pulaski",34,"Female",0.982145,"Yes","Joe Biden","Strong Democrat","2020-08-22",TRUE
"7835391","2020-09-16 20:40:59","Louisiana","LA-02","Orleans",41,"Male",0.765123,"No","Joe Biden","Weak Democrat","2020-09-16",FALSE
"6619914","2020-08-07 15:55:39","Kentucky","KY-06","Fayette",38,"Female",0.109876,"Yes","Joe Biden","Independent","2020-08-07",TRUE
"8043919","2020-09-29 19:50:19","Tennessee","TN-09","Shelby",36,"Male",0.421982,"Yes","Joe Biden","Weak Republican","2020-09-29",TRUE
"6746219","2020-08-14 17:40:26","Alabama","AL-07","Jefferson",42,"Female",0.623456,"Yes","Joe Biden","Strong Democrat","2020-08-14",TRUE
"7498192","2020-09-03 15:20:08","Montana","MT-01","Yellowstone",40,"Male",0.982145,"No","Donald Trump","Lean Republican","2020-09-03",FALSE
"7771918","2020-09-12 20:25:43","Delaware","DE-01","New Castle",35,"Female",0.109876,"Yes","Joe Biden","Independent","2020-09-12",TRUE
"6693295","2020-08-09 19:30:14","North Dakota","ND-01","Cass",44,"Male",0.765432,"Yes","Joe Biden","Weak Democrat","2020-08-09",TRUE
"7856379","2020-09-18 19:15:39","South Dakota","SD-01","Minnehaha",38,"Female",0.421123,"No","Donald Trump","Lean Republican","2020-09-18",FALSE
"7531098","2020-09-05 17:10:22","Alaska","AK-01","Anchorage",36,"Male",0.623456,"Yes","Joe Biden","Independent","2020-09-05",TRUE
"6923582","2020-08-18 15:30:46","Hawaii","HI-01","Honolulu",41,"Female",0.982145,"Yes","Joe Biden","Strong Democrat","2020-08-18",TRUE
"7513291","2020-09-04 20:40:26","Maine","ME-02","Cumberland",39,"Male",0.109876,"Yes","Joe Biden","Weak Democrat","2020-09-04",TRUE
"8345919","2020-10-04 19:50:01","Rhode Island","RI-01","Providence",35,"Female",0.421982,"No","Joe Biden","Independent","2020-10-04",FALSE
"7793294","2020-09-14 17:45:13","Vermont","VT-01","Chittenden",42,"Male",0.765123,"Yes","Joe Biden","Strong Democrat","2020-09-14",TRUE
"6954692","2020-08-20 15:25:32","Wyoming","WY-01","Laramie",38,"Female",0.982145,"No","Donald Trump","Lean Republican","2020-08-20",FALSE
"7839917","2020-09-17 20:10:08","New Hampshire","NH-02","Hillsborough",41,"Male",0.623456,"Yes","Joe Biden","Weak Democrat","2020-09-17",TRUE
"7673819","2020-09-09 19:45:44","Indiana","IN-09","Monroe",36,"Female",0.109876,"Yes","Joe Biden","Independent","2020-09-09",TRUE
"8239114","2020-09-28 19:30:57","Iowa","IA-03","Polk",40,"Male",0.421982,"Yes","Joe Biden","Strong Democrat","2020-09-28",TRUE
"6864211","2020-08-15 17:10:22","Missouri","MO-05","Jackson",44,"Female",0.765432,"No","Donald Trump","Lean Republican","2020-08-15",FALSE
