response_id,state,congress_district,county,age,gender,weight,extra_covid_worn_mask,vote_2020,pid7,worn,day,month,year,hour,minute,second
5403862.5,Arizona,IL13,0.0,61.0,Female,1.0694518,Yes,Joe Biden,Strong Republican,True,18.0,7.0,2020.0,21.0,33.0,8.0
5602909.5,Nevada,NV03,0.0,60.0,Female,0.26316968,Yes,I would not vote,Strong Republican,True,10.0,5.0,2020.0,0.0,6.0,34.0
5805548.0,Missouri,FL07,0.0,49.0,Male,0.81447077,Yes,Joe Biden,Strong Democrat,True,15.0,8.0,2020.0,3.0692062,31.0,21.0
6708355.0,Indiana,NM01,0.0,26.0,Female,2.466406,Yes,Not Asked,Lean Republican,True,7.0,11.0,2020.0,15.0,42.0,6.0
7207299.5,Hawaii,IN07,0.0,33.0,Female,0.057789538,Yes,Not Asked,Strong Democrat,True,5.0,12.0,2020.0,3.0,3.0,34.0
5304934.0,Minnesota,OH03,0.0,26.0,Male,1.8183906,No,Joe Biden,Weak Democrat,False,28.0,7.0,2020.0,20.0,33.0,42.0
6605258.5,Hawaii,VA04,0.0,29.0,Male,0.16120476,Yes,Joe Biden,Strong Democrat,True,18.0,10.0,2020.0,7.0,43.0,36.0
6307258.0,Indiana,IL03,0.0,58.0,Female,0.02225176,Yes,0,Strong Republican,True,27.0,10.0,2020.0,9.0,37.0,3.0
6417727.5,Texas,CT03,0.0,65.0,Female,3.132437,Yes,Joe Biden,Strong Democrat,True,23.0,10.0,2020.0,17.0,59.0,6.0
6106289.0,Georgia,IN07,0.0,57.0,Male,3.6955156,Yes,Donald Trump,Strong Republican,True,12.0,9.0,2020.0,9.0,29.0,46.0
6301548.0,Texas,MI06,0.0,70.91167,Female,0.05245056,Yes,Joe Biden,Strong Democrat,True,2.0,9.0,2020.0,4.0,2.0,25.0
5907617.5,Louisiana,CT01,0.0,72.0,Male,1.5270861,Yes,Donald Trump,Strong Republican,True,4.0,9.0,2020.0,10.0,40.0,2.0
7403898.0,Texas,0,0.0,37.0,Male,0.72833145,Yes,Joe Biden,Weak Republican,True,16.0,12.0,2020.0,21.0,47.0,34.0
6904940.0,Texas,FL12,0.0,37.0,Female,0.63637394,Yes,Joe Biden,Strong Democrat,True,27.0,11.0,2020.0,4.0,40.0,30.0
4805214.0,Connecticut,TX25,0.0,45.0,Male,1.0116643,No,Donald Trump,Weak Republican,False,2.0,7.0,2020.0,5.0,7.0,0.0
6701818.5,Texas,NC04,0.0,56.0,Female,1.2685411,No,Not Asked,Independent,False,14.0,11.0,2020.0,21.0,46.0,48.0
7407998.0,Alabama,MA07,0.0,44.0,Female,0.5289493,Yes,Joe Biden,Strong Democrat,True,14.0,12.0,2020.0,18.0,17.0,54.0
7607322.5,Missouri,VA04,0.0,62.0,Male,0.2542688,Yes,Joe Biden,Lean Democrat,True,30.0,12.0,2020.0,0.0,46.0,31.0
7107650.0,Kentucky,NY12,39049.0,54.0,Male,4.958368,Yes,Joe Biden,Strong Democrat,True,4.0,12.0,2020.0,21.0,51.0,53.0
6103010.5,Florida,ID01,0.0,71.0,Female,0.74453306,Yes,Joe Biden,Strong Democrat,True,27.0,9.0,2020.0,0.0,18.0,37.0
5600720.0,Wisconsin,0,0.0,18.0,Female,0.13008478,Yes,Donald Trump,Strong Democrat,True,16.0,8.0,2020.0,10.0,20.0,57.0
6505736.5,Alaska,VA10,0.0,35.0,Female,0.107822984,Yes,Joe Biden,Lean Democrat,True,29.0,10.0,2020.0,17.0,15.0,52.0
6107813.5,Ohio,AZ07,0.0,29.0,Female,3.3570585,Yes,Donald Trump,Strong Republican,True,29.0,9.0,2020.0,20.0,11.0,0.0
5603735.5,California,GA07,0.0,58.0,Female,0.5971524,Yes,Donald Trump,Strong Republican,True,23.0,8.0,2020.0,8.0,56.0,46.0
6104583.5,New York,0,0.0,32.0,Female,1.2873463e-08,Yes,Joe Biden,Strong Democrat,True,5.0,9.0,2020.0,20.0,25.0,52.0
5200108.5,Louisiana,IL11,0.0,52.0,Female,0.18857546,Yes,I am not sure/don't know,Lean Republican,True,20.0,7.0,2020.0,15.0,23.0,21.0
5806015.0,Michigan,TX08,0.0,64.0,Female,0.6999067,Yes,Joe Biden,Weak Democrat,True,20.0,8.0,2020.0,4.0,19.0,15.0
7102022.5,Kentucky,FL14,0.0,34.0,Male,1.1097424,Yes,Donald Trump,Strong Republican,True,3.0,12.0,2020.0,9.0,12.0,42.0
4804244.0,Pennsylvania,MI12,0.0,31.0,Male,0.07286747,Yes,0,Independent,True,1.0,7.0,2020.0,21.0,47.0,42.0
6801692.5,Indiana,SC01,0.0,18.0,Female,5.000001,Yes,Not Asked,Weak Democrat,True,1.0,11.0,2020.0,21.0,20.0,33.0
6104363.0,Georgia,CA14,0.0,49.0,Male,0.2917294,Yes,Donald Trump,Strong Republican,True,12.0,9.0,2020.0,16.0,12.0,16.0
7400986.0,Indiana,IN01,48201.0,35.0,Female,0.11010011,Yes,Joe Biden,Independent,True,13.0,12.0,2020.0,0.0,56.0,51.0
